id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,4998,2,26,2019-11-28,0.25,1,0
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59761,-58.39468,Private room,2249,1,20,2017-12-11,0.15,1,365
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2499,1,1,2018-12-18,0.04,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2499,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2499,1,10,2019-11-27,0.44,7,0
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59327,-58.42953,Private room,3332,1,0,,,7,365
13100,Master Room in Palermo Viejo B&B w  pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,4165,1,1,2017-11-23,0.03,7,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58777,-58.41106,Entire home/apt,2842,5,90,2020-03-01,0.87,3,363
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,Monserrat,-34.60913,-58.37372,Entire home/apt,9996,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53724,-58.4658,Private room,2499,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.6029,-58.4114,Private room,3035,3,6,2014-06-01,0.05,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61439,-58.37611,Entire home/apt,3165,2,46,2019-11-30,0.38,11,353
16696,Duplex Loft en Microcentro Porteño,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,2915,2,52,2019-12-06,0.42,11,353
