id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21302,the OCEAN HAVEN - FREE wifi,81292,Laurel,,Surf Coast,-38.46542,144.09309,Entire home/apt,406,3,37,2021-03-08,0.48,5,155
27561,Executive residence peaceful locale,119103,Lynn,,Surf Coast,-38.34282,144.30594,Entire home/apt,536,7,1,2019-04-28,0.04,1,88
70449,Otway foothills retreat,357052,Craig,,Colac Otway,-38.3311,143.82835,Entire home/apt,263,1,31,2021-03-21,0.41,1,316
84516,Sea-Lit - luxury plus stunning ocean views,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,425,2,91,2021-03-18,1.08,1,236
195168,Historic House with Sea Views,899909,Tony,,Surf Coast,-38.54139,143.96939,Entire home/apt,500,2,12,2021-03-08,0.11,1,336
372470,"Charleson Farm - rural luxury, breathtaking views",1875131,Charleson,,Surf Coast,-38.33902,144.02133,Entire home/apt,553,2,93,2021-03-22,1.40,1,271
379333,Room with a river view & private bathroom,1904475,Les And Alison,,Greater Geelong,-38.15334,144.31786,Private room,95,1,250,2020-01-11,2.28,1,269
403682,"Satis Beach House, Great Ocean Road
Linen provided",246509,Fiona,,Surf Coast,-38.46393,144.09777,Entire home/apt,300,2,167,2021-03-07,1.49,1,251
479888,Riverbank Cottage Allenvale,2377195,Charles,,Surf Coast,-38.54767,143.95525,Entire home/apt,546,2,52,2021-01-22,0.84,4,128
488344,"Seahaven,  a room with a view",2416415,Lise,,Surf Coast,-38.46368,144.09543,Entire home/apt,133,1,171,2021-02-25,2.91,2,277
488599,Stunning City Townhouse,2417695,Darren And Yolanda,,Greater Geelong,-38.15407,144.35628,Entire home/apt,184,1,265,2021-03-07,2.89,6,340
524241,Point Lonsdale Holiday House,2577607,Alex,,Queenscliffe,-38.28606,144.60991,Entire home/apt,275,2,51,2021-03-21,0.93,1,285
559322,Hub for the Otway Ranges and Beyond,2626438,Ken,,Colac Otway,-38.36676,143.58278,Private room,100,1,37,2020-01-26,0.37,1,0
562450,"Beachfront Cottage - ""Amhurst""",2766274,Graham,,Moyne,-38.39213,142.21134,Entire home/apt,238,1,63,2021-03-14,0.79,2,235
606687,Beach House - A Perfect Sea View,3005560,,,Queenscliffe,-38.28435,144.61482,Entire home/apt,207,3,255,2021-03-25,2.45,1,145
675196,Rippleside beach townhouse Geelong,3429566,Jo,,Greater Geelong,-38.12116,144.35628,Entire home/apt,120,1,167,2021-03-21,1.91,1,260
697087,Magic Apartment + Views@83 GREAT OCEAN ROAD Lorne,3570625,Kim,,Surf Coast,-38.52773,143.9825,Entire home/apt,420,3,100,2021-03-21,0.99,3,67
743574,Large House near Great Ocean Rd,1572722,Jacinta,,Surf Coast,-38.46419,144.08318,Entire home/apt,370,2,299,2021-03-21,2.91,1,308
765554,Fairhaven Retreat-Great Ocean Road,4036595,Irene,,Surf Coast,-38.4655,144.08399,Entire home/apt,223,2,80,2021-03-07,0.80,1,315
769517,Bondi Express 1,4059412,Geoff,,Moyne,-38.28413,142.01094,Entire home/apt,160,2,7,2018-06-11,0.07,10,359
785467,Beachside Entertainer - Apollo Bay,4140800,Stuart,,Colac Otway,-38.77965,143.66452,Entire home/apt,141,1,154,2021-03-04,1.55,1,313
788222,Inverness - Quiet Cottage in Otways,4154774,John,,Colac Otway,-38.45145,143.75436,Entire home/apt,135,2,46,2019-03-24,0.46,1,26
791513,Eco Bay Holiday House Port Campbell.,164384447,Virginia,,Corangamite,-38.61298,142.99931,Entire home/apt,235,2,608,2021-03-21,6.05,1,147
841336,Sweet Dreams at Lara,4393951,Janita,,Greater Geelong,-38.01431,144.40135,Private room,151,1,21,2021-01-24,0.24,1,363
846941,Tanarama: A Beach / Bush Retreat,4422951,Robert,,Surf Coast,-38.46187,144.06646,Entire home/apt,279,2,41,2020-11-14,0.41,1,342
847397,ULTIMATE BEACHFRONT - Location and Views,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,315,2,51,2021-03-08,0.51,3,361
850562,Beach House Apartment Eastern Beach,2417695,Darren And Yolanda,,Greater Geelong,-38.14946,144.37474,Entire home/apt,188,1,155,2021-01-23,1.76,6,327
853375,Point Lonsdale Beach House,4456031,Fiona,,Queenscliffe,-38.27032,144.61705,Entire home/apt,175,3,30,2021-03-12,0.39,1,300
855501,Nanna's House,4069063,Deborah,,Surf Coast,-38.39319,143.88791,Entire home/apt,161,2,83,2021-03-15,0.84,1,158
858408,AWESOME STUDIO - Stunning Sea Views,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,304,2,62,2021-03-07,0.64,3,357
859859,SUPREME POSITION -Amazing Coastline Views,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,419,2,79,2021-03-21,0.80,3,323
863249,Entertainer on Great Ocean Road 4 bed holiday home,4526800,Chris,,Surf Coast,-38.40432,144.19458,Entire home/apt,418,2,37,2021-01-26,0.37,1,354
865089,Apartment 35 - Close to Everything,4541744,Lucas,,Warrnambool,-38.38301,142.48828,Entire home/apt,220,1,322,2021-03-27,3.21,1,312
890837,Bells Beach Views,4731549,Marian,,Surf Coast,-38.35588,144.28449,Private room,174,1,189,2021-03-22,1.90,1,352
902612,Otway Ranges - boutique B&B,4824121,Carol,,Colac Otway,-38.51205,143.72857,Private room,220,2,23,2020-01-11,0.24,3,0
911101,Wilkin cottage,4888844,Sharon,,Glenelg,-37.70603,141.2112,Entire home/apt,110,1,150,2021-03-08,1.56,1,311
921687,GRAMPIANS HISTORIC TOBACCO KILN,4955998,Karen,,Southern Grampians,-37.66715,142.2236,Entire home/apt,146,2,142,2021-01-03,1.50,3,224
932744,Affordable Beach House Vic,5027321,Kate,,Greater Geelong,-38.17071,144.71713,Entire home/apt,130,2,12,2017-06-12,0.20,1,52
943123,WWW(WarmWarrnamboolWelcome),5102281,Helen (Sophie),,Warrnambool,-38.38616,142.51553,Private room,110,1,183,2021-03-13,1.86,1,348
969315,The Bay Beach Bungalow (Complimentary WIFI),5293055,Marie,,Colac Otway,-38.75503,143.66679,Entire home/apt,172,2,306,2021-03-16,3.15,1,339
1037178,Great Ocean Road Hinterland Queen,5709920,Lisa,,Colac Otway,-38.57169,143.36003,Entire home/apt,200,2,109,2020-03-09,1.12,3,238
1052004,Bells By The Beach dog and cat-friendly house,5792522,Janice,,Greater Geelong,-38.26728,144.54083,Entire home/apt,250,2,5,2019-11-04,0.06,1,225
1113236,"Family Beach House, Ocean Grove - Brisa Del Mar",6109815,Dale,,Greater Geelong,-38.27206,144.51607,Entire home/apt,300,2,12,2021-01-19,0.14,1,337
1124773,Bellamboathouse at Fairhaven,6154547,Chris,,Surf Coast,-38.46404,144.09344,Entire home/apt,241,2,53,2021-03-21,0.59,1,37
1160904,"Briar cottage- cosy, relaxing,",6358765,Lorraine,,Queenscliffe,-38.26716,144.65894,Entire home/apt,193,2,101,2021-03-07,1.18,3,80
1168873,Airey's Inlet Beach-house,6401049,Alison,,Surf Coast,-38.45699,144.11403,Entire home/apt,314,2,59,2021-03-21,0.63,1,139
1180734,Lorne Penthouse - stunning water views,4549647,Zora,,Surf Coast,-38.54783,143.9852,Entire home/apt,311,3,26,2021-03-11,0.34,1,312
1247085,Seagrape Cottage,5732565,Christine,,Greater Geelong,-38.26304,144.52454,Entire home/apt,179,3,157,2021-03-03,1.66,1,308
1261097,Ocean Sounds Spectacular Ocean View,6398917,Tanja,,Colac Otway,-38.72408,143.71073,Entire home/apt,650,2,6,2018-01-25,0.07,2,0
1261290,Portland Vic Aust Cape Nelson Retreat,3046272,Trevor And Laima,,Glenelg,-38.38733,141.5529,Private room,450,1,247,2020-03-09,2.65,1,0
1285297,Fisheye9 - Ocean views and sounds!,6398917,Tanja,,Colac Otway,-38.72303,143.71179,Entire home/apt,266,2,159,2021-03-10,1.72,2,320
1289208,"Homestead, WiFi, Linen, Fireplace, River,Spa Bath",4647935,Rejuvenate Stays,,Warrnambool,-38.39444,142.59341,Entire home/apt,373,2,16,2021-02-21,0.19,2,340
1310982,"Starhaven Retreat, a Grand Design",7125284,Robert,,Greater Geelong,-38.13192,144.70647,Hotel room,382,1,29,2020-07-10,0.37,1,6
1332982,Anglesea Holiday Home - Sleeps 8!,7230673,Belinda,,Surf Coast,-38.40554,144.19344,Entire home/apt,275,2,241,2021-03-20,2.65,1,142
1341747,Airey's on Hartley- Great Ocean Rd,7277677,Tim,,Surf Coast,-38.45594,144.11464,Entire home/apt,210,2,166,2021-03-08,1.81,1,306
1384375,LA PEROUSE- Small hotel by the sea,81292,Laurel,,Surf Coast,-38.54131,143.97026,Private room,424,2,39,2021-03-07,0.54,5,81
1434583,Golfview Lorne,7710444,Brook,,Surf Coast,-38.52906,143.97417,Entire home/apt,556,2,80,2021-02-23,0.94,1,252
1500112,Workers Playtime House Barwon Heads,8016448,Glenn,,Greater Geelong,-38.27659,144.49035,Entire home/apt,526,2,7,2020-02-25,0.11,2,339
1503976,Otway Mud Brick House,8035610,Sally,,Surf Coast,-38.49281,143.94481,Entire home/apt,340,2,26,2021-03-07,0.44,1,63
1504804,"4 Bed, 2 Living Room Home overlooking Tree Tops",8040161,Claire,,Surf Coast,-38.40325,144.18134,Entire home/apt,420,7,18,2021-01-02,0.20,1,0
1532875,South Geelong Studio Apartment,901220,Carlo And Jeni,,Greater Geelong,-38.16297,144.35812,Entire home/apt,102,1,467,2021-03-28,9.07,1,328
1625148,B&B Barrabool Hills Retreat.,8641535,Lorelle,,Surf Coast,-38.19125,144.20375,Private room,75,1,12,2021-01-07,0.25,2,356
1625193,"Barrabool Hills Retreat B&B, Vic.",8641535,Lorelle,,Surf Coast,-38.19125,144.20375,Private room,75,1,72,2021-03-21,1.12,2,359
1641677,Jindibah Bird Haven,8716182,Leanne,,Surf Coast,-38.45333,144.1125,Entire home/apt,169,2,46,2021-03-08,0.52,1,326
1641891,Port Fairy Close to Beaches & Shops,3784933,Trish,,Moyne,-38.38329,142.23784,Entire home/apt,323,7,10,2021-02-11,0.13,2,0
1664906,Cabin near the sea,8819052,Antonia,,Surf Coast,-38.45896,144.1048,Entire home/apt,125,2,264,2021-03-11,3.08,1,289
1673242,Ocean views and walk to the beach,8857419,Andrew,,Colac Otway,-38.63291,143.88882,Entire home/apt,311,2,19,2020-03-08,0.32,1,25
1765517,Elizabeth Margaret Brady Cottage,9278022,Damien And Adele,,Moyne,-38.38874,142.23279,Entire home/apt,133,1,305,2021-03-14,3.37,3,17
