id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
46609,Byron Beach Cabin,208641,Glen,,BYRON SHIRE COUNCIL,-28.69065,153.61045,Entire home/apt,205,5,31,2020-12-15,0.55,1,319
59459,"Tea on the Terrace,",285576,Liz,,CLARENCE VALLEY COUNCIL,-29.45858,153.20414,Private room,55,1,224,2020-03-21,1.89,1,0
62754,ByronStudio Right in Byron,305808,John,,BYRON SHIRE COUNCIL,-28.64527,153.60818,Private room,183,4,103,2019-11-23,0.85,1,233
106469,Byron Yoga Homestay! Shanti Room,547246,Elana,,BYRON SHIRE COUNCIL,-28.63142,153.58574,Private room,132,3,61,2019-12-10,0.52,8,28
111036,5 Star Luxury @ Tweed Coast - Apartment in Peppers,569563,Tricia,,TWEED SHIRE COUNCIL,-28.27593,153.57632,Entire home/apt,250,2,139,2020-12-12,1.29,1,228
113407,Byron Bay Hinterland House & Pool POCKET PINES,576938,Jo,,BYRON SHIRE COUNCIL,-28.51435,153.49339,Entire home/apt,550,2,18,2020-08-02,0.16,1,0
121842,Wategos Beach apartment with  great Views !,611611,Louise,,BYRON SHIRE COUNCIL,-28.63656,153.6322,Entire home/apt,471,5,151,2020-01-11,1.43,2,0
141548,Studio/Apartment Beachside Suffolk,688307,Paul And Paula,,BYRON SHIRE COUNCIL,-28.68969,153.6101,Entire home/apt,150,7,2,2016-03-31,0.03,1,0
167078,Byron Yoga Homestay! Lotus Room,547246,Elana,,BYRON SHIRE COUNCIL,-28.63046,153.5842,Private room,122,3,80,2020-02-16,0.72,8,25
168519,4 Star King double or 2 single room,791858,Philip,,BYRON SHIRE COUNCIL,-28.68065,153.60593,Private room,150,3,14,2020-07-12,0.13,3,144
204270,Castaway Cottage,1003190,Charlotte,,BYRON SHIRE COUNCIL,-28.54362,153.54959,Entire home/apt,350,5,75,2019-10-17,0.69,1,12
259951,Rosebank Farmhouse,1340489,Ann-Marie,,LISMORE CITY COUNCIL,-28.68612,153.38951,Entire home/apt,550,5,10,2020-09-10,2.08,2,0
281786,Inspiring house close to Byron Bay,1468730,Sue And Kyle,,BYRON SHIRE COUNCIL,-28.57928,153.5077,Entire home/apt,8000,4,2,2017-01-10,0.04,1,0
294005,Byron Yoga Homestay! Ganesh Rm,547246,Elana,,BYRON SHIRE COUNCIL,-28.63114,153.58455,Private room,51,3,48,2019-12-14,0.45,8,0
302824,Comfy Double Room with own Bathroom,1559161,Louise,,BYRON SHIRE COUNCIL,-28.52453,153.54577,Private room,113,2,96,2020-11-28,0.91,2,160
302847,Fab Ocean View Room with Ensuite!,1559161,Louise,,BYRON SHIRE COUNCIL,-28.52588,153.54426,Private room,121,2,77,2020-12-05,0.71,2,343
329165,LIGHT  & BREEZY  2  SUFFOLK PARK,1680858,Mary,,BYRON SHIRE COUNCIL,-28.68909,153.60487,Private room,190,2,16,2020-11-30,0.18,2,340
340699,A PERFECT STAY - Drift - incl bikes & surfboard,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.6515,153.61361,Entire home/apt,686,2,42,2020-11-28,0.42,157,0
346741,LIGHT & BREEZY 1 @  SUFFOLKPARK,1680858,Mary,,BYRON SHIRE COUNCIL,-28.69078,153.60428,Private room,187,2,13,2019-07-21,0.12,2,347
371957,Mnn,1340489,Ann-Marie,,LISMORE CITY COUNCIL,-28.68812,153.39058,Entire home/apt,550,4,2,2017-12-26,0.03,2,325
394964,"Home Stay in Wooloweyah, Yamba",1973998,Kerri,,CLARENCE VALLEY COUNCIL,-29.48103,153.34251,Entire home/apt,98,7,0,,,2,0
396254,"Family Retreat in Wooloweyah, Yamba",1973998,Kerri,,CLARENCE VALLEY COUNCIL,-29.47967,153.34155,Entire home/apt,200,5,1,2016-01-05,0.02,2,0
