id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35644,Central Hobart Historic Cottage,153268,Yvette,,Hobart,-42.87895,147.31526,Private room,50,1,257,2020-03-08,2.67,3,0
84581,Kentisbury Country House Cradle Coast Tasmania,461471,Melissa,,Kentish,-41.38856,146.2321,Entire home/apt,295,2,35,2020-11-01,0.59,1,334
88873,Terrace- 5mins to central Hobart,485048,Russell And Ingrid,,Hobart,-42.88267,147.324,Entire home/apt,125,2,422,2020-09-13,3.66,1,71
137808,"Bradman House, Invermay, Launceston",673625,Emma And Dale,,Launceston,-41.42683,147.12905,Entire home/apt,159,1,209,2020-10-09,1.97,2,284
162081,Crickhollow Home Stay,775015,Patricia,,Kingborough,-43.36473,147.22208,Private room,110,1,419,2020-03-17,3.93,1,356
252996,Cosy Cabin @ Eagles Rise - Cradle Mountain 1 hour,1090010,Kit,,Central Coast,-41.2357,146.13479,Entire home/apt,84,1,53,2020-10-05,0.52,2,230
268482,"Anderson Suite, The Ark Stanley, Guest House",1406692,Rhonda,,Circular Head,-40.76467,145.29878,Private room,198,1,2,2018-10-09,0.04,7,324
270374,Powerhouse Studio Eagles Rise - Cradle Mountn 1 hr,1090010,Kit,,Central Coast,-41.23613,146.13492,Entire home/apt,185,2,50,2020-03-27,0.82,2,0
292399,Rainbow Valley Retreat B&B,1513972,Mandy,,Central Highlands,-42.6226,146.71441,Private room,95,1,159,2020-03-07,1.66,1,0
292447,"Rustic, compact, family friendly...",1514295,Bernd,,Hobart,-42.87,147.29991,Private room,50,2,110,2020-03-08,1.15,1,365
326771,Derwent Retreat,1670767,John,,Glenorchy,-42.77808,147.2565,Entire home/apt,151,2,12,2019-12-24,0.20,1,225
332701,"Tullamore, close to Hobart Airport and beaches.",1695626,Jackie And Peter,,Clarence,-42.88706,147.4753,Entire home/apt,180,2,5,2019-12-31,0.05,1,59
451180,"Private,quiet 1BR unit close 2 city",2241035,Judith,,Hobart,-42.89422,147.32206,Entire home/apt,84,3,314,2019-11-10,3.08,1,179
453815,HARLEA  - PENGUIN TASMANIA,2254989,Leanne,,Central Coast,-41.1263,146.07345,Entire home/apt,105,1,131,2020-11-01,1.53,1,0
485644,The Trig Studio- recycled-eco-luxe,2404373,Susie,,Launceston,-41.25918,147.25333,Entire home/apt,250,2,250,2020-10-28,2.62,3,309
488471,"Sisters Beach House, Sisters Beach",2417230,Angela,,Waratah/Wynyard,-40.91188,145.54796,Entire home/apt,211,2,56,2020-10-07,0.65,1,294
499959,ARTHOUSE Bay of Fires INSPIRING BEACH HOUSE,164588610,Jan,,Break O'Day,-41.24367,148.29046,Entire home/apt,389,2,37,2020-10-01,0.43,23,0
513528,"Private, bush setting, near city !",2374464,Phil,,Kingborough,-42.94523,147.27695,Entire home/apt,70,3,160,2020-10-11,1.62,1,155
515646,Firetail Bush Retreat - Cosy Cottage With Log Fire,2539808,Sonia And Damien,,Kingborough,-43.12564,147.22273,Entire home/apt,153,2,309,2020-08-16,3.97,1,365
519737,The Fox Hole ★ Queen Bed + Delicious Breakfast,2557836,Lizz,,Kingborough,-43.16165,147.23554,Entire home/apt,173,1,133,2020-03-23,1.38,2,0
534199,LittlePineShack,2625657,Nicholas,,Central Highlands,-42.0014,146.60955,Entire home/apt,260,2,18,2020-10-14,0.19,1,306
537703,"Clear Creek Cottage, S/C Accom TAS",2641738,Tony,,Kingborough,-43.14877,147.23146,Entire home/apt,120,3,57,2020-03-11,0.82,1,125
566316,Entire CENTRAL Home -Good Value!,2783485,Kate,,Hobart,-42.87157,147.31784,Entire home/apt,120,3,51,2019-11-02,0.52,1,2
637058,Stunning yurt overlooks ocean!,3176149,Laura Lea (Lila),,Flinders,-40.21983,148.05358,Entire home/apt,165,4,9,2019-04-26,0.11,2,325
667377,Tiger Den - quiet and convenient,1663139,Alan,,Glenorchy,-42.85146,147.29471,Private room,36,2,41,2020-08-05,0.42,3,299
682207,Platypus Park Country Retreat-Brid Apartment WiFi,3475894,Gina,,Dorset,-41.01785,147.39568,Entire home/apt,132,1,12,2020-03-05,0.13,6,251
708702,Battery Point walk to all + Mt view + level access,3645455,Tracey,,Hobart,-42.88743,147.3351,Entire home/apt,170,3,172,2020-03-16,1.80,1,352
722340,Spacious 1937 Art Deco Apartments,3730096,Bridget,,Burnie,-41.05365,145.90206,Entire home/apt,150,2,38,2019-12-20,0.45,5,364
741519,STUNNING HOME/AMAZING VIEW  20 mins to CBD/10-MONA,3881184,Craig And Adam,,Glenorchy,-42.84378,147.20013,Entire home/apt,121,1,263,2020-10-04,3.88,3,149
753283,Heritage Central with Grand Views,3962339,Rebecca,,Hobart,-42.89095,147.32156,Entire home/apt,200,2,156,2020-09-28,1.66,5,129
753990,Flinders Island Studio Retreat,3176149,Laura Lea (Lila),,Flinders,-40.21948,148.05159,Entire home/apt,170,4,8,2020-10-24,0.10,2,338
757987,The Granary,3969263,Patricia,,Derwent Valley,-42.77633,147.0749,Entire home/apt,215,2,5,2017-12-11,0.07,4,300
773175,Sandy Bay - Nutgrove Beach Haven,4062110,Judi,,Hobart,-42.90925,147.35209,Private room,100,2,68,2016-04-30,0.73,1,89
782046,2 bedroom apartment with seaview,4124985,Marilyn,,Central Coast,-41.09255,145.98324,Entire home/apt,119,2,51,2020-10-17,0.54,2,264
788753,Ellie's Place on City Park- heritage listed,4156945,Bronwyn,,Launceston,-41.43171,147.14623,Entire home/apt,211,1,38,2020-02-19,0.46,2,352
788858,Twyford - character close to city,4156945,Bronwyn,,Launceston,-41.44159,147.15897,Entire home/apt,183,2,34,2020-10-09,0.39,2,45
792917,Spectacular view & location 15mins to Hobart city,4184525,Kim,,Clarence,-42.83821,147.34536,Entire home/apt,350,2,64,2020-03-20,1.85,1,0
853123,Hamlet Downs King Suite,4454260,Jenifa,,Central Highlands,-42.64805,146.76137,Entire home/apt,219,1,8,2019-12-16,0.11,3,332
859047,Anchorage Apartment - your own waterfront resort,4496750,Anne,,Huon Valley,-43.14548,146.97884,Entire home/apt,160,3,38,2020-10-25,0.54,1,300
862364,Newton Heritage King 4 Poster Bed & Breakfast,4520285,Linda & Andre,,Launceston,-41.43675,147.14679,Private room,185,1,4,2020-01-27,0.05,12,0
865890,Master Suite Grindelwald Lodge,4547789,Helen,,West Tamar,-41.34398,147.01109,Private room,131,2,41,2020-07-16,0.48,8,327
871057,"Lovely Self Contained Apartment Netflix, Wi Fi",36722,Bek & Bob,,Launceston,-41.46416,147.13985,Entire home/apt,84,1,431,2020-03-18,4.55,2,211
881361,Four Mile Creek B&B - Self contained studio,4662988,Bob,,Break O'Day,-41.56326,148.28839,Entire home/apt,100,2,40,2020-02-28,0.47,1,0
890908,"Cosy apartment accommodation,  New Town, Hobart",4732657,Renato & Christine,,Hobart,-42.86124,147.31412,Entire home/apt,73,2,175,2020-08-01,1.86,1,299
890909,Honeycomb Cottage Adventure Bay,4732452,Anne,,Kingborough,-43.37351,147.32462,Entire home/apt,135,3,93,2020-10-25,1.07,1,336
905873,Penfold Cottage Invermay Launceston,673625,Emma And Dale,,Launceston,-41.42778,147.12776,Entire home/apt,159,1,255,2020-09-20,2.72,2,325
906059,Brady's River View Studio Apartment,4849056,Karin & Frank,,West Tamar,-41.32269,146.98923,Entire home/apt,125,2,100,2020-03-20,1.07,1,364
906304,Romantic Old School House with Cosy Fire,3962339,Rebecca,,Hobart,-42.89243,147.32312,Entire home/apt,144,2,235,2020-09-18,3.31,5,106
921584,R@R - The ultimate Huon beach oasis,4061453,Martin,,Huon Valley,-43.24566,147.13061,Entire home/apt,100,2,279,2020-10-29,2.97,1,248
950294,"Acacia Cottage at Eagles Rise, Sisters Beach",5155309,Peter And Judy,,Waratah/Wynyard,-40.92265,145.56287,Entire home/apt,119,2,33,2020-10-24,0.36,4,311
951788,Platypus Park Country Retreat-Piper Apartment,3475894,Gina,,Dorset,-41.01805,147.39455,Entire home/apt,165,1,21,2020-02-01,0.23,6,316
953965,Enchanting Views with relaxing SPA and Sauna.,44153777,Sean,,Hobart,-42.91524,147.33644,Entire home/apt,170,1,274,2020-10-24,3.06,1,348
958537,Bicheno Beach Cottage - Waub's Bay,2722105,Heather,,Glamorgan/Spring Bay,-41.87184,148.30405,Entire home/apt,295,2,7,2020-10-08,0.09,1,309
969333,"Huon Valley Luxury: views, central & private",1951031,Angela,,Huon Valley,-43.01292,147.03444,Entire home/apt,182,1,156,2020-11-01,1.69,1,294
971545,Tutor's Apartment: Architectural Design,3962339,Rebecca,,Hobart,-42.89204,147.32271,Entire home/apt,177,2,153,2020-10-09,2.16,5,121
980988,"The Gardens Apartment, Hobart",5371984,Tom & Pam,,Kingborough,-42.94094,147.35369,Entire home/apt,130,3,74,2020-03-10,0.80,1,217
983912,Knopwood Hill Retreat - Best View in Hobart,94693,Rob,,Clarence,-42.86271,147.39833,Entire home/apt,736,3,73,2020-02-16,0.79,2,334
