id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,96,1,31,2021-03-07,0.30,1,65
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,65,1,0,,,1,365
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,8,2020-09-28,0.11,1,365
58329,Trewent Farmhouse -  rustic & rambling,277321,Karen,,MANJIMUP,-34.35542,116.18267,Entire home/apt,140,2,43,2020-06-01,0.38,2,78
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.06,1,362
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,70,2,247,2021-03-22,2.08,1,77
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,77,2,6,2021-03-12,0.14,1,353
81044,Welcome Home Family Villa near Fremantle,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,156,5,9,2021-03-03,0.11,1,262
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.94299,115.85704,Private room,70,2,182,2021-01-06,1.50,2,215
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,214,2020-03-11,1.77,1,335
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,60,2,22,2019-11-24,0.19,3,359
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,336,5,3,2020-11-30,0.12,5,262
