id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.24262,16.42767,Hotel room,85,1,11,2020-02-19,0.17,4,350
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21823,16.37926,Entire home/apt,65,3,313,2020-03-04,2.78,3,161
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,130,1,153,2020-01-04,1.27,15,347
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21851,16.37781,Entire home/apt,60,3,296,2020-04-30,2.59,3,163
70568,apartment2rent - UNO City - Danube,358163,Georg,,Donaustadt,48.22224,16.4246,Entire home/apt,59,3,10,2016-10-03,0.09,5,365
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.21781,16.38023,Private room,50,2,116,2019-12-23,1.03,3,177
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22207,16.31594,Entire home/apt,74,3,50,2019-01-02,0.46,1,0
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.235,16.36614,Entire home/apt,80,4,14,2019-12-01,0.13,1,329
78416,Just renovated - Nice Apartment in Vienna center,421075,Peter,,Rudolfsheim-Fnfhaus,48.19952,16.33075,Entire home/apt,55,1,181,2020-01-29,1.61,1,358
90247,Beautiful New Central Apartment ,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,98,1,615,2020-05-30,5.52,2,346
98210,CIty Center Room with Private Shower,518644,Michael,,Margareten,48.19491,16.36079,Private room,32,1,89,2020-02-22,0.80,52,187
107439,"In the Center, 2 minutes to the State Opera!",518644,Michael,,Margareten,48.19403,16.35991,Entire home/apt,50,1,128,2020-02-21,1.17,52,179
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,75,1,118,2020-03-20,1.18,15,350
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.21999,16.33304,Entire home/apt,58,3,144,2020-03-30,1.32,3,296
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,75,1,120,2020-01-04,1.09,15,364
114953,"Modern Apartment, free Parking, flexible check-in",562563,Babsi,,Floridsdorf,48.2607,16.4007,Entire home/apt,69,3,16,2020-01-03,0.20,1,180
115921,Comfortable Rooftop home close to Schönbrunn,585938,Jutta,,Rudolfsheim-Fnfhaus,48.18686,16.32904,Private room,80,3,0,,,2,0
