id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,aplace/antwerp: cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21825,4.39901,Hotel room,109,1,1,2015-05-06,0.01,4,263
116134,Trendy Vacation Apartment Antwerp,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,101,2020-09-05,0.96,1,358
224333,Large stylish room in 1930s house + garden,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,16,14,2,2020-07-04,0.02,2,359
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,115,2,336,2020-03-08,3.18,1,147
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,55,2,55,2020-09-22,0.53,2,338
363155,1-bedroom apartment with court yard,1835458,Roos,,Amandus - Atheneum,51.22119,4.41951,Entire home/apt,47,2,19,2020-10-20,0.19,1,354
366252,ROOM IN FAMILY HOME near C. Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,35,1,104,2019-09-15,1.00,6,365
445201,ROOM in FAMILY HOME near Central Sation,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21579,4.43265,Private room,22,1,55,2020-09-10,0.54,6,365
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,282,2,2,2017-10-27,0.03,1,365
553618,NEW YORK STYLE LOFT IN ANTWERP,2283505,Kevin,,Eilandje,51.23183,4.40478,Entire home/apt,150,2,2,2013-12-12,0.02,1,365
573641,Design Apartment Near The Center!,2822632,Ariane,,Hoogte,51.18187,4.39381,Entire home/apt,98,3,20,2019-02-26,0.21,2,0
575935,"Room in Cosy Design Duplex, Antwerp",1128692,Larissa,,Hoogte,51.18152,4.39463,Private room,60,2,36,2020-03-08,0.36,1,97
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Serge,,Harmonie,51.20753,4.40589,Entire home/apt,150,2,22,2020-09-13,0.23,1,364
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,85,2,81,2020-03-15,0.82,1,342
639013,The chill place in Antwerp 1,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2018-07-22,0.34,3,364
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19589,4.41443,Private room,65,2,5,2020-02-24,0.07,1,364
723033,Spacy family studio in Antwerp City,3734348,Sylvia,,Stadspark,51.20955,4.41481,Entire home/apt,63,2,237,2020-03-08,2.43,1,145
772842,Stay in a designers place & donate,4050173,Daisy,,Linkeroever,51.21775,4.38434,Entire home/apt,82,7,66,2018-06-01,0.69,1,365
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20399,4.41249,Entire home/apt,74,2,62,2020-01-01,0.65,1,362
789555,+++blancoooJOZEFIEN+++ roofterrace,3185214,Annemie,,Centraal Station,51.2117,4.42665,Entire home/apt,93,2,48,2020-03-09,0.51,4,263
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,196,1,62,2020-10-17,0.95,2,328
842077,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,402,2020-07-07,4.22,5,359
866701,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,284,2020-07-14,3.01,5,358
890384,+++ blancoooHOME +++,3185214,Annemie,,Centraal Station,51.21198,4.4269,Entire home/apt,150,7,0,,,4,225
891355,"BorzeB&B, sleeping in the heart of Antwerp!",1366391,Micheline,,Universiteitsbuurt,51.22043,4.40562,Private room,64,2,79,2020-02-03,0.87,1,91
891884,aplace/antwerp: amazing suite & square view,234077,Karin,,Historisch Centrum,51.21825,4.39901,Hotel room,128,1,10,2019-10-20,0.62,4,0
891907,aplace/antwerp: stunning flat with square view,234077,Karin,,Historisch Centrum,51.21825,4.39901,Entire home/apt,178,2,5,2020-02-09,0.06,4,286
959200,NEST,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,55,2,58,2020-06-13,0.69,2,329
961296,Great Classic House in Antwerp (4-10 persons),3189018,Cathy,,Borgerhout Intra Muros Noord,51.21531,4.44498,Entire home/apt,317,1,48,2020-01-29,0.63,3,173
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,230,2020-10-04,2.51,2,330
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,23,2020-09-23,0.27,2,330
1105318,"Number22Antwerp, cosy duplex",6068286,Frederic Luca,,Zuid,51.21024,4.39995,Entire home/apt,75,2,29,2020-01-01,0.33,3,351
1108491,4 Cosy rooms near Central Station! ~ double room,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,216,2020-08-23,2.37,5,358
1146375,Homey apartment near Antwerpen Centraal Station,1764235,Isa,,Borgerhout Intra Muros Noord,51.21751,4.4298,Entire home/apt,62,1,165,2020-10-01,1.84,1,339
1172376,"Number22Antwerp, Cosy & Trendy Flat",6068286,Frederic Luca,,Zuid,51.21026,4.40138,Entire home/apt,80,1,15,2017-01-05,0.17,3,365
1172826,Bedroom in large antique house near parks+trams,1167377,Geert,,Deurne Zuid West,51.19813,4.45807,Private room,16,7,3,2020-03-04,0.19,2,359
1184623,Luxe penthouse,4865806,Tommie,,Eilandje,51.23133,4.41015,Entire home/apt,170,2,21,2020-07-14,0.24,2,147
1209063,Room with a view!,6596883,Martine,,Borgerhout Intra Muros Zuid,51.21053,4.43308,Entire home/apt,77,1,33,2020-03-14,0.38,1,131
1227242,Cosy ship Hannus Antwerp Belgium,4193029,Jan,,Eilandje,51.22775,4.40388,Private room,60,1,4,2020-07-26,0.49,2,346
1267516,"Suites in Antwerp:""Suite Frederik""",5758428,Philip-Emmanuel,,Zurenborg,51.207,4.42702,Entire home/apt,179,1,3,2013-10-13,0.03,2,364
