id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85787,4.30809,Entire home/apt,91,2,16,2020-07-12,0.19,2,257
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.85697,4.30651,Entire home/apt,74,2,2,2018-10-28,0.03,2,363
45145,B&B Welcome to my place -  2,199370,,,Bruxelles,50.85181,4.36801,Hotel room,120,1,3,2019-04-08,0.02,2,315
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.83821,4.40683,Entire home/apt,200,2,0,,,1,365
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83356,4.36027,Entire home/apt,74,5,105,2020-02-28,0.85,1,363
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,4,2019-06-16,0.04,16,365
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,80,1,60,2020-08-09,0.50,16,365
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,80,1,6,2019-12-15,0.10,16,365
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,95,1,48,2019-12-22,0.40,16,365
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,65,1,25,2020-01-26,0.21,16,365
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,70,1,33,2020-03-01,0.29,16,365
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.86986,4.37712,Hotel room,95,2,3,2016-05-26,0.03,2,364
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80532,4.33227,Private room,75,7,1,2019-08-12,0.05,2,177
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.8064,4.33487,Entire home/apt,85,3,1,2019-09-30,0.06,2,363
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,45,2020-01-06,0.38,16,365
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84582,4.34954,Hotel room,85,2,38,2020-10-01,0.32,2,333
