id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
77327,Duplexstudio Edville Ghent 4p (studio D6),414263,Edward En Daphné,,Stationsbuurt Noord,51.03694,3.72968,Entire home/apt,89,2,11,2018-04-22,0.17,1,261
137110,historical house with stunning view,670655,Daan,,Elisabethbegijnhof - Papegaai,51.05785,3.71192,Private room,50,1,160,2020-03-17,1.50,1,247
185483,Quite studio with seperate bedroom in city centre,890429,Dries,,Macharius - Heirnis,51.05213,3.74049,Entire home/apt,45,6,52,2020-02-03,0.54,7,291
187870,Luxury studio in the centre of Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05168,3.70283,Entire home/apt,55,2,389,2020-03-10,3.71,1,337
191534,Beautiful private studio & garden,890429,Dries,,Macharius - Heirnis,51.05213,3.74049,Entire home/apt,45,6,42,2020-02-28,0.42,7,365
203806,Flat close to Sint-Pieters Station!,999847,Lies,,Watersportbaan - Ekkergem,51.04428,3.71395,Entire home/apt,69,2,285,2019-05-27,2.75,2,365
204245,Modern studio's in Ghent centre,1003009,Nele,,Binnenstad,51.05842,3.72721,Entire home/apt,90,1,29,2019-10-17,0.29,2,111
216715,converted loft,911466,James,,Binnenstad,51.05756,3.7318,Entire home/apt,70,2,461,2020-03-08,4.44,1,330
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05216,3.71993,Entire home/apt,210,2,143,2020-03-09,1.46,1,151
392245,Bright room 1: Enjoy Sleep Study Work Read Watch!,1961511,Hans,,Stationsbuurt Zuid,51.02971,3.71369,Private room,32,3,121,2020-02-15,1.26,2,155
432857,Tour Gent during day by boat & sleep in it @ night,2136986,Christophe,,Sint Denijs Westrem,51.03113,3.68348,Private room,299,1,3,2018-08-12,0.04,1,365
599325,Ghent! Need I say more?,2964980,Sas,,Ledeberg,51.03454,3.74631,Private room,30,2,112,2020-03-11,1.18,1,217
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,75,6,32,2020-02-22,0.36,3,330
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,75,6,18,2020-02-10,0.21,3,297
769351,House in green area Ghent,4058153,Leen,,Mariakerke,51.07862,3.69008,Entire home/apt,80,1,12,2019-07-20,0.13,1,0
778353,"The Ghent House of Silence * Cosy, close to parks",4104245,Carina,,Oud Gentbrugge,51.04177,3.74516,Private room,24,2,17,2019-02-24,0.19,1,347
782514,Garden studio,3644609,Bob,,Sint Amandsberg,51.06837,3.77456,Entire home/apt,120,3,49,2019-09-24,0.69,1,363
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05343,3.73002,Entire home/apt,100,2,267,2020-03-09,3.07,1,330
845854,Central harbour view apartment!,3685113,Bruno,,Macharius - Heirnis,51.0543,3.73527,Entire home/apt,85,4,14,2016-07-20,0.16,1,0
878177,Bed & Breakfast Geertje Henckens,4640769,Geertje,,Elisabethbegijnhof - Papegaai,51.05153,3.71807,Private room,55,2,13,2020-03-01,0.97,1,57
879417,2-bedroom furnished apartment-Ghent,1003009,Nele,,Binnenstad,51.0578,3.72622,Entire home/apt,155,2,9,2019-08-16,0.11,2,107
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,70,6,8,2020-03-22,0.25,3,329
924683,Perfect apartment centre of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05353,3.71675,Entire home/apt,58,2,327,2020-03-17,3.75,2,316
944573,Stylish newly renovated small house,5114342,Kurt,,Bloemekenswijk,51.07052,3.70806,Entire home/apt,120,2,19,2020-02-18,0.24,1,318
950284,"Studiomie One Room Hotel, a wonderful place!",5155260,Mieke,,Sluizeken - Tolhuis - Ham,51.06266,3.73218,Private room,135,2,5,2014-11-11,0.06,1,42
1018048,"Large airy studio, central location",5600970,Johan,,Sluizeken - Tolhuis - Ham,51.0591,3.7193,Entire home/apt,44,1,580,2020-03-12,7.84,1,221
1098409,Spacious Room in the city's heart,6036056,Ellen,,Binnenstad,51.05192,3.72792,Private room,40,2,244,2020-03-15,2.87,2,295
1102289,Beautiful cosy apartment in Ghent,6054596,Ingrid Saran,,Stationsbuurt Zuid,51.0325,3.7152,Entire home/apt,92,2,203,2020-01-01,2.39,1,348
1121033,'Knighty night' at Prinsenhof,6150298,Sarah,,Elisabethbegijnhof - Papegaai,51.05661,3.71914,Private room,60,2,73,2020-03-01,0.86,1,355
1135017,RAAMHOF  top location / spacious / comfy beds,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05683,3.71639,Entire home/apt,75,2,217,2020-03-16,2.60,2,359
1141163,Luxury apartment in Ghent city,5082339,Joost,,Binnenstad,51.04531,3.73526,Entire home/apt,85,2,127,2020-02-28,1.50,1,349
1159353,Big & cosy riverside apartment,1774984,Melanie,,Stationsbuurt Noord,51.03702,3.73016,Entire home/apt,70,4,389,2020-01-31,4.72,1,173
1188974,Spacious Room in the city's heart 2,6036056,Ellen,,Binnenstad,51.05109,3.7257,Private room,40,2,262,2020-03-13,3.11,2,294
1222069,B&B Marie Reine in old Monastry,5456443,Ruth,,Watersportbaan - Ekkergem,51.05087,3.70436,Private room,80,2,341,2020-03-11,4.08,1,211
1232605,Lofty apartment in the old harbour. Free parking.,6588103,Dagmar En Quinti,,Wondelgem,51.07422,3.7265,Entire home/apt,54,4,29,2015-08-18,0.35,1,0
