id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36666,Mo's Cozy Casa w/ veranda & access to dock,157752,Monique,Belize,Belize Islands,17.74786,-88.02398,Entire home/apt,150,3,249,2021-01-22,2.01,5,267
36690,Mo's Cozy Cabana w/ comfy veranda & access to dock,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,70,3,313,2020-12-24,2.45,5,249
108932,Purple House eco solar  w/ ocean & wildlife views,563377,Michael,Belize,Belize Islands,17.73221,-88.03824,Entire home/apt,191,2,30,2020-03-14,0.79,1,365
110483,Michelo's fuchsia suite,567809,Michel,Stann Creek,Stann Creek Mainland,16.52114,-88.36926,Hotel room,121,1,27,2020-02-24,0.29,3,305
120115,Seaside Villas Second Floor Unit  #4,604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,342,1,30,2020-03-18,0.65,20,264
120116,Valarosa,604999,Bobbi,Belize,Belize Islands,17.73644,-88.02858,Entire home/apt,171,2,49,2020-03-23,0.82,20,0
124794,Sabal Beach - secluded eco-retreat,562206,David & Wayne,Toledo,Toledo Mainland,16.28752,-88.5455,Entire home/apt,232,3,18,2020-01-12,0.16,2,312
152512,"Stunning one br apt-kitchen, air con, bikes & pool",733857,Jacki,Stann Creek,Stann Creek Mainland,16.52644,-88.37,Entire home/apt,242,7,63,2020-03-07,0.56,4,278
152922,rent a private room in a house,735525,Jennifer,Cayo,Cayo,17.25395,-88.7687,Private room,52,1,11,2019-12-14,0.19,1,365
171294,King Deluxe,817242,Michael,Cayo,Cayo,17.16261,-89.06995,Private room,286,1,40,2020-02-03,0.48,8,364
171301,Cabana in a Rainforest Setting,817242,Michael,Cayo,Cayo,17.16368,-89.07051,Entire home/apt,212,1,87,2020-01-05,1.03,8,360
179190,Stand Alone Caribbean Cabana #7 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,159,1,110,2020-01-31,0.97,14,315
182596,Caribbean Beach Cabana #6 @ Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,159,1,142,2020-03-17,1.28,14,329
182610,Ocean View Caribbean Cabana #5 @ Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,159,1,124,2021-01-14,1.14,14,345
183285,Caribbean Beach Cabana #8 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,171,1,47,2020-02-29,0.42,14,353
183332,Beachfront Condo #1 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,353,1,5,2019-10-30,0.04,14,309
215095,"Private & serene:walk to beach, lagoon/sunset view",1110584,Holly,Stann Creek,Stann Creek Mainland,16.57672,-88.36583,Entire home/apt,401,2,8,2020-03-09,0.08,1,344
238685,Beachfront Suite at Colinda Cabanas #2,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,353,1,8,2020-03-14,0.09,14,303
245523,Beachfront Condo #3 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,300,1,11,2019-10-31,0.10,14,327
254291,Finca Placencia oceanfront Private Beach House,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53023,-88.36103,Entire home/apt,222,2,103,2021-01-27,0.98,3,341
261882,Finca Placencia oceanfront private BeachCabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53005,-88.36139,Entire home/apt,222,1,151,2020-03-03,1.39,3,343
265173,D'Nest Inn  ( Kiskadee Nest).,1391098,Gabriel,Belize,Belize Mainland,17.50709,-88.22189,Hotel room,133,1,113,2019-08-01,1.14,3,304
308361,Villa San Juan,1586187,Jorge Omar,Cayo,Cayo,17.25812,-88.77895,Private room,209,1,4,2018-08-24,0.05,1,364
332447,Cabana #4 (Hobbit House) at Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,191,1,99,2020-03-15,0.93,14,324
419134,AQUA Cabana + FREE Wine (1 bottle)*,2084006,Lower Dover,Cayo,Cayo,17.20777,-88.9461,Private room,119,1,21,2020-03-04,0.25,4,0
519424,"Close to downtown San Ignacio, private bath & room",2556131,Shamera,Cayo,Cayo,17.15555,-89.07035,Private room,121,1,120,2019-08-01,1.21,3,215
521581,Heart of Belize City: Live-Work-Play,345885,Melissa,Belize,Belize Mainland,17.50751,-88.18791,Entire home/apt,481,4,3,2020-02-01,0.03,4,365
580189,Howler House: A romantic riverside treehouse,190152663,Shana,Belize,Belize Mainland,17.57301,-88.39663,Entire home/apt,237,1,133,2020-03-14,1.36,1,353
591211,Casa Belize - Cozy Studio Apartment,2917510,Carolyn,Belize,Belize Mainland,17.50955,-88.22414,Entire home/apt,151,2,23,2019-05-17,0.24,6,365
597282,Sunny Cabana in Tropical Yard,157752,Monique,Belize,Belize Islands,17.73747,-88.02736,Entire home/apt,121,3,174,2020-03-21,1.78,5,85
601962,"Stunning, two bed/two bath- air con, bikes & pool",733857,Jacki,Stann Creek,Stann Creek Mainland,16.52545,-88.37077,Entire home/apt,296,7,50,2020-03-18,0.53,4,242
736308,Beautiful Waterfront Casita! Belize is Open!,3843219,Karen & Pernell,Corozal,Corozal,18.32931,-88.32932,Entire home/apt,260,1,36,2020-01-02,0.42,1,365
788130,Home Away From Home Desirable Area,2917510,Carolyn,Belize,Belize Mainland,17.51132,-88.22517,Entire home/apt,353,2,52,2020-11-01,0.75,6,0
819238,Ocean View Suite #9 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73653,-88.02639,Entire home/apt,260,1,9,2019-10-18,0.11,14,360
819686,Oceanview Suite #10 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73577,-88.02667,Entire home/apt,220,1,10,2020-03-01,0.11,14,345
985520,Comfy Cabana Tropical Caye Caulker,2267459,Tropical Dreams,Belize,Belize Islands,17.74074,-88.02704,Entire home/apt,181,2,155,2020-03-08,1.80,5,320
1051976,Casa Fabro Belize - Vacation Rental,5792357,Teresita,Belize,Belize Mainland,17.49047,-88.18598,Entire home/apt,199,2,47,2019-12-23,0.63,1,322
1111731,"Sail Belize on Doris, a 50ft Lagoon 500 Catamaran",6101757,Clifford,Belize,Belize Mainland,17.47288,-88.24754,Entire home/apt,3124,4,0,,,9,365
1134575,"Bay Breezes apt #2, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,89,1,162,2020-03-18,1.75,10,365
1134718,"Bay Breezes apt #1, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,121,2020-03-14,1.33,10,365
1135021,"Bay Breezes apt #3, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,155,2020-03-01,1.65,10,365
1135078,"Bay Breezes apt #4, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,89,1,138,2020-03-13,1.56,10,365
1150391,Fraser's Way Bullet Tree Falls Cayo,2700257,Deborah,Cayo,Cayo,17.17136,-89.11367,Entire home/apt,131,3,22,2018-04-01,0.25,1,364
1177282,Belize Waterfront - Orchid Bay Casita 9A,6441582,Jeff And Debi,Corozal,Corozal,18.32853,-88.32882,Entire home/apt,252,2,33,2020-12-08,0.36,1,251
1187309,"Casa Belize,Cozy, Spacious Getaway",2917510,Carolyn,Belize,Belize Mainland,17.5098,-88.22347,Entire home/apt,262,2,18,2020-11-09,0.35,6,89
