id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2078,Central comfy close to Metro Laurie,2277,Nelia,,Le Plateau-Mont-Royal,45.53069,-73.58588,Private room,38,2,245,2018-09-23,2.15,1,13
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,132,2,330,2020-10-27,2.56,2,346
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,248,3,69,2020-11-01,0.64,2,349
31847,Downtown/Airport room,2319,Gail,,Le Sud-Ouest,45.48467,-73.57995,Private room,40,2,153,2020-01-07,1.19,5,305
34715,Chez Patrac ! Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.5384,-73.60355,Entire home/apt,135,4,4,2011-09-12,0.03,1,358
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.52836,-73.58342,Entire home/apt,130,3,39,2020-07-31,0.57,6,290
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,10,14,2019-09-15,0.12,2,365
41859,WiFi-PRIVATE apartments Furn dwtn,182949,Zhang,,Mercier-Hochelaga-Maisonneuve,45.54571,-73.53853,Entire home/apt,37,360,16,2015-08-05,0.13,4,365
46626,Charming MtlHomestay Accommodation!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46834,-73.60695,Private room,62,3,20,2019-09-12,0.17,2,365
50479,L'Arcade Douce (CITQ 271530),231694,Noémie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,65,3,132,2021-01-09,1.05,1,129
52573,Hidden treasure on the Plateau,123488,Antoine,,Le Plateau-Mont-Royal,45.52908,-73.57499,Entire home/apt,100,7,46,2019-08-10,0.37,1,39
58484,Bright Open Concept 2 Storey Home,279906,Chris,,Le Plateau-Mont-Royal,45.51979,-73.57737,Entire home/apt,206,5,20,2019-09-02,0.17,1,0
60268,Furnished bedroom and private bath-newly renovated,283339,Kimberley,,Dorval,45.44239,-73.76493,Private room,53,1,80,2020-03-14,0.99,1,348
66247,Large Loft in Historic Old Montreal,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,43,3,264,2019-07-19,2.16,4,12
67514,Double Bed in Room with Skylight,333083,Dan,,Montréal-Ouest,45.45372,-73.6506,Private room,150,3,0,,,1,0
68510,"WiFi-PRIVATE cute,cozy, comfortable",182949,Zhang,,Mercier-Hochelaga-Maisonneuve,45.54628,-73.53676,Entire home/apt,28,700,15,2013-08-06,0.13,4,365
