id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,268,2,15,2019-10-20,0.25,1,7
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,125,7,6,2017-07-29,0.09,1,327
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,90,2,40,2019-11-27,0.83,2,365
791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.89572,-64.37684,Private room,66,1,50,2019-12-15,0.60,1,353
905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358
950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,99,2,174,2020-03-16,2.13,3,365
954893,Cozy Room in 3 Bedroom Home,2615407,Patti,Kings,Rothesay,45.35355,-66.0292,Private room,35,1,37,2019-07-26,0.52,1,203
986301,Downtown Home on quiet block,252277,Sarah,Westmorland,Moncton,46.09473,-64.78427,Entire home/apt,147,1,125,2020-03-08,2.53,5,325
1174911,Cottage in Bayfield NB at Anne's Acres,989930,Jerry,Westmorland,Botsford,46.15105,-63.85098,Entire home/apt,100,3,25,2019-08-16,0.30,1,363
1199731,"Victorian mansion, Queen bed",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,145,1,126,2019-09-16,1.61,8,318
1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,126,1,39,2019-09-18,0.64,11,124
1266591,King Bed in Historic Uptown!,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,165,1,69,2019-09-28,1.19,8,326
1339738,Parlee Beach Cottage in Shediac,7209301,Joe,Westmorland,Shediac,46.23422,-64.5045,Entire home/apt,135,4,5,2018-08-02,0.07,1,363
1489389,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Entire home/apt,35,1,61,2019-11-11,1.02,3,335
1660142,Room with two twin beds/ spacious /accom. 2 guests,8797295,May,Saint John,Simonds,45.26084,-65.74376,Private room,85,1,65,2019-09-14,0.90,3,151
1806151,"Waterfront cottage, relaxing and fun get away!",4253971,Roxanne,Kent,Richibucto,46.68234,-64.80627,Entire home/apt,149,2,75,2019-09-22,1.05,1,191
2148508,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Entire home/apt,35,1,128,2019-10-11,1.71,3,337
2191945,Large cottage @ Grand Lake Whites Cove (Jemseg),8385154,Krista,Queens,Cambridge,45.86775,-66.07676,Entire home/apt,125,2,30,2019-09-02,0.42,3,113
2535589,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,149,3,41,2019-08-30,0.57,1,284
2550351,Counting sheep guest suites #1 (adult only),12298363,Heather And Joey,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,48,2019-08-12,1.42,3,351
2558458,Music of the Trees - Near the Sea,12963726,Sandra,Northumberland,Alnwick,47.1967,-65.14315,Entire home/apt,61,3,56,2019-10-14,0.95,1,129
