id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1591,Garden Suite-King-Ensuite,1748,Jeff,Victoria,Rockland,48.42128,-123.33932,Private room,488,1,0,,,8,185
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,280,2,0,,,1,265
47421,Downtown by the Park,214666,Jenny,Victoria,Downtown,48.42106,-123.3634,Entire home/apt,100,4,56,2019-09-11,0.48,1,338
54423,"Perfect Downtown Condo, free secure onsite Parking",254653,Pawlina And Martin,Victoria,Downtown,48.42151,-123.36383,Entire home/apt,91,30,412,2020-05-16,6.80,1,0
83515,GALLERY B&B,455118,Celia,Salt Spring Island,Salt Spring Island,48.86282,-123.49976,Entire home/apt,165,2,67,2020-03-13,0.61,3,156
116831,Harbor View Studio in Restored Heritage Building,590251,Agi & Marco,Victoria,Downtown,48.42852,-123.36961,Entire home/apt,111,1,311,2020-05-18,7.59,1,220
138163,Shoreline Getaway - Two Acre Wood,674747,Julie,Southern Gulf Islands,Southern Gulf Islands,48.91177,-123.37735,Entire home/apt,159,2,343,2020-03-16,3.18,1,14
179318,Old town loft on private courtyard near harbour,858603,John,Victoria,Downtown,48.42859,-123.37026,Entire home/apt,107,30,18,2019-08-18,0.39,4,181
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50617,-123.46399,Private room,199,1,63,2020-03-04,0.59,3,0
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,165,3,139,2020-04-30,1.38,1,335
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50467,-123.4625,Private room,69,1,52,2020-02-22,0.54,3,307
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50644,-123.46423,Private room,139,1,12,2019-07-26,0.20,3,307
210677,Located in the heart of Victoria BC,1037115,Rose And Glen,Victoria,James Bay,48.41431,-123.36994,Entire home/apt,385,30,65,2019-08-28,0.68,1,363
212267,Victoria Inner Harbour's Best Value,1094851,Brian And Jocelan,Victoria,James Bay,48.41673,-123.3689,Entire home/apt,139,3,235,2020-03-26,2.21,1,0
225431,TRENDY SEASIDE LOCATION- Main Level,1174462,Jenny And Richard,Victoria,Fairfield,48.41074,-123.35294,Entire home/apt,76,180,12,2013-07-19,0.11,1,83
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42882,-123.35055,Entire home/apt,185,3,245,2020-04-04,2.32,2,348
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42684,-123.35082,Private room,250,3,8,2018-07-09,0.13,2,354
237053,Character Suite Inn Victorian Home,1216332,Ann,Victoria,James Bay,48.41276,-123.36944,Private room,89,2,261,2020-02-17,2.48,3,337
239129,Executive inner city loft condo.,1208031,Haydee And Owen,Victoria,Downtown,48.42967,-123.36237,Entire home/apt,107,28,7,2017-07-01,0.08,1,301
250576,Character home close to downtown,911586,Jennifer,Victoria,Hillside/Quadra,48.4419,-123.35661,Private room,45,1,190,2020-03-01,1.97,2,89
259984,Bright Loft with Patio near Beach and Downtown!!,1364560,Kirsten,Victoria,Fairfield,48.41795,-123.35223,Entire home/apt,100,2,80,2020-03-16,0.97,1,326
326869,Beautiful 1 Bedroom Suite on Victoria's Westshore,1671474,Blake And Ericka,Langford,Langford,48.41556,-123.51814,Entire home/apt,126,3,61,2020-02-19,0.61,1,138
330706,Amazingly Clean Great Location Sleeps 6 W/Parking,1299678,Suzanne & Tom,Victoria,Downtown,48.42749,-123.36361,Entire home/apt,99,1,152,2020-05-04,6.48,3,170
348606,Enjoy Pacific sunsets on the bay,1757713,Valerie,Victoria,Gonzales,48.40891,-123.33573,Entire home/apt,150,30,78,2020-02-17,0.94,1,165
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.4317,-123.32508,Private room,109,2,122,2019-09-10,1.24,2,365
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41107,-123.37675,Entire home/apt,59,28,10,2020-02-29,0.17,16,191
405558,James Bay Menzies-Dallas Oceanfront Suite #2,2001974,Martin,Victoria,James Bay,48.41263,-123.37702,Entire home/apt,59,28,23,2020-03-20,0.23,16,229
408315,Sidney waterfront home,2032438,Adrian,Sidney,Sidney,48.66178,-123.40366,Entire home/apt,276,7,14,2019-10-29,0.20,1,144
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42611,-123.34047,Entire home/apt,54,28,21,2020-06-02,0.22,16,356
410542,Rockland Downtown Just Renovated! Suite #6,2001974,Martin,Victoria,Rockland,48.4249,-123.33928,Entire home/apt,55,28,12,2019-01-31,0.12,16,247
410918,PENTHOUSE + WATER VIEWS = LUXURY,2045938,Shelly,Victoria,Victoria West,48.43066,-123.37843,Entire home/apt,145,30,60,2019-08-02,0.71,1,172
416786,Renovated Townhouse Near Downtown Suite #1,2001974,Martin,Victoria,Fernwood,48.42641,-123.34648,Entire home/apt,59,28,13,2018-08-20,0.13,16,335
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43183,-123.32669,Private room,120,2,87,2019-11-10,0.90,2,1
449236,Bloom Organic B&B - Pond Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.92753,-123.57295,Private room,176,2,51,2019-10-20,0.53,2,365
455929,"Victoria Garden Estate, pool/hotub/staycation spot",2266499,Louise,North Saanich,North Saanich,48.67278,-123.46604,Entire home/apt,950,2,7,2020-06-01,0.20,1,325
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42416,-123.34062,Entire home/apt,68,28,22,2020-05-18,0.23,16,263
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Fernwood,48.42598,-123.33982,Entire home/apt,59,28,30,2020-03-14,0.32,16,307
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292,-123.37774,Entire home/apt,50,28,17,2019-06-30,0.18,16,278
466191,Charming House Downtown Victoria,1678711,Megan,Victoria,Rockland,48.42223,-123.34636,Entire home/apt,500,1,122,2019-12-27,1.25,2,339
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.9273,-123.57431,Private room,196,2,19,2019-05-20,0.27,2,365
479450,"Beautiful, bright, great walks plus",2375062,John,Victoria,Oaklands,48.43936,-123.34842,Entire home/apt,135,28,57,2019-10-31,0.69,4,363
514811,Waterfront walks & welcome foodies!,393956,Rhona,Saanich,Saanich,48.45215,-123.41781,Entire home/apt,70,3,195,2020-05-16,2.01,1,1
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Fernwood,48.42619,-123.33986,Entire home/apt,65,28,10,2019-10-03,0.10,16,339
523926,"Character house, in quiet Victoria neighbourhood",2575881,Catherine,Victoria,Hillside/Quadra,48.44101,-123.35339,Private room,65,1,351,2020-02-23,3.63,1,246
528492,Victoria Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43019,-123.36862,Entire home/apt,139,3,14,2020-01-04,0.16,1,242
532854,West Coast Wonder close to Downtown,2618389,Diane,Esquimalt,Esquimalt,48.43875,-123.39495,Private room,59,2,43,2017-12-05,0.45,1,150
537710,Beachfront @ Vesuvius B & B with oceanside hot tub,2641800,Jacqui & Dan,Salt Spring Island,Salt Spring Island,48.87873,-123.56943,Entire home/apt,226,2,11,2019-08-22,0.15,2,340
539214,Beachfront at Vesuvius with oceanfront hot tub,2641800,Jacqui & Dan,Salt Spring Island,Salt Spring Island,48.87961,-123.56984,Entire home/apt,226,2,59,2020-03-18,0.62,2,342
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.43492,-123.34064,Entire home/apt,113,2,102,2019-12-01,1.71,2,339
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42624,-123.34019,Entire home/apt,66,28,18,2019-06-01,0.19,16,296
561477,Cabin at Swallow's Keep,2760576,Marcia,Southern Gulf Islands,Southern Gulf Islands,48.99371,-123.57915,Entire home/apt,150,2,255,2020-03-21,2.82,1,147
571258,MEMORY LANE - ENTIRE PRIVATE APARTMENT,2811302,Sharon,Sooke,Sooke,48.38672,-123.72408,Entire home/apt,80,2,79,2020-02-04,0.84,1,332
624238,Gorgeous sun-filled OCEANFRONT Home,2949874,Margie,Oak Bay,Oak Bay,48.4063,-123.32034,Entire home/apt,648,3,14,2020-01-01,0.17,1,172
644821,Colorful and Arty Home,3227731,Ed,Saanich,Saanich,48.46888,-123.39617,Private room,51,1,55,2019-05-20,0.77,2,215
660733,Large Renovated 2 Bedroom Suite  Near Downtown #4,2001974,Martin,Victoria,Fernwood,48.4259,-123.34022,Entire home/apt,58,28,19,2019-06-30,0.20,16,1
665727,"Dragonfly Cottage -Central Location,Country Charm",3365210,Toula,Victoria,Fairfield,48.41537,-123.35873,Entire home/apt,249,1,30,2020-05-10,0.35,1,211
666592,Renovated Studio Across From Ocean #6,2001974,Martin,Victoria,James Bay,48.41174,-123.37641,Entire home/apt,55,28,8,2017-09-04,0.12,16,300
668372,Tidal Waters Guest Suite,3383275,Alyssa,View Royal,View Royal,48.45848,-123.42771,Entire home/apt,109,2,93,2020-01-03,1.02,1,338
687407,Pender Island Oceanfront Cottage #2,3500087,Paul,Southern Gulf Islands,Southern Gulf Islands,48.7978,-123.30928,Entire home/apt,150,2,24,2020-02-17,0.29,1,171
702671,Beautifully renovated Oak Bay home,3605996,Cathie,Oak Bay,Oak Bay,48.42759,-123.32123,Entire home/apt,326,7,5,2018-08-06,0.09,1,364
734855,Beautiful Family Character Home,3752740,Josie,Oak Bay,Oak Bay,48.42031,-123.31057,Entire home/apt,185,5,15,2019-12-29,0.18,1,153
739975,"Cordova Bay Beach Suite, Oceanfront",3872067,Pam,Saanich,Saanich,48.51641,-123.36713,Entire home/apt,126,2,230,2020-05-28,2.48,1,10
746413,Sunlit Garden Home by the Sea,1149587,Linda & Richard,Oak Bay,Oak Bay,48.41497,-123.31116,Entire home/apt,180,14,16,2020-03-15,0.23,1,258
765246,Lakeside Cottage,4034527,Jack,Salt Spring Island,Salt Spring Island,48.81277,-123.46623,Entire home/apt,200,3,39,2019-09-10,0.49,1,276
773339,"Condo Close to Beach, Golf & RRU",4080829,Rob & Angelika,Colwood,Colwood,48.40638,-123.50954,Entire home/apt,79,4,24,2019-08-16,0.34,3,130
774824,Secluded Chalet in James Bay- Free Bicycles!,186785,Michael,Victoria,James Bay,48.42093,-123.38111,Entire home/apt,100,3,275,2020-03-30,3.09,2,0
775220,Seastar Charming west coast escape.,4089253,Corinne,Juan de Fuca,Juan de Fuca,48.38136,-123.89777,Entire home/apt,235,2,184,2020-05-31,2.04,1,361
784093,"Carriage House B&B - ""The Sun Room""",4134834,Dan & Naoko,Victoria,James Bay,48.4151,-123.36835,Private room,88,2,183,2020-03-08,2.04,3,365
811395,"Bright, Family Friendly home close to Down Town",1355904,Laurel,Saanich,Saanich,48.47011,-123.40666,Entire home/apt,289,7,26,2019-08-08,0.29,1,179
823111,Ocean view suite close to Royal Road's University,4321402,Gerri,Colwood,Colwood,48.41901,-123.48414,Entire home/apt,72,2,175,2019-11-17,2.11,1,0
863030,Captain's Quarters Cottage,4524615,Razali,Salt Spring Island,Salt Spring Island,48.76368,-123.45681,Entire home/apt,150,1,32,2020-01-24,0.37,1,274
873616,Salish Sea Beach House,4589787,Shelley,Sidney,Sidney,48.63568,-123.40512,Entire home/apt,189,2,28,2018-08-17,0.36,1,153
876406,Private & Sunny House,4628474,Trish,Victoria,James Bay,48.4145,-123.37753,Entire home/apt,150,31,69,2019-08-16,0.84,1,353
908514,"Lakefront Charm, in the heart of a bird sanctuary",4869031,Janette,Langford,Langford,48.44064,-123.52641,Entire home/apt,226,3,25,2019-10-09,0.33,1,32
910427,Cedar Log Home Galiano Island,4883986,Robbie,Southern Gulf Islands,Southern Gulf Islands,48.88462,-123.33135,Entire home/apt,85,1,180,2020-06-01,4.90,1,312
920656,Studio Cottage  @ French Beach.   No Cleaning Fee.,4948373,Ava & Marty,Juan de Fuca,Juan de Fuca,48.39447,-123.98135,Entire home/apt,109,1,355,2020-01-26,4.05,2,346
936367,Cook St Village Studio Near Downtown,3967984,Nicole & Gilles,Victoria,Fairfield,48.41501,-123.34893,Entire home/apt,76,29,355,2020-02-03,4.02,1,203
