id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14576,Dp Valen Castillo 1600,14972,Bruno,,Santiago,-33.46413,-70.64869,Entire home/apt,77681,5,0,,,1,364
30950,"Apartment Providencia, Santiago",132845,Pamela,,Providencia,-33.43174,-70.61845,Entire home/apt,25000,5,6,2020-09-25,0.15,1,339
47936,My Flat in English,218471,Nelsk,,Santiago,-33.44791,-70.63547,Private room,42664,1,0,,,1,365
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43266,-70.60072,Private room,41171,3,0,,,2,178
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,41888,1,45,2019-10-11,0.37,3,365
53494,depto centro ski el colorado chile,249097,Paulina,,Lo Barnechea,-33.34344,-70.29432,Entire home/apt,149999,2,37,2019-08-19,0.70,1,365
53917,Estudio un ambiente Metro Bellas Artes,252213,Patricia,,Santiago,-33.43524,-70.64544,Entire home/apt,27150,60,8,2019-05-11,0.35,1,54
55303,Departamento Amoblado en Santiago,261079,Hernan,,Providencia,-33.42329,-70.60886,Entire home/apt,85327,2,2,2016-11-28,0.03,4,365
55606,internet wi fi,262785,Arpitelas,,Providencia,-33.4388,-70.60971,Private room,62056,1,0,,,1,365
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64135,Private room,46542,2,0,,,1,365
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43868,-70.64414,Private room,62056,3,0,,,1,365
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51918,-70.59149,Private room,22041,2,0,,,1,363
83677,Loft in Pocuro,456388,Keno,,Providencia,-33.43159,-70.59202,Entire home/apt,112477,1,0,,,1,365
85324,BEAUTIFUL APARTMENT!!! IN DOWNTOWN.,467328,Mirochlava,,Santiago,-33.45417,-70.652,Entire home/apt,46608,1,10,2018-02-20,0.09,2,365
85517,Student House for Santiago de Chile,468375,Housing Horizonte,,Santiago,-33.43851,-70.66642,Private room,10099,30,0,,,3,365
88731,Rent Nice private room and bathroom,484432,Ximena,,Las Condes,-33.4106,-70.57523,Private room,27150,3,39,2018-11-16,0.37,2,365
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.4222,-70.60846,Entire home/apt,20944,3,159,2020-02-29,1.45,1,196
89101,Hospedaje por noche en Ñuñoa,485821,Flavio E,,Ñuñoa,-33.46315,-70.62546,Private room,34956,1,0,,,2,365
90629,Hermoso departamento individual,491051,Marcy-Lú,,Santiago,-33.43787,-70.64082,Entire home/apt,77570,3,0,,,1,365
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.4259,-70.61692,Entire home/apt,31372,2,57,2019-08-05,0.50,3,365
90769,New & Warm Apartment in Providencia,491253,Hector,,Providencia,-33.42864,-70.62178,Entire home/apt,31372,7,12,2013-03-20,0.10,3,357
92240,Habitación baño privado y desayuno.,496727,Bernardita,,Estación Central,-33.46215,-70.72403,Private room,31072,1,47,2018-05-29,0.49,2,362
94147,"Great house in Santiago, Las Condes",493996,Abraham,,Las Condes,-33.39929,-70.54542,Private room,38064,1,2,2011-12-07,0.02,1,365
95139,Room Family Home,506998,Rafael,,Santiago,-33.43665,-70.67835,Private room,55153,7,0,,,1,365
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.42532,-70.58566,Private room,46542,1,0,,,1,365
98040,Room with Bathroom,517997,Mario,,Ñuñoa,-33.45085,-70.62732,Private room,31028,1,0,,,1,365
98989,Rent Furnished Apartment,521687,Priscila,,Santiago,-33.44857,-70.63874,Entire home/apt,217196,1,0,,,1,365
100057,DEPARTAMENTO CENTRO DE SANTIAGO,526328,Fernando,,Santiago,-33.43199,-70.65789,Private room,62056,14,2,2012-02-13,0.02,1,365
100230,"Apartment Providencia, Santiago",527076,Julio Mauricio,,Santiago,-33.44479,-70.64496,Private room,38785,1,0,,,1,365
100697,departamentos para turistas,528781,Lilian,,Las Condes,-33.42645,-70.56638,Private room,50493,3,0,,,7,365
