id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
69074,Beautiful oasis of plants & art @ best location,160139,Amy,,Central & Western,22.28352,114.15018,Entire home/apt,1395,3,134,2020-03-24,1.18,1,143
75083,SoHo off Hollywood Road  3B,304876,Brend,,Central & Western,22.28398,114.14839,Entire home/apt,783,14,229,2020-04-18,2.02,13,193
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28407,114.1557,Entire home/apt,845,2,271,2020-05-22,2.47,13,0
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28868,114.14494,Entire home/apt,1046,2,305,2020-04-30,2.81,13,345
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.28343,114.15539,Entire home/apt,930,2,27,2015-06-30,0.25,1,135
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28651,114.14874,Entire home/apt,690,2,222,2020-04-11,2.07,13,338
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28694,114.14855,Entire home/apt,767,2,225,2020-05-22,2.09,13,344
228510,Creative Residence in Yau Ma Tei,1192493,Michael,,Yau Tsim Mong,22.30983,114.16911,Private room,698,1,17,2017-02-08,0.16,1,365
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28291,114.15137,Entire home/apt,643,1,163,2019-12-21,1.55,1,42
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.27757,114.15205,Private room,4263,10,0,,,1,0
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27928,114.17124,Entire home/apt,1070,4,240,2020-03-15,2.32,1,277
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.28359,114.13138,Entire home/apt,891,2,43,2020-03-18,0.41,6,260
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,930,4,160,2020-04-17,1.61,6,351
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.28317,114.15028,Entire home/apt,620,2,22,2016-06-20,0.21,1,0
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.28114,114.15306,Entire home/apt,775,1,34,2018-09-29,0.43,1,0
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28222,114.15448,Entire home/apt,1054,30,20,2015-08-14,0.20,1,0
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27599,114.17976,Private room,992,1,15,2015-11-14,0.15,17,365
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.27711,114.17772,Entire home/apt,2232,1,104,2020-05-29,1.04,17,365
354442,5500 sq ft family home in Hong Kong,1794577,Simon,,Southern,22.26791,114.12554,Entire home/apt,2503,5,2,2018-06-26,0.06,1,0
405722,Soho/ Mid-levels Apt For Rental ,2022316,Tereza,,Central & Western,22.2816,114.15042,Entire home/apt,1008,1,0,,,1,0
410921,SUITE 1: Next to South Pacific Hotel,1375696,C S,,Wan Chai,22.27736,114.17949,Private room,775,1,18,2017-10-06,0.18,17,365
412404,Budget Apt 1-5 px Tsim Sha Tsui Mtr,1991696,Gigi,,Yau Tsim Mong,22.29701,114.17138,Entire home/apt,550,1,221,2019-08-10,3.09,3,2
442781,Spacious Lofty and Modern Apartment,2200572,Edouard,,Central & Western,22.28756,114.13367,Entire home/apt,1232,5,10,2020-03-17,1.85,1,0
459463,Wifi Causeway Bay petit home by MTR,2283777,Jennifer,,Wan Chai,22.27732,114.18291,Entire home/apt,318,1,76,2019-11-05,1.01,16,365
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28753,114.14308,Entire home/apt,1310,3,21,2020-01-04,0.22,1,289
468754,3 Bedrooms Apt Near Times Square,2254012,Chloe,,Wan Chai,22.28073,114.17838,Entire home/apt,1101,3,199,2019-10-15,2.03,1,0
470946,Studio@waterfront+Sleep4+Island East+MTR station,2336819,Han,,Eastern,22.28327,114.22136,Entire home/apt,860,2,181,2020-05-26,1.85,2,207
481671,Cozy apart in the heart of SW!,2379932,Emilie,,Central & Western,22.28571,114.15166,Entire home/apt,302,15,0,,,1,0
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.32193,114.16213,Entire home/apt,535,4,60,2019-02-09,0.64,1,365
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.23697,114.11059,Entire home/apt,581,5,30,2017-11-09,0.38,2,0
505160,"Apartment located in Stanley, H.K.",1443229,Alice,,Southern,22.21972,114.209,Entire home/apt,698,3,25,2020-05-08,0.35,6,363
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28356,114.14835,Entire home/apt,876,1,203,2020-05-14,2.08,1,333
524265,Modern Designer Flat near Central,1443229,Alice,,Central & Western,22.28338,114.13178,Entire home/apt,853,2,35,2019-08-21,0.43,6,358
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.28403,114.14192,Entire home/apt,1000,1,12,2015-12-30,0.14,1,0
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.28276,114.12848,Entire home/apt,752,5,2,2015-02-15,0.03,1,0
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28505,114.14211,Entire home/apt,535,2,184,2020-06-02,1.93,3,360
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.3136,114.18918,Private room,248,2,232,2019-12-30,2.40,1,364
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.27973,114.18623,Entire home/apt,597,90,1,2018-09-02,0.05,10,254
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,171,1,113,2019-11-10,1.21,64,365
562775,Mixed Dorm Bed#2/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,279,1,226,2020-03-26,3.98,64,365
562795,Mixed Dorm Bed#3/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,279,1,45,2019-11-07,0.79,64,0
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,279,1,25,2019-06-14,0.45,64,365
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,279,1,163,2019-12-27,1.70,64,365
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,279,1,28,2019-05-08,0.29,64,0
562859,Grand convenient studio! (C),2767759,Alfred,,Wan Chai,22.27914,114.18472,Entire home/apt,597,120,4,2019-07-27,0.04,10,0
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25386,113.86401,Hotel room,1759,1,8,2019-05-03,0.13,4,47
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846,114.17233,Entire home/apt,450,1,298,2020-01-02,3.12,3,0
598668,Special offer! 1 mins walk from MTR Causeway Bay!,2961152,Lin,,Wan Chai,22.28124,114.18418,Private room,349,28,3,2016-02-01,0.03,14,365
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25592,113.86183,Hotel room,1155,1,26,2020-03-22,0.35,4,182
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25437,113.86371,Hotel room,884,1,17,2020-04-16,0.21,4,180
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.25409,113.86229,Hotel room,636,1,62,2020-03-19,0.76,4,43
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.29378,114.01458,Entire home/apt,1504,2,174,2020-02-27,2.21,1,0
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631,114.00862,Entire home/apt,1651,2,170,2020-01-31,1.78,1,153
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.28387,114.14753,Entire home/apt,1201,5,28,2016-03-23,0.30,1,0
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.27811,114.17354,Entire home/apt,1000,180,19,2013-08-31,0.20,1,365
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32619,114.16461,Hotel room,233,1,147,2020-01-27,1.56,7,0
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,279,3,37,2020-01-09,0.39,7,0
668338,"Clean 5mins to MTR walk up 1f, Rm 1",3383055,Kiki,,Yau Tsim Mong,22.31128,114.16836,Private room,302,1,107,2019-02-06,1.14,10,365
669310,Cosy studio in Sheung Wan. 30sec to MTR.,2083001,Krystal & Ryan,,Central & Western,22.28616,114.15247,Entire home/apt,853,2,200,2020-03-08,2.64,6,0
672039,"Clean 5mins to MTR walk up 1f, Rm 2",3383055,Kiki,,Yau Tsim Mong,22.31008,114.17026,Private room,349,1,152,2019-12-06,1.62,10,365
682768,"Clean 5mins to MTR walk up 1f, Rm 3",3383055,Kiki,,Yau Tsim Mong,22.30942,114.1685,Private room,302,1,141,2019-12-28,1.50,10,0
682794,"Clean 5mins to MTR walk up 1f, Rm 4",3383055,Kiki,,Yau Tsim Mong,22.31145,114.16845,Private room,302,1,140,2019-11-07,1.51,10,365
682797,"Clean 5mins to MTR walk up 1f, Rm 5",3383055,Kiki,,Yau Tsim Mong,22.31082,114.17003,Private room,302,1,210,2019-10-28,2.23,10,365
711099,Sharing the sofa of a local family. (Female only),3659684,MiMi,,Yuen Long,22.43497,114.00188,Shared room,403,28,0,,,1,365
714585,Group Favour (DH) in Wan Chai,1452499,Sally,,Wan Chai,22.27904,114.17084,Entire home/apt,1938,3,255,2020-02-11,2.77,4,76
720841,"Tidy quiet 3 m to Jordan MTR, 15 m to Poly U, Rm 8",3383055,Kiki,,Yau Tsim Mong,22.30599,114.1712,Private room,302,1,30,2018-12-17,0.32,10,365
724382,"Tidy, quiet Room 6, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30745,114.17138,Private room,248,1,212,2019-08-24,2.26,7,365
724428,"Tidy, quiet Room 7, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30759,114.17105,Private room,380,1,156,2020-01-17,1.68,7,352
724853,"Tidy, quiet Room 9, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.3062,114.17224,Private room,217,1,113,2019-06-27,1.21,7,365
724874,"Tidy, quiet Room 8, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30615,114.17108,Private room,217,1,193,2019-08-13,2.09,7,338
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31692,114.1699,Private room,318,28,9,2019-08-30,0.10,4,0
728126,Harbor View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31618,114.16924,Private room,388,28,17,2017-10-08,0.19,4,0
730356,Clean coxy 30 sec to Jordan MTR Rm6,3383055,Kiki,,Yau Tsim Mong,22.30757,114.17139,Private room,504,1,20,2019-09-20,0.21,10,365
730367,Clean coxy 30 sec to Jordan MTR Rm7,3383055,Kiki,,Yau Tsim Mong,22.30761,114.17112,Private room,450,1,24,2019-04-06,0.26,10,365
730379,"Tidy quiet near Jordan MTR Poly University, Rm 9",3383055,Kiki,,Yau Tsim Mong,22.30618,114.17221,Private room,473,1,22,2016-10-05,0.24,10,365
733192,2 BR Quiet 400²ft 1 Min walk to MTR Prime Location,3820308,David,,Yau Tsim Mong,22.32135,114.16919,Entire home/apt,597,3,78,2019-05-04,0.84,7,365
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31827,114.16853,Private room,380,28,15,2019-01-01,0.17,4,349
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31642,114.17003,Private room,279,28,43,2019-11-30,0.48,4,365
744230,Charming 1 BR appt + roof in Soho,3900338,Marie,,Central & Western,22.2822,114.1518,Entire home/apt,1008,2,7,2016-03-08,0.12,2,0
754511,"Best of Causeway Bay, Tai Hang",3970555,Quentin,,Wan Chai,22.27926,114.19207,Entire home/apt,721,4,14,2016-01-05,0.15,1,0
764696,Single bed room with green view ,4031260,Jen Ai,,North,22.50262,114.13418,Private room,349,2,39,2019-07-06,0.42,2,362
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23011,114.21856,Entire home/apt,5038,90,5,2017-04-16,0.06,1,8
767500,Cozy Double Rm 1 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.30564,114.17184,Private room,326,1,198,2019-03-24,2.19,8,365
767707,MK superior house 2 rms fit 6 pp,3800609,Zoe,,Yau Tsim Mong,22.31841,114.16981,Entire home/apt,775,1,147,2019-12-16,1.63,14,349
773468,"Modern, quiet apt with park view",80868,Daniel,,Central & Western,22.28427,114.1486,Entire home/apt,853,1,0,,,2,0
775458,Harbour Front + City Center + Cozy ,2007350,Mandy & Henry,,Wan Chai,22.28067,114.17878,Entire home/apt,1349,2,328,2019-10-05,3.55,1,167
775479,Tidy and clean sofa bed in living room,4090623,Lau,,Yau Tsim Mong,22.3195,114.16799,Shared room,101,5,189,2019-08-30,2.42,3,0
777269,wifiCauseway Bay cozy stu 2mins>MTR,2283777,Jennifer,,Wan Chai,22.27912,114.18398,Private room,333,1,113,2019-06-17,1.25,16,365
782604,2BRs Serviced Apartment@KennedyTown,4127290,Stephen,,Central & Western,22.28346,114.13047,Entire home/apt,1000,27,28,2019-01-22,0.31,1,364
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28,114.15218,Entire home/apt,969,3,23,2020-06-03,0.27,1,365
793175,一個簡單的家......一個寧靜適合休息的家｡,4179437,佩茵,,Sha Tin,22.3702,114.17273,Shared room,202,1,0,,,1,0
