id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,3933,1,19,2019-07-27,0.16,56,91
23169,M302-Cozy Serviced Studio in Center,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2646,1,113,2019-04-30,0.92,56,61
26748,Apartment Great LETNA & Terrace,113902,Daniel+Bea,,Praha 7,50.10011,14.42567,Entire home/apt,2695,3,347,2020-03-08,2.94,3,316
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08569,14.43344,Entire home/apt,2161,3,250,2020-03-07,4.08,3,360
27916,Cosy & Quiet Studio - Romantic Stay in Zizkov,120384,Hana,,Praha 3,50.08113,14.4568,Entire home/apt,1043,2,413,2020-03-11,3.44,3,0
30762,R23-Elegant Serviced 86m2 | Center,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,5803,1,12,2019-11-04,0.11,56,58
33813,"Central, Sunny and Modern Studio Apartment",146052,Karen,,Praha 2,50.0724,14.44079,Entire home/apt,1311,3,188,2020-03-01,1.64,11,235
40726,"Classy Studio, ART NOUVEAU house",174245,Suzanna,,Praha 3,50.07912,14.45373,Entire home/apt,1214,2,98,2020-03-07,0.84,3,365
40728,"Prime Location, Elegant Studio!",174245,Suzanna,,Praha 3,50.07871,14.45213,Entire home/apt,1214,2,120,2020-03-02,1.02,3,365
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08365,14.41409,Entire home/apt,2282,3,321,2020-01-03,2.69,1,365
49874,Red Flavour by Ruterra,227945,Alex And Kate,,Praha 2,50.07137,14.43274,Entire home/apt,1068,3,175,2020-01-11,1.50,103,0
50967,Ruterra 2 BDR Flat for Friends,227945,Alex And Kate,,Praha 3,50.08122,14.44835,Entire home/apt,1068,2,195,2020-03-01,1.67,103,0
52148,Ruterra 2Room Family Apartment,227945,Alex And Kate,,Praha 2,50.0709,14.43157,Entire home/apt,971,2,132,2020-03-09,1.13,103,0
