id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68798,12.54571,Private room,364,2,168,2019-07-19,1.24,1,68
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69163,12.57459,Entire home/apt,2400,3,50,2019-12-14,0.59,1,310
29118,Best Location in Cool Istedgade,125230,Nana,,Vesterbro-Kongens Enghave,55.67069,12.5543,Entire home/apt,725,7,22,2019-08-02,0.17,1,111
31094,"Very central and cozy, new kitchen",129976,Ebbe,,Vesterbro-Kongens Enghave,55.66744,12.55516,Entire home/apt,750,2,17,2017-08-25,0.14,1,179
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71158,12.56879,Entire home/apt,618,100,7,2016-09-15,0.06,1,275
37159,Unique space on greatest location,160390,Jeanette,,Indre By,55.68572,12.56749,Entire home/apt,2392,5,11,2017-08-22,0.09,1,227
38524,Copenhagen studio in Frederiksberg,165326,Annemette,,Frederiksberg,55.67628,12.53801,Entire home/apt,744,30,16,2019-08-09,0.14,1,364
60048,"Modern, Cosy & Central - Vesterbro!",288615,Oliver,,Vesterbro-Kongens Enghave,55.66782,12.54843,Entire home/apt,850,3,67,2019-08-20,0.56,1,364
65902,10 min. from city centre on bike,322300,Sjelle,,Nrrebro,55.70491,12.55331,Private room,420,2,92,2020-01-01,0.80,1,89
78381,IN THE HEART OF CPH,420914,Cathrine,,Indre By,55.6839,12.56727,Entire home/apt,1109,3,102,2019-12-14,0.89,1,364
103293,1700 sqft designers apartment with park view,538877,Claus,,Indre By,55.69608,12.58177,Entire home/apt,1278,5,10,2017-07-30,0.09,1,299
112292,Copenhagen Exclusive,573172,Christoffer,,Frederiksberg,55.68068,12.54581,Entire home/apt,1488,6,30,2019-08-07,0.27,1,119
118649,Charming Center of Copenhagen,599145,Iben Ammentorp,,Indre By,55.68409,12.5629,Entire home/apt,1406,2,41,2019-12-30,0.36,1,0
118971,Child friendly in hip area,600859,Jonas,,Nrrebro,55.69132,12.5575,Entire home/apt,1500,4,24,2019-09-10,0.21,1,364
119322,"Urban, cultural & child-friendly",602647,Michael,,Indre By,55.68893,12.56633,Entire home/apt,1339,3,14,2019-11-25,0.12,1,365
142599,Lovely room in central Copenhagen,692479,Gunhild B.,,Vesterbro-Kongens Enghave,55.66476,12.54449,Private room,500,2,95,2019-08-11,0.83,1,87
143230,Family home by Christianshavn Canal,695079,Ilang & Marika,,Indre By,55.67328,12.59116,Entire home/apt,1520,2,82,2019-12-02,0.80,1,257
154529,Beautiful Frederiksberg,743327,Cecilie,,Frederiksberg,55.68765,12.53291,Entire home/apt,680,6,10,2020-02-09,0.35,1,365
155068,Cozy apartment on Vesterbro- Copenhagen,745804,Harald,,Vesterbro-Kongens Enghave,55.66723,12.54547,Entire home/apt,695,4,49,2020-01-03,0.44,1,0
157093,Rooftop app. in cozy nørrebro area,754626,Sigrid,,Nrrebro,55.69003,12.54109,Entire home/apt,799,3,36,2020-01-01,0.46,1,118
158241,Cozy apartment i Copenhagen,759451,Martin Grønberg,,Vesterbro-Kongens Enghave,55.66395,12.54902,Entire home/apt,1029,3,46,2020-08-30,0.89,1,363
161208,unique apt. in copenhagen,726203,Birgitte,,Nrrebro,55.69842,12.5506,Entire home/apt,422,6,99,2020-09-02,0.88,1,290
171546,Great apartment in Copenhagen,818458,Ditte,,Vesterbro-Kongens Enghave,55.67003,12.54896,Entire home/apt,718,5,55,2020-03-02,0.70,1,333
173032,Familierum i Newyorker lejlighed,826011,Kirsten,,Vesterbro-Kongens Enghave,55.66479,12.5453,Private room,350,7,1,2015-07-20,0.02,3,298
175283,Top floor close to central station,837986,Steen,,Vesterbro-Kongens Enghave,55.67274,12.55953,Entire home/apt,740,5,1,2020-09-27,1,1,365
176963,Cosy private room close to center -next to Metro,846204,Vogelkop,,Vesterbro-Kongens Enghave,55.66933,12.54838,Private room,300,2,377,2020-10-19,3.37,4,157
178888,"Beautiful apartment, Christianshavn",856422,Arlette,,Indre By,55.67055,12.59397,Entire home/apt,1500,4,10,2017-08-28,0.12,1,330
179543,Spacious and light with balcony,859797,Cathrine,,Amager Vest,55.65658,12.60886,Entire home/apt,800,3,28,2019-08-20,0.37,1,122
182227,Industrial danish design penthouse w/balcony+Weber,873477,Steven,,Vesterbro-Kongens Enghave,55.66807,12.5434,Entire home/apt,1079,5,20,2018-10-07,0.18,2,36
186454,Artistic & colourful  apartment.,896083,Cathrine,,Vesterbro-Kongens Enghave,55.67023,12.54808,Private room,371,1,187,2020-09-17,1.67,1,365
194022,Penthouse in central CPH,941790,Morten,,Nrrebro,55.69032,12.56167,Entire home/apt,1259,3,130,2020-09-28,1.17,1,0
198448,Penthouse overlooking the harbor,968571,Stefan,,Indre By,55.6821,12.59445,Entire home/apt,750,5,73,2020-10-03,0.67,1,340
202142,"Two floors, Cph. central station",988914,Erik,,Vesterbro-Kongens Enghave,55.66886,12.55591,Entire home/apt,850,7,2,2018-10-20,0.05,1,0
218854,Cool rooftop apartment by the lakes,168254,Kristina,,Nrrebro,55.68955,12.56124,Entire home/apt,787,2,20,2019-11-04,0.18,1,365
225323,Unique designer flat in city centre,293636,Sophie,,Indre By,55.68196,12.57156,Entire home/apt,930,4,20,2019-10-27,0.19,1,263
231411,Overlooking the roofs of Copenhagen,1210000,Annette,,Frederiksberg,55.67549,12.55265,Entire home/apt,856,3,96,2020-08-01,0.87,1,299
239705,Quiet and cosy - breakfast incl!,1256726,Ellen-Marie,,Nrrebro,55.70635,12.55665,Private room,369,2,157,2020-03-06,1.43,1,0
240802,Copenhagen big top floor apartment,1263184,Mette,,Nrrebro,55.69033,12.56241,Entire home/apt,1191,2,5,2019-06-29,0.05,1,173
250201,Lovely apartment in Copenhagen,1310948,Tilde,,Vesterbro-Kongens Enghave,55.6672,12.557,Entire home/apt,623,3,17,2013-06-30,0.16,1,0
258430,Private Room in Copenhagen SV,268171,Rouslan,,Vesterbro-Kongens Enghave,55.64608,12.52721,Private room,234,1,292,2020-10-14,5.66,2,179
258670,Large Family Flat in Copenhagen - Nordic Style,848166,Mikael,,Frederiksberg,55.68765,12.52779,Entire home/apt,930,2,109,2019-10-07,1.00,1,179
260657,"Beautiful, centrally located apart",1268134,Grith,,Frederiksberg,55.67425,12.55198,Entire home/apt,819,3,68,2020-08-03,0.64,1,17
262961,"Artistic,Big,Cozy&Delight 192m2 in center Nørrebro",1379904,Nina,,Nrrebro,55.69042,12.56096,Entire home/apt,1481,5,29,2020-08-08,0.27,1,298
263036,Bright flat in central location,1232471,Anita,,Nrrebro,55.69004,12.54424,Entire home/apt,773,3,18,2019-06-17,0.17,1,83
264220,MY HOME  IN  FANTASTIC COPENHAGEN,1386103,Angelina,,Amager st,55.66118,12.60474,Shared room,2126,2,4,2015-05-29,0.05,6,365
269188,Two floors rooftop apartment in the heart of CPH,1410104,Kenneth,,Vesterbro-Kongens Enghave,55.66531,12.55417,Entire home/apt,1990,1,17,2019-08-04,0.26,1,365
279685,Newyorker apartment in central CPH?,1458132,Pernille,,Vesterbro-Kongens Enghave,55.6701,12.54216,Entire home/apt,497,30,13,2018-06-20,0.13,1,293
290446,"Downtown cosy, spacious apartment. Great location",1504925,Kurt,,Vesterbro-Kongens Enghave,55.6714,12.55741,Entire home/apt,1500,3,29,2019-10-03,0.28,1,0
304278,Bright penthouse - great with kids!,1565799,Mikkel,,Nrrebro,55.69341,12.54452,Entire home/apt,850,5,37,2019-10-18,0.36,1,114
309552,"Central, bright apartment w/balcony",1591763,Nynne,,Vesterbro-Kongens Enghave,55.66648,12.55368,Entire home/apt,700,5,45,2018-08-09,0.44,1,0
312803,Visit wonderful Copenhagen as a lokal,1608326,Karin Munkholm,,Vesterbro-Kongens Enghave,55.67068,12.5441,Entire home/apt,1227,2,53,2019-10-21,0.53,1,184
313003,130m2 scandinavian designed apt. prime location,1606895,Alexandra,,Indre By,55.68431,12.56436,Entire home/apt,4000,2,23,2018-08-23,0.22,1,365
