id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28925,Grande maison centre ville Comme à la campagne,124398,Laurence,Bordeaux,Centre ville (Bordeaux),44.8491,-0.5935,Entire home/apt,350,2,2,2018-07-06,0.05,1,278
185534,L'Echoppe typique de Bordeaux - tout confort,890736,Aurore,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83063,-0.59331,Entire home/apt,125,4,0,,,1,0
218103,B&B Apart.Suite  / tropical garden,1127981,Luis,Bgles,Bgles,44.81418,-0.54842,Entire home/apt,110,2,38,2020-08-24,0.35,4,276
222887,"Bordeaux Terrace - spectacular view, fast Wifi",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83611,-0.5664,Entire home/apt,174,3,38,2019-11-11,0.36,4,302
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84782,-0.58105,Entire home/apt,127,3,24,2020-03-08,0.32,4,303
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83882,-0.56887,Entire home/apt,190,3,60,2020-08-14,4.76,4,0
333031,STUDIO BORDEAUX TRIANGLE D OR ***** Climatisé,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84267,-0.57656,Entire home/apt,72,1,311,2020-09-13,3.02,2,362
333592,Charming apt with terrace center town,1699300,Alexandre,Bordeaux,Centre ville (Bordeaux),44.84701,-0.58249,Entire home/apt,90,2,39,2020-09-02,0.39,1,38
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bgles,Bgles,44.81149,-0.55825,Entire home/apt,85,5,34,2020-08-07,0.34,2,350
400306,Bright and spacious apartment with a nice balcony,1998044,Faustine,Bordeaux,La Bastide,44.8439,-0.55831,Entire home/apt,59,1,24,2020-03-15,0.49,1,0
403245,Charming Apt in City Center + Patio,2011519,Antoine & Rose,Bordeaux,Bordeaux Sud,44.83385,-0.57033,Entire home/apt,59,2,321,2019-12-31,3.13,1,81
408270,B&B Bedroom N°2  / tropical garden,1127981,Luis,Bgles,Bgles,44.81412,-0.54641,Entire home/apt,90,2,90,2020-09-05,4.27,4,0
410267,B&B Apart. N°3 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81494,-0.54799,Entire home/apt,90,2,53,2020-09-06,0.52,4,272
412475,B&B Apart n°4 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81428,-0.54875,Entire home/apt,90,2,79,2020-08-28,0.79,4,271
437127,Om Sweet Home B&B  chambre double,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85636,-0.58518,Private room,46,2,286,2020-03-02,2.86,2,311
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85575,-0.5824,Private room,31,2,213,2020-08-20,2.10,2,307
450324,"House with garden, near Bordeaux",1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86238,-0.50698,Entire home/apt,110,2,16,2020-08-28,0.16,1,0
457462,"BORDEAUX, swimming-pool, tennis !",2273643,Nadine,Talence,Talence,44.80935,-0.59991,Entire home/apt,75,2,17,2019-08-21,0.17,1,323
457640,Appartement piscine tennis Bordeaux,2274580,Christine,Talence,Talence,44.80907,-0.60034,Entire home/apt,80,2,62,2020-08-21,0.63,1,112
482102,Beautiful city house full comfort,2387430,Frederic,Le Bouscat,Le Bouscat,44.85446,-0.59562,Entire home/apt,195,2,269,2020-09-13,2.70,1,319
500193,Bordeaux centre T3 60m2 avec jardin,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83118,-0.5628,Entire home/apt,97,1,195,2020-09-06,2.00,2,338
545440,Loft with its private swimming pool,2680968,Jeanne,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85657,-0.57796,Entire home/apt,230,2,53,2020-09-19,0.54,1,300
548827,"B&B ""room Roxane"" Bordeaux downtown",675681,Frédérique,Bordeaux,Centre ville (Bordeaux),44.83949,-0.57233,Private room,110,1,3,2013-09-06,0.03,4,157
557526,"Bordeaux, jardin, piscine, tennis !",2741181,Armelle Et Bruno,Talence,Talence,44.81216,-0.59949,Entire home/apt,79,3,10,2020-02-09,0.16,1,0
568013,Family house in bordeaux center,1842076,Grégory,Bordeaux,Bordeaux Sud,44.8337,-0.56805,Entire home/apt,90,4,20,2019-06-01,0.21,2,21
582745,Villa Caramac - Bordeaux,2870240,Pierre,Le Bouscat,Le Bouscat,44.86363,-0.60591,Entire home/apt,180,2,115,2020-08-23,1.18,1,0
599263,Bordeaux centre historique,2964570,Vincent,Bordeaux,Centre ville (Bordeaux),44.83828,-0.5762,Entire home/apt,96,3,68,2020-08-23,1.42,1,331
648539,"Location au mois avec bail, Bordeaux centre",3253952,Paul +  Sarah,Bordeaux,Bordeaux Sud,44.83103,-0.56652,Entire home/apt,29,30,43,2018-05-30,0.44,1,81
656926,Comfortable private rooms in Artist's House,3309367,Alice,Bordeaux,Bordeaux Sud,44.83421,-0.56205,Private room,50,2,4,2018-09-16,0.10,2,0
667763,Charme au coeur du Vieux Bordeaux,3378979,Xavier,Bordeaux,Centre ville (Bordeaux),44.83703,-0.56795,Entire home/apt,101,27,152,2019-11-29,1.56,2,289
670292,Appartement meublé 55m2 + terrasse,3396304,Françoise,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82984,-0.58893,Entire home/apt,70,3,15,2020-08-23,0.23,1,345
675853,"Architect House, Bordeaux",3309367,Alice,Bordeaux,Bordeaux Sud,44.83266,-0.56264,Entire home/apt,100,2,19,2020-03-14,0.20,2,0
709326,Chambre ds maison 1x1.40m ou 2x90m,3649476,Marc,Bordeaux,Caudran,44.83948,-0.61874,Private room,50,2,2,2018-10-24,0.04,2,231
717608,BORDEAUX STONE HOUSE WITH GARDEN IN,1229567,Sophie,Bordeaux,La Bastide,44.84173,-0.54901,Entire home/apt,210,5,51,2020-08-15,0.53,1,354
724856,Room quiet - Bordeaux down town,3746923,Elisabeth,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83165,-0.59787,Private room,45,2,83,2020-02-16,0.91,2,15
749334,"T2 60m2. Bordeaux, 600€/mois",3937898,Annececile,Bordeaux,Bordeaux Sud,44.83393,-0.56643,Entire home/apt,25,14,0,,,1,0
752422,"T2 62m2 Center of Bordeaux , Tourny",3957077,Vanessa,Bordeaux,Centre ville (Bordeaux),44.84655,-0.58042,Entire home/apt,50,5,7,2015-07-16,0.10,1,0
765240,LUXUEUX APPARTEMENT DANS LE TRIANGLE D'OR,4034501,Arielle & Stéphane,Bordeaux,Centre ville (Bordeaux),44.84344,-0.57748,Entire home/apt,210,3,14,2020-08-01,0.15,1,354
776808,Stay in Lonely Planet's Pick  B&B | 330630003114E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.8256,-0.58388,Private room,121,2,10,2020-03-09,1.06,2,0
777417,Blue Lodge B&B | protected area | 330630003114E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.82579,-0.58352,Private room,123,2,9,2019-11-10,0.19,2,95
779477,CENTRE 3 CHAMBRES/6PERS MAX/TRES CALME,4085017,Richard Et Marie-Anne,Bordeaux,Centre ville (Bordeaux),44.84717,-0.58941,Entire home/apt,67,2,279,2020-09-06,3.02,1,263
783449,Independent Room on garden !,4057188,Virginie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83011,-0.60038,Private room,59,1,513,2020-09-10,5.41,3,359
793746,Chamber of hotes Bordeaux centers,4181425,Christine,Bordeaux,Bordeaux Sud,44.82869,-0.57231,Entire home/apt,80,3,267,2020-09-06,2.84,2,362
801440,Studio in full center of Bordeaux,4181425,Christine,Bordeaux,Bordeaux Sud,44.82869,-0.57231,Entire home/apt,80,3,456,2020-09-18,4.92,2,353
805226,Chambre Centre de Bordeaux #2,4236484,Sophie,Bordeaux,Centre ville (Bordeaux),44.84614,-0.58054,Private room,42,2,39,2020-08-21,0.42,1,361
