id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
56766,Amazing duplex-terrace in old Lyon,269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,250,14,55,2018-09-04,0.43,1,34
71455,La Loge des Avocats - Vieux Lyon,365968,Daphné Et Vincent,,5e Arrondissement,45.76257,4.82756,Entire home/apt,80,2,7,2018-11-18,0.11,1,355
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,70,2,20,2019-12-08,0.16,1,363
134539,"Centre of old town,home sweet home",660135,Polali,,5e Arrondissement,45.7593,4.82548,Entire home/apt,60,3,118,2020-09-30,0.99,1,79
135202,Apartment Curtis Durian,609070,Xavier,,4e Arrondissement,45.78095,4.82435,Entire home/apt,30,1,0,,,2,359
136556,At home near Les Halles Paul Bocuse,668524,Nathalie,,3e Arrondissement,45.76346,4.85338,Entire home/apt,99,3,1,2012-09-14,0.01,1,178
137132,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,,6e Arrondissement,45.76996,4.85332,Entire home/apt,88,3,20,2019-12-28,0.17,1,211
174304,Apartment in the heart of the city,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,130,2,289,2021-04-03,2.71,2,166
249711,very pleasant and located idealment,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,120,2,18,2019-12-08,0.16,2,362
251630,STUDIO 5 MN OPERA LYON FURNISHED,1319577,Emmanuel,,1er Arrondissement,45.76931,4.83505,Entire home/apt,35,13,2,2021-04-17,0.03,2,335
298089,triple room in a big flat,1221016,Romain,,3e Arrondissement,45.75775,4.87644,Private room,24,1,104,2020-01-30,0.93,9,0
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Private room,72,2,20,2019-07-08,0.20,1,0
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Yoann & Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,222,2021-04-01,2.07,1,329
349150,Charming Flat in old Town center,1769157,Jacques,,5e Arrondissement,45.76401,4.82896,Entire home/apt,79,2,383,2021-03-21,3.47,1,365
365998,Studio situé au cœur historique de Lyon,1848025,Anne-Marie,,1er Arrondissement,45.76983,4.8293,Entire home/apt,66,3,111,2021-03-01,1.03,1,357
