id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ion,Mitte,Brunnenstr. Süd,52.53454,13.40256,Entire home/apt,52,5,134,2020-09-26,2.26,6,179
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.535,13.41758,Entire home/apt,90,62,147,2021-01-01,1.03,1,342
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49885,13.34906,Private room,29,7,27,2019-05-31,0.29,1,364
6883,Stylish East Side Loft in Center with AC & 2 bikes,16149,Steffen,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51171,13.45477,Entire home/apt,79,7,135,2021-01-23,1.01,1,0
7071,BrightRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54316,13.41509,Private room,33,1,293,2020-03-31,2.09,1,0
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53303,13.41605,Entire home/apt,180,6,8,2020-01-04,0.12,1,0
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54785,13.40556,Entire home/apt,70,90,25,2020-05-02,0.19,3,234
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479,13.4351,Entire home/apt,90,60,48,2017-12-14,0.37,2,1
17904,Beautiful Kreuzberg studio/fast WiFi,68997,Matthias,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49578,13.42194,Entire home/apt,49,5,279,2021-01-16,2.08,1,316
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695,13.40762,Entire home/apt,159,3,86,2020-02-26,0.84,1,179
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50273,13.43462,Entire home/apt,70,60,60,2016-06-05,0.47,2,290
22438,WOHNUNG IN BERLIN ★ MITTE,86159,Javier,Mitte,Brunnenstr. Nord,52.53445,13.38837,Entire home/apt,65,90,181,2020-11-30,1.50,1,237
22677,Prenzel garden with leafy terrace (quiet Guests),87357,Ramfis,Mitte,Brunnenstr. Süd,52.53435,13.40558,Entire home/apt,160,2,309,2020-08-07,2.45,1,270
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971,13.37975,Entire home/apt,65,185,99,2019-08-31,0.76,1,0
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079,13.41808,Entire home/apt,135,4,21,2019-12-01,0.17,2,183
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.53026,13.41947,Entire home/apt,90,4,5,2016-08-14,0.04,2,1
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54672,13.40512,Entire home/apt,80,90,32,2020-05-31,0.26,3,271
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54179,13.42388,Entire home/apt,80,60,76,2020-12-20,0.60,3,307
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54597,13.42236,Entire home/apt,116,4,304,2021-02-01,2.39,4,321
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52195,13.3559,Entire home/apt,70,3,213,2020-12-26,1.66,1,1
33728,Kurfürstendamm-Apartment with Wifi from 15. March,145808,Veronika,Charlottenburg-Wilm.,Halensee,52.49717,13.30405,Entire home/apt,27,70,22,2018-03-10,0.18,2,225
35152,Private Room w/ own bath in Design Mitte Loft,151248,Flo,Mitte,Brunnenstr. Süd,52.53506,13.39699,Private room,75,2,20,2020-03-07,0.17,1,143
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51968,13.30209,Private room,35,1,48,2019-11-02,1.00,2,365
37004,WONDERFUL ROOM for a bubble in Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49376,13.36408,Private room,35,10,25,2020-11-19,0.19,1,365
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49847,13.44013,Private room,40,2,203,2020-11-07,1.57,2,89
38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.53713,13.42473,Entire home/apt,84,84,106,2020-01-31,0.83,10,173
40600,room-artist loft berlin kreuzberg,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48844,13.4206,Private room,53,3,50,2016-09-26,0.46,2,0
41217,Beautiful room,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.53641,13.41231,Private room,43,15,70,2017-10-08,0.55,1,0
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.53028,13.42348,Private room,49,1,1,2014-09-26,0.01,1,0
42742,Spacious 35m2 in Central Apartment,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49667,13.44034,Private room,37,2,40,2020-08-04,0.37,2,364
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,119,4,162,2020-10-22,1.32,1,175
44083,Riverside View Apartment,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.4904,13.44085,Private room,42,2,20,2020-09-16,0.16,1,364
44423,Lovely accommodation in Berlin,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50888,13.45636,Private room,56,82,105,2019-01-11,0.83,1,189
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53219,13.41988,Entire home/apt,169,5,40,2020-07-20,0.32,1,0
54952,Riverfront Panorama,258697,Trent,Mitte,Alexanderplatz,52.52264,13.3881,Private room,45,4,192,2020-12-27,1.53,1,0
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.5034,13.29203,Entire home/apt,58,60,15,2019-12-31,0.15,1,113
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.54787,13.40417,Entire home/apt,230,3,93,2020-01-02,0.75,3,172
57209,Top apartment in Mitte-Arkonaplatz,272286,Vilius,Mitte,Brunnenstr. Süd,52.53683,13.39897,Entire home/apt,81,2,216,2020-03-14,1.75,1,173
58041,Apt. in a historic ambience+Wifi from,145808,Veronika,Mitte,Alexanderplatz,52.52771,13.3909,Entire home/apt,50,90,73,2018-11-16,0.67,2,217
58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.5342,13.42671,Entire home/apt,118,5,45,2020-10-16,0.39,2,351
62613,Super Apartment in Berlin/Kreuzberg,227954,Guidi,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49729,13.42297,Entire home/apt,85,5,21,2020-01-05,0.17,1,365
63052,"Beautiful, quiet, clean & central.",307513,Shoshik,Neukölln,Neuköllner Mitte/Zentrum,52.46892,13.43454,Private room,40,5,102,2019-09-30,0.99,3,364
64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms",312896,Stephan,Pankow,Prenzlauer Berg Nordwest,52.54076,13.4043,Entire home/apt,154,2,11,2020-01-19,0.10,1,364
64245,Room w/ balcony and private bathroom in nice area,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.5465,13.40633,Private room,45,3,57,2021-02-06,0.48,2,115
64590,Great apt. w. balcony directly on the canal!,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49519,13.42398,Entire home/apt,118,2,45,2020-01-19,0.39,1,0
68142,Cute sunny room in Friedrichshain,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52489,13.45386,Private room,29,8,74,2019-11-15,0.70,1,0
68448,Quiet studio in Prenzlauer Berg near Mauerpark,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.5498,13.41596,Entire home/apt,65,2,301,2021-02-03,2.54,10,348
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.5078,13.31871,Entire home/apt,83,3,60,2020-10-20,0.63,1,365
74614,City apartment in Prenzlauer Berg,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.5377,13.40854,Entire home/apt,280,2,76,2020-02-29,0.72,1,243
80843,Berlin City Studio Apt.,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48086,13.28998,Entire home/apt,49,2,124,2020-11-19,1.03,1,0
81049,Lux.2BR Apart.Berlin Mitte -Licensed!,249501,Elfie And  Paul,Mitte,Regierungsviertel,52.52142,13.38983,Entire home/apt,155,4,43,2020-01-02,0.36,1,326
81081,Beautiful Prenzlauer Berg Apt,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.54968,13.41528,Entire home/apt,60,3,306,2020-11-22,2.55,1,180
82893,Apartment 2 Mitte,451311,Ruth,Mitte,Brunnenstr. Süd,52.532,13.38285,Entire home/apt,75,3,105,2019-12-02,0.90,3,204
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,Louis,Pankow,Helmholtzplatz,52.54677,13.41894,Entire home/apt,106,1,307,2021-02-04,2.55,2,341
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Brunnenstr. Süd,52.53182,13.3823,Entire home/apt,79,3,93,2020-09-25,1.31,3,314
86055,Luxury holiday apartment in Berlin,470146,Dimi,Mitte,Wedding Zentrum,52.55357,13.37302,Entire home/apt,90,60,67,2019-01-12,0.58,1,51
86090,spacious and cozy living in PrenzlBerg,472567,Alexandra,Pankow,Prenzlauer Berg Nord,52.54584,13.42612,Entire home/apt,79,3,134,2020-11-24,1.14,4,357
86514,"Apartment in the heart of Berlin, Kreuzberg",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49821,13.44178,Entire home/apt,76,4,45,2019-01-01,0.38,1,364
87549,Independent room in green Kreuzberg,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49616,13.37397,Private room,50,1,223,2020-09-06,1.87,1,204
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54053,13.40995,Entire home/apt,123,4,61,2020-07-23,0.51,4,1
91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.49004,13.42619,Entire home/apt,60,2,44,2017-10-09,0.37,1,173
102882,STORAGE APARTMENT URBAN,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48878,13.42196,Entire home/apt,521,3,112,2017-04-16,0.95,2,0
106331,Beautiful flat in Prenzlauer Berg,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.5337,13.4367,Entire home/apt,76,60,96,2020-11-14,0.81,2,20
