id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36720,"Beautiful 2 rooms flat, Glockenbach",158413,Gabriela,,Ludwigsvorstadt-Isarvorstadt,48.13057,11.56929,Entire home/apt,95,2,25,2017-07-22,0.34,1,0
49309,Sublet - Apartment with Balcony in Downtown (1),224802,Damien,,Ludwigsvorstadt-Isarvorstadt,48.12456,11.55567,Private room,40,14,40,2017-10-15,0.34,1,330
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11476,11.48782,Entire home/apt,80,2,131,2019-10-03,1.24,2,59
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.11923,11.63726,Entire home/apt,95,2,53,2019-10-06,0.49,2,117
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15198,11.56486,Entire home/apt,120,2,84,2020-03-01,0.77,2,0
157808,"Near Olympia,English Garden",759734,Christian,,Schwabing-West,48.16381,11.56089,Private room,35,1,0,,,1,0
159634,"Fancy, bright central roof top flat",765694,Sanna,,Pasing-Obermenzing,48.13898,11.46612,Entire home/apt,55,5,33,2020-04-04,0.31,1,113
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10751,11.52733,Private room,55,2,467,2020-03-04,4.42,1,238
170815,Your own flat near central station!,814793,Inge,,Neuhausen-Nymphenburg,48.16132,11.54154,Entire home/apt,65,3,64,2020-02-18,0.60,1,90
171749,1min to subway - Wettersteinplatz,819382,Tarek,,Untergiesing-Harlaching,48.10583,11.57843,Private room,55,3,348,2020-03-10,3.24,1,36
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,54,1,211,2019-12-30,2.87,2,0
172977,Beautiful room close to centre,825767,Daniela,,Maxvorstadt,48.14816,11.55449,Private room,67,2,89,2019-12-14,0.91,1,0
178114,Cozy Studio Apt in Central Munich,189876,Markus,,Maxvorstadt,48.15341,11.57267,Entire home/apt,59,3,68,2020-01-02,0.63,1,0
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14574,11.63908,Private room,35,2,244,2020-02-29,2.32,1,364
183634,munich all-inclusive camping,880705,Toby,,Allach-Untermenzing,48.17449,11.44619,Shared room,50,1,0,,,1,365
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12198,11.57644,Shared room,85,1,163,2020-01-02,1.65,5,354
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15849,11.54106,Private room,69,2,32,2019-10-08,0.30,1,264
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12199,11.62761,Private room,59,2,16,2019-10-05,0.15,1,365
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.1354,11.54618,Entire home/apt,120,7,336,2020-05-16,3.27,1,134
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15672,11.64901,Private room,19,30,13,2019-08-31,0.14,1,0
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.12551,11.58045,Entire home/apt,51,2,150,2020-03-08,1.43,2,287
190383,WOW! direct binding to trade fairs,919644,Christine,,Berg am Laim,48.12452,11.63223,Private room,25,2,150,2020-02-07,1.51,1,120
190453,TRADE FAIR WITHIN WALKING DISTANCE!,919721,Rudolf,,Tudering-Riem,48.13211,11.69417,Entire home/apt,200,3,59,2020-01-15,0.66,1,1
190474,Lovely furnished in Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Entire home/apt,180,1,145,2018-09-21,1.41,8,175
190529,Beautiful room Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,50,1,7,2014-07-19,0.07,8,239
190564,Lovely room in Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,90,1,12,2016-12-07,0.12,8,342
190565,Beautiful in the Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,80,1,70,2018-06-27,0.67,8,342
190653,Pretty and renovated apartment ,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,60,1,162,2020-04-26,1.64,8,310
191405,Single Apartment in Central Munich,925836,Esther,,Au-Haidhausen,48.12175,11.57879,Entire home/apt,65,2,30,2018-08-17,0.32,1,1
191429,Munich City Center for long term,925882,M. Seon,,Ludwigsvorstadt-Isarvorstadt,48.12821,11.55607,Private room,32,140,29,2017-12-22,0.27,1,365
191535,City apartment in running distance to Oktoberfest,926189,Marco,,Sendling,48.11468,11.53897,Private room,240,1,6,2019-10-06,0.29,2,0
192933,Artist's Studio Glockenbach area,934964,Andreas,,Ludwigsvorstadt-Isarvorstadt,48.13012,11.56642,Shared room,70,3,66,2020-01-27,0.63,1,232
193424,Nice apartment with sunny balcony,938363,Moritz,,Schwabing-Freimann,48.15262,11.5846,Entire home/apt,85,2,133,2020-05-03,1.26,1,49
193463,* Munich-Schwabing-  super- clean - central-room*,938552,Gabriele,,Maxvorstadt,48.15519,11.5715,Private room,46,2,169,2020-01-17,1.72,2,256
193477,* Munich- Schwabing- super pretty- room *,938552,Gabriele,,Maxvorstadt,48.15617,11.56845,Private room,36,2,62,2020-01-02,1.24,2,234
194533,Traumhaftes Ambiente - Neuhausen,944911,Anke,,Neuhausen-Nymphenburg,48.14822,11.5398,Entire home/apt,120,1,52,2019-10-02,0.49,1,351
194638,absolutely centrally located app.,945347,Barbara,,Schwabing-Freimann,48.17141,11.5944,Entire home/apt,120,7,193,2020-02-19,1.83,1,304
195293,Stylish Apartment No.24,949632,Sabine,,Schwabing-West,48.164,11.56706,Private room,45,30,58,2020-04-30,0.61,1,82
195371,Souterrain-Zimmer mit eigenem Bad,949953,Sybille,,Feldmoching-Hasenbergl,48.19444,11.53349,Private room,29,2,11,2020-05-10,0.73,2,1
195388,apartment for 4 people,949998,Ingrid Und Jo,,Ramersdorf-Perlach,48.10141,11.60523,Entire home/apt,75,2,177,2020-01-30,1.68,1,354
195444,Modern room in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12092,11.56138,Private room,55,3,168,2019-12-09,1.59,2,0
195452,DOWNTOWN 1aFlat in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.1214,11.55984,Entire home/apt,95,10,13,2019-08-30,0.13,2,268
196127,huge room in the heart of Munich ,954566,Talia,,Ludwigsvorstadt-Isarvorstadt,48.13274,11.57445,Private room,30,2,95,2020-02-08,0.90,1,18
196230,Beautiful room in central location,910486,Hatice,,Au-Haidhausen,48.12022,11.57653,Private room,39,1,10,2020-01-25,0.66,5,1
196243,"Beautiful room, central location",910486,Hatice,,Au-Haidhausen,48.12185,11.57651,Private room,45,1,9,2020-02-01,0.18,5,244
196265,Beautiful Apartment with Balcony,14870835,Dominik,,Au-Haidhausen,48.12106,11.57525,Entire home/apt,66,6,66,2020-02-29,0.67,1,194
197197,"Quiet room, own bath + entrance, 20 min to center",961042,Michael,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08941,11.51371,Private room,48,2,238,2019-12-02,2.25,1,67
197660,Room for 2 & help with CityVisit,963973,Michael,,Sendling-Westpark,48.11009,11.5307,Private room,50,2,83,2019-10-23,0.79,1,90
198942,Charming quiet room near Michaelipark,971759,Anna C,,Berg am Laim,48.11929,11.64251,Private room,48,2,82,2020-04-01,0.83,2,270
198946,CENTRAL LOCATION - best Haidhausen,971795,Margaux,,Ramersdorf-Perlach,48.12325,11.60263,Entire home/apt,65,2,185,2020-03-19,1.75,2,342
198990,Apartment in front of the castle,959791,Heidrun,,Neuhausen-Nymphenburg,48.16001,11.51108,Entire home/apt,45,720,11,2020-02-16,0.10,1,157
199032,Beautiful bright apt. CityCenter Glockenbach,972143,Martin,,Ludwigsvorstadt-Isarvorstadt,48.1271,11.57233,Entire home/apt,90,185,320,2019-03-13,3.13,1,364
199066,COMFORTABLE ATTIC FLOOR DWELLING,972246,Cordula,,Untergiesing-Harlaching,48.09099,11.55945,Private room,60,1,310,2020-03-10,2.94,1,288
199189,Ideal for Fair guests,972712,Michael,,Bogenhausen,48.15896,11.64821,Private room,25,1,33,2020-04-29,0.33,2,2
199256,Nice room in super central location,972992,Heide,,Maxvorstadt,48.14992,11.56211,Private room,32,3,224,2020-03-19,2.40,1,315
199797,5 min. close to ENGLISCHER GARTEN,976495,Angela,,Schwabing-Freimann,48.16637,11.59016,Entire home/apt,85,1,41,2020-02-29,0.39,1,291
199840,Cheerful room in beautiful house,976629,Roswitha,,Tudering-Riem,48.11712,11.67722,Private room,49,1,45,2019-07-03,0.46,1,359
199850,Sunny room ideal f Octoberfest and Intern. fairs,971759,Anna C,,Berg am Laim,48.11906,11.64244,Private room,108,2,29,2019-10-09,0.28,2,208
199922,"3-room apartment, centrally located",976981,Hartmut,,Milbertshofen-Am Hart,48.18366,11.56935,Entire home/apt,98,20,19,2019-09-29,0.49,1,144
200782,Happy room for happy responsible  Cohousing,982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12533,11.55284,Private room,35,12,22,2019-12-29,0.21,18,269
200785,"Happy Double, central, green,",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12526,11.55195,Private room,32,12,14,2018-09-21,0.14,18,269
200791,"Happy cosy room, 3 Stops to Center",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.1259,11.55329,Private room,29,15,16,2018-12-31,0.15,18,270
200795,Beautiful room in central location,982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12402,11.55202,Private room,28,45,5,2018-08-25,0.05,18,180
200798,Happy Pilgrims  welcome for 39.-,982145,Sylvester,,Neuhausen-Nymphenburg,48.15885,11.54291,Shared room,34,4,6,2019-01-20,0.06,18,89
200866,Calm situated flat with balcony,982451,Bernhard,,Laim,48.13615,11.51131,Entire home/apt,58,30,0,,,1,359
201099,HISTORICAL LIVING 4 families/indivi,983151,Sabine Petra,,Untergiesing-Harlaching,48.11803,11.57135,Entire home/apt,130,180,4,2018-08-02,0.09,1,206
201829,Beautiful bright flat with balcony,987643,Evelyn,,Bogenhausen,48.14143,11.65504,Entire home/apt,55,30,5,2017-09-30,0.06,1,1
204547,"Bright apartment at ""Südpark""",1004621,Eva,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10129,11.50138,Entire home/apt,55,89,26,2019-12-22,0.25,1,29
205381,Classic building apartment at Prinzregentenplaz,1009438,Alex,,Bogenhausen,48.13909,11.60832,Entire home/apt,129,1,325,2020-05-03,3.26,11,256
205393,Comfortable apartment with self-check-in.,1009438,Alex,,Bogenhausen,48.13909,11.60832,Entire home/apt,64,1,291,2020-05-21,3.03,11,260
205401,Modern apartment with self-check-in.,1009438,Alex,,Bogenhausen,48.13909,11.60832,Entire home/apt,79,1,438,2020-05-24,4.39,11,267
205415,Family apartment in best location,1009438,Alex,,Bogenhausen,48.13909,11.60832,Entire home/apt,89,1,410,2020-05-15,4.28,11,222
205431,New York style apartment in Munich,1009438,Alex,,Schwanthalerhöhe,48.13661,11.53075,Entire home/apt,89,1,504,2020-03-19,4.90,11,232
206288,"modern, bright & quiet in Giesing",1014517,Emmanuel,,Obergiesing,48.11013,11.59559,Entire home/apt,120,4,32,2020-04-01,0.33,1,36
207713,Penthouse 10 min Munich City Centre,1022468,John,,Neuhausen-Nymphenburg,48.15075,11.53495,Entire home/apt,79,3,74,2019-10-06,0.75,1,65
