id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27966,Heraklion-Pinelopi Apartment,120502,,,Μαλεβιζίου,35.33198,25.08182,Entire home/apt,45,2,112,2020-09-22,0.96,3,365
28970,artists' house in the old town,124670,Eirini,,Ηρακλείου,35.34005,25.12809,Entire home/apt,70,1,52,2017-10-16,0.40,2,13
29856,Matala Dimitris Villa and Hotel,128653,Dimitris,,Φαιστού,34.99311,24.74964,Private room,37,1,40,2019-10-13,0.31,2,220
31023,Guesthouse Chryssoula Room No1,133208,Chryssoula,,Χανίων,35.51591,24.01751,Entire home/apt,36,2,266,2020-09-01,2.51,4,270
31789,Kissamos Windmills,136649,Georgios,,Κισσάμου,35.49762,23.69768,Entire home/apt,200,3,2,2012-09-23,0.02,1,365
54291,Villa for 8 persons- Asteri village near Rethymno,51279,Vista Hai,,Ρεθύμνης,35.36809,24.59954,Entire home/apt,198,7,0,,,40,176
78955,MIRSINI Hotel Beautiful Room in Crete,424686,Petros,,Αγίου Νικολάου,35.19656,25.71383,Private room,29,1,130,2019-11-03,1.24,8,56
79981,Villa Margarita central modern long stay flats,431725,,,Χερσονήσου,35.3204,25.38925,Private room,35,4,0,,,3,365
81174,ONLY 5 MIN.WALK FROM SANDY BEACH,439663,Lilian,,Αποκορώνου,35.44785,24.19948,Entire home/apt,65,2,27,2020-09-09,0.23,5,30
88239,Ag Marina Crete seaview b) 2/3 pers,482789,"V Life Aptms Agia Marina, Chania,",,Χανίων,35.51167,23.92745,Entire home/apt,55,1,59,2020-10-16,0.64,9,133
89694,2 bedrooms villa near Kissamos,51279,Vista Hai,,Κισσάμου,35.41732,23.57061,Entire home/apt,165,7,1,2020-08-19,0.14,40,200
91859,One bedroom suite - Esthisis suites,495505,Katerina & Nikolaos,,Πλατανιά,35.51504,23.91027,Hotel room,56,1,22,2019-08-27,0.19,7,183
