id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13131,Green Windmill,50838,Nikos,,Θήρας (Santorini),36.45281,25.43206,Entire home/apt,350,2,7,2019-07-05,0.11,3,183
13443,Lilac Windmill Villa,50838,Nikos,,Θήρας (Santorini),36.45264,25.43225,Entire home/apt,350,2,10,2018-04-09,0.14,3,170
18416,Fantastic MykonosView Luxurious apt,70942,Zoi,,Μυκόνου (Μykonos),37.45051,25.33045,Entire home/apt,140,1,15,2019-07-29,0.20,13,0
23303,Beautiful Villa! Beautiful Views!,74288,Christina,,Κέας (Kea),37.57954,24.2757,Entire home/apt,400,5,0,,,1,358
26919,VILLA KELLY AMAZING VIEW,114902,Kostas,,Μυκόνου (Μykonos),37.48175,25.31796,Entire home/apt,247,2,69,2020-08-09,1.08,1,140
29210,"central medieval city house rooftop&balcony, beach",125660,Claudia,,Ρόδου (Rhodes),36.44111,28.2306,Entire home/apt,70,3,60,2020-09-04,0.54,23,352
30875,Aegeas Apartment 3,132591,Giorgos,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.09314,25.38124,Entire home/apt,39,2,14,2020-08-16,0.27,2,365
31301,Sitarena Cottage Karpathos GR,133185,Marianna,,Καρπάθου (Karpathos),35.48096,27.16775,Entire home/apt,45,2,29,2019-10-13,0.29,1,355
38802,"Authentic Cycladic  House, in Platia village",166390,Vango,,Τήνου (Tinos),37.63493,25.04864,Entire home/apt,61,4,2,2020-08-21,0.95,1,365
52606,"ELENI ' S HOUSE (FRY, KASOS ISLAND)",243488,Eleni,,Κάσου (Kasos),35.41975,26.91808,Entire home/apt,40,3,7,2016-08-10,0.08,1,365
67246,2 Bedroom Maisonette with TERRACE-Elefteria,331438,Margarita,,Ρόδου (Rhodes),36.259,28.14644,Entire home/apt,73,1,5,2019-06-29,0.05,10,164
69993,Hidden Garden Apartment Near Afandou Beach,301109,George,,Ρόδου (Rhodes),36.3,28.17528,Hotel room,60,3,19,2020-08-10,0.25,6,1
79472,"house & garden,150m-beach. Serifos",427983,Victor,,Σερίφου (Seriphos),37.146,24.51158,Entire home/apt,149,1,10,2020-08-12,0.38,2,365
79679,Oia -Studio caldera view from bedroom,429493,Anastasia,,Θήρας (Santorini),36.46144,25.37649,Entire home/apt,85,6,59,2020-09-13,0.52,6,233
80595,"Studios Nostos, Naxos, No.13, Semi - Basement",435841,Stavros,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10211,25.37691,Hotel room,28,2,115,2019-10-26,1.04,11,176
80861,BEAUTIFUL MODERN VILLAGE APARTMENT,437690,Emmanuel,,Ρόδου (Rhodes),36.07121,27.93094,Private room,30,5,14,2019-09-03,0.19,1,365
81866,Oia - Apartment cavehouse caldera view,429493,Anastasia,,Θήρας (Santorini),36.46078,25.37603,Entire home/apt,82,6,55,2020-08-20,0.57,6,360
81874,Oia CAVEHOUSE spectacular caldera view,429493,Anastasia,,Θήρας (Santorini),36.4617,25.37683,Entire home/apt,86,6,40,2020-03-09,0.35,6,238
81910,Apartments complex in Fira,51279,Athanasios,,Θήρας (Santorini),36.41674,25.431,Private room,120,1,64,2019-10-10,0.57,80,0
