id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15526,Ca' laRipa: Residenza PALAZZO lake view,60754,"Andrea, Maurizio, And Tina",,Solto Collina,45.78464,10.02629,Entire home/apt,7999,3,35,2020-08-20,0.30,5,0
15542,Ca' laRipa: Suite PANORAMA facing the lake,60754,"Andrea, Maurizio, And Tina",,Solto Collina,45.78354,10.02471,Entire home/apt,7999,3,40,2020-09-19,0.38,5,0
31412,Cute and Cosy Terrace,134937,Elena,,Bergamo,45.69052,9.67099,Entire home/apt,69,1,79,2020-02-23,0.74,6,183
116423,Casetta a 12km da lago d'iseo,588254,Angela,,Bossico,45.8284,10.04476,Entire home/apt,42,7,8,2019-11-03,0.25,3,334
130750,Nice apartment on quiet hill,643554,Sergio,,Rota d'Imagna,45.83829,9.51059,Entire home/apt,50,7,0,,,1,358
140767,lovely house near Bergamo,685512,Rita,,Capriate San Gervasio,45.59565,9.5371,Entire home/apt,86,2,27,2019-03-11,0.29,1,0
153138,Camera singola in affitto,736316,Cristiano,,Costa di Mezzate,45.66376,9.79418,Private room,49,1,0,,,1,0
177063,beautiful apartment 2 steps from Bg,846569,Cinzia,,Treviolo,45.67901,9.63051,Entire home/apt,50,1,20,2017-10-01,0.18,1,0
179345,Bossico Vicino a Montisola  e lago D'iseo,588254,Angela,,Bossico,45.82723,10.04484,Entire home/apt,53,7,10,2020-10-31,0.31,3,266
215933,Donizetti Royal suite private toilet,816380,Marcella,,Bergamo,45.69884,9.67598,Private room,48,1,29,2020-09-17,0.31,15,351
215946,Double room shared bathroom in Donizetti guesthous,816380,Marcella,,Bergamo,45.69769,9.67485,Private room,40,1,125,2020-11-19,1.19,15,359
225436,The house in the woods near Lovere,1174487,Marco,,Solto Collina,45.78667,10.04325,Entire home/apt,95,2,159,2020-10-13,1.48,2,362
239706,Casa immersa nella (URL HIDDEN) una conca naturale,1256963,Toni,,Trescore Balneario,45.69205,9.84779,Entire home/apt,65,4,0,,,2,0
295323,I mmerso nel verde boschivo e fiume,1256963,Toni,,Costa Serina,45.81534,9.74472,Entire home/apt,70,7,0,,,2,365
309949,Lake Iseo Apartment with lake and mountains view,2760526,Bianca,,Riva di Solto,45.77813,10.04171,Entire home/apt,90,3,11,2020-08-08,0.12,2,0
321684,HOME AND GO -112 ZONA PIGNOLO ALTA / MURA,1646935,Laura,,Bergamo,45.70255,9.67256,Entire home/apt,51,2,10,2020-02-12,0.09,2,336
329536,Cute and sunny apartment for rent,1682592,Francesca,,Bergamo,45.6888,9.66989,Entire home/apt,63,3,9,2015-07-11,0.08,1,335
407559,Torre Antica,2030052,Andrea,,Lovere,45.81965,10.07578,Entire home/apt,50,1,89,2020-10-25,1.11,1,238
