id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24469,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,,Centro Storico,43.7821,11.24392,Entire home/apt,70,2,1,2019-09-27,0.06,4,365
24470,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,70,2,3,2019-04-21,0.02,4,2
24471,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,135,2,0,,,4,365
24472,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,120,2,2,2012-04-11,0.02,4,365
31840,A Residenza Martin  Classic room,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,43,1,119,2020-10-09,0.91,27,213
32120,Welcome at Corte Verde in Florence,99235,Lucia,,Gavinana Galluzzo,43.76352,11.27726,Entire home/apt,75,1,15,2019-04-28,0.12,1,89
32180,Charming Gem - Oltrarno City centre,13925330,Cesare,,Centro Storico,43.76964,11.2436,Entire home/apt,89,3,20,2020-03-31,0.15,2,363
32395,your room in florence,140170,Fabio,,Centro Storico,43.76166,11.24131,Hotel room,70,1,512,2020-10-17,3.95,5,361
39115,Central Double Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,60,2,49,2021-01-05,0.38,10,361
39165,Florence Central Double Private Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,75,2,14,2019-04-25,0.11,10,361
39821,STUDIO P.zza del CARMINE1 S.Spirito,154769,Matilde,,Centro Storico,43.76853,11.24395,Entire home/apt,50,3,33,2017-06-25,0.30,5,6
39822,Apartment Santa Monaca,154769,Matilde,,Centro Storico,43.76865,11.24426,Entire home/apt,75,4,25,2019-12-21,0.20,5,3
42997,Pinzochere 2DX Studio,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,102,3,2,2016-08-15,0.02,180,0
43365,Pinzochere 2SX by Santa Croce,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,136,3,1,2011-10-14,0.01,180,0
43369,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,129,3,7,2018-09-22,0.08,180,0
44781,Stylish Terrace on Boboli Gardens,33210,Rocco,,Centro Storico,43.76418,11.24618,Entire home/apt,115,3,283,2021-01-15,2.23,1,204
45606,MATTEO Apart. Florence Centre,202686,Tarcisio,,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,39,7,403,2020-01-09,3.40,3,292
46520,A Residenza Martin:  Superior room,380378,Officina 360,,Centro Storico,43.77699,11.25216,Private room,36,1,87,2020-02-25,0.68,27,265
46523,A Residenza Martin:  Single room,380378,Officina 360,,Centro Storico,43.77704,11.25217,Private room,36,1,200,2020-10-18,1.58,27,213
46524,A Residenza Martin:  Deluxe room,380378,Officina 360,,Centro Storico,43.777,11.25216,Private room,38,1,66,2020-11-01,0.55,27,271
47498,Leonardo House,215302,Darko,,Centro Storico,43.77224,11.24996,Private room,35,1,484,2020-09-05,3.80,3,365
48372,Central Single Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,45,2,4,2016-09-09,0.03,10,361
52543,FILIPPO Apartm. FLORENCE CENTER,202686,Tarcisio,,Isolotto Legnaia,43.77336,11.23653,Entire home/apt,55,4,191,2020-01-06,1.59,3,364
52545,LETIZIA FLORENCE CENTER Apartm.,202686,Tarcisio,,Isolotto Legnaia,43.77196,11.23862,Entire home/apt,65,5,202,2019-10-29,1.77,3,224
53454,Apt near center & RailwayStation,248796,Paolo,,Centro Storico,43.7816,11.2568,Entire home/apt,60,3,76,2016-10-31,0.65,1,363
56143,Family Apartments - Lillà,179187,Danilo,,Centro Storico,43.76925,11.25516,Entire home/apt,73,2,22,2014-08-05,0.18,54,0
56154,Family Apartments- Rosso,179187,Danilo,,Centro Storico,43.76931,11.25661,Entire home/apt,93,2,11,2020-07-25,0.09,54,0
57433,Family Apartments- Arancio,179187,Danilo,,Centro Storico,43.76911,11.25487,Entire home/apt,93,2,23,2019-12-17,0.19,54,0
57542,love Florence?love Florentin house,274074,Elly,,Centro Storico,43.77067,11.24896,Entire home/apt,75,3,103,2019-09-26,0.84,16,365
57572,Camera Verde B&B Leonardo da Vinci,274227,Carla,,Campo di Marte,43.7818,11.26478,Private room,48,2,153,2020-02-24,1.28,3,347
57644,Terrazzino Apartment,274758,Francesco,,Centro Storico,43.77713,11.26182,Entire home/apt,90,3,69,2020-09-07,0.59,5,2
57767,Toscanella Apartment,274758,Francesco,,Centro Storico,43.76728,11.25066,Entire home/apt,168,2,78,2020-09-14,0.68,5,345
57859,"Bright flat,Terrace central Firenze",274074,Elly,,Centro Storico,43.77588,11.25453,Entire home/apt,90,3,148,2020-10-16,1.24,16,0
60838,Home Sweet Home away from home 753 Square Feet,293716,Paolo,,Centro Storico,43.77436,11.26345,Entire home/apt,84,3,83,2019-06-13,0.69,1,269
61209,B&B Leonardo da Vinci Double Room,274227,Carla,,Campo di Marte,43.78331,11.26558,Private room,42,2,444,2020-04-16,3.64,3,349
64023,Loft style historical Central,96905,Elisabetta And Claudia,,Centro Storico,43.77089,11.25966,Entire home/apt,60,3,151,2020-07-23,1.27,3,249
66045,ARTISTI bright and comfortable apartment,323151,Mauro,,Campo di Marte,43.78296,11.26874,Entire home/apt,62,3,96,2018-04-30,0.77,4,41
66324,"Le Tre Stanze Bedrooms,Junior Suite",324794,Steiner,,Centro Storico,43.77305,11.25785,Private room,120,2,27,2017-06-04,0.23,2,365
66353,AGNOLO gorgeous and colorful flat,323151,Mauro,,Centro Storico,43.77028,11.2669,Entire home/apt,95,3,23,2020-01-01,0.19,4,365
66598,Santa Croce wonderful and cozy apartment,323151,Mauro,,Centro Storico,43.76647,11.26493,Entire home/apt,85,14,130,2017-07-11,1.10,4,272
66903,apartment in the center of Florence,328936,Stefano,,Centro Storico,43.77537,11.2598,Entire home/apt,75,3,9,2019-04-14,0.07,1,363
67725,Central Triple Private Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,89,2,3,2017-07-01,0.04,10,361
68273,Regal Apartment in 16th Century Florentine Palazzo,338220,Allegra,,Centro Storico,43.77931,11.25835,Entire home/apt,124,3,35,2021-01-07,0.29,1,357
68530,Lovely Flat in Old Town Florence,340421,Franco,,Centro Storico,43.77646,11.25244,Entire home/apt,88,3,66,2020-01-11,0.55,1,347
70885,Central Double Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,60,2,20,2018-07-19,0.17,10,361
71605,Florence Central Double Private Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,75,2,15,2016-09-18,0.13,10,361
72106,grazioso monolocale,371515,Carlo,,Campo di Marte,43.76875,11.27801,Entire home/apt,50,5,11,2019-06-19,0.16,1,362
73345,Luxury Apartment near Duomo,382561,Ati,,Centro Storico,43.77068,11.25193,Entire home/apt,28,2,87,2021-01-31,1.47,7,347
73739,Your apartment in the Heart of City,385786,Dante,,Isolotto Legnaia,43.76988,11.23978,Entire home/apt,59,3,35,2021-01-12,0.29,1,231
74682,Large Studio in Ognissanti Palace,386165,Gian,,Centro Storico,43.77243,11.24519,Entire home/apt,59,1,804,2021-02-14,6.62,1,360
74875,Florentine Villa in FLORENCE,318416,Elena,,Rifredi,43.79495,11.24997,Private room,700,3,3,2016-07-27,0.04,5,364
75803,B&B Borgo Ponte all'Asse,403066,Paola,,Gavinana Galluzzo,43.74343,11.21368,Private room,100,2,8,2018-09-19,0.07,2,14
77570,Duomo Flat Amazing view in Florence,416144,Massimiliano,,Centro Storico,43.77272,11.25914,Entire home/apt,75,2,493,2021-03-14,4.94,1,306
80692,Alfani Suite by GALLERIA ACCADEMIA,4156491,Apartments Florence,,Centro Storico,43.77556,11.26009,Entire home/apt,160,3,3,2017-05-21,0.04,180,0
80693,Alfani Terrace 2b near the Duomo,4156491,Apartments Florence,,Centro Storico,43.77556,11.26009,Entire home/apt,145,3,11,2019-08-11,0.17,180,0
80694,Alfani 2b VIEW OF DUOMO,4156491,Apartments Florence,,Centro Storico,43.77556,11.26009,Entire home/apt,144,3,21,2019-09-18,0.18,180,0
81606,MAGDA: - close to the DUOMO-SPECIAL APRIL-MAY,434231,Magda,,Centro Storico,43.77408,11.25899,Entire home/apt,140,5,5,2019-01-01,0.05,6,363
81897,"OYSTER: lovely for 2, QUIET, by the DUOMO",434231,Magda,,Centro Storico,43.77353,11.25907,Entire home/apt,146,3,1,2019-09-16,0.06,6,365
82478,"MASSIMO: A CHARMING  LOFT for TWO, BY THE DUOMO",434231,Magda,,Centro Storico,43.77506,11.25817,Entire home/apt,146,3,4,2017-07-29,0.07,6,365
82496,ARIANNA: a lovely apartment for 4 by the Duomo,434231,Magda,,Centro Storico,43.77423,11.25877,Entire home/apt,110,3,0,,,6,365
82626,Florence Central Twin Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,60,2,17,2017-04-17,0.14,10,361
83045,Classy & big penthouse + cooking,405852,Michele,,Centro Storico,43.76797,11.25869,Entire home/apt,320,4,180,2020-09-16,1.71,1,346
84726,Boboli Garden S. Spirito Center,154769,Matilde,,Centro Storico,43.7625,11.24469,Entire home/apt,69,4,98,2020-01-02,0.81,5,217
84829,APT. with terrace at the Cathedral,463865,Alessandro,,Centro Storico,43.77358,11.25723,Entire home/apt,125,3,81,2020-02-26,0.67,1,364
86503,ALLEGRI: A LOFT WITH A GARDEN  IN ST. CROCE,434231,Magda,,Centro Storico,43.76894,11.26489,Entire home/apt,100,3,1,2020-02-18,0.08,6,256
86511,garden loft apartment downtown Flo,474483,Sabina Elena,,Centro Storico,43.77894,11.24237,Entire home/apt,135,3,97,2019-10-17,0.83,1,363
87404,Hotel Il Bargellino highest ratings,478796,Giuseppe,,Centro Storico,43.77808,11.25069,Private room,60,1,15,2019-06-16,0.13,2,364
89856,Private terrace Live like a local in St Croce ⭐️,488317,Diana,,Centro Storico,43.76801,11.26212,Entire home/apt,151,1,91,2020-10-04,0.85,41,323
90557,Magic Florence,490856,David,,Campo di Marte,43.77017,11.27639,Entire home/apt,48,1,43,2019-11-07,0.51,1,0
94913,Central room with private bathroom,506219,Elisabetta E Giovanni,,Centro Storico,43.76971,11.24542,Private room,39,2,336,2020-10-23,2.82,2,362
95222,HARMONY and HOSPITALITY - B & B,507281,,,Rifredi,43.79451,11.21863,Private room,44,2,2,2017-04-06,0.02,2,364
96355,B&B heart of Florence- Uffizi,511621,Elona,,Centro Storico,43.76918,11.25693,Hotel room,80,1,122,2020-01-24,1.02,2,2
99764,Michelangelo Guesthouse,525133,Niccolò,,Gavinana Galluzzo,43.76346,11.27101,Private room,129,2,0,,,1,364
103905,Pandolfini 1b close to Duomo,4156491,Apartments Florence,,Centro Storico,43.77089,11.2606,Entire home/apt,127,3,3,2016-06-19,0.03,180,0
105652,Quiet haven in San Lorenzo area,5033794,,,Centro Storico,43.77761,11.25613,Entire home/apt,50,60,412,2020-02-28,3.44,5,365
106407,Ghibellina 4B by MICHELANGELO'S HOUSE,4156491,Apartments Florence,,Centro Storico,43.76977,11.26376,Entire home/apt,277,3,36,2020-08-04,0.31,180,342
109302,Camera in centro a Firenze,564660,Manuela,,Centro Storico,43.77219,11.25893,Private room,65,2,99,2019-07-21,0.84,1,365
113063,Il Bargello Bed & Breakfast,575824,Gabriella,,Centro Storico,43.77061,11.25901,Private room,73,1,0,,,2,0
116651,Central Venere with Terrace,382561,Ati,,Centro Storico,43.77473,11.25154,Entire home/apt,132,3,39,2017-09-25,0.34,7,365
122324,"Villa with great view over Florence, pool, Wi-Fi",613199,Lorenzo,,Campo di Marte,43.80896,11.27547,Entire home/apt,404,4,18,2019-08-09,0.17,2,278
124134,Florence Flat Great Quality/Price,616226,Christina,,Isolotto Legnaia,43.77451,11.23184,Entire home/apt,65,3,200,2020-01-20,1.69,2,141
128095,Station-Center Sun room-TreGigliBB,633736,Fernanda,,Centro Storico,43.77412,11.24568,Private room,56,2,149,2019-10-17,1.38,3,365
128907,Il Podesta Apartment in Florence,636702,Massimiliano Lepri,,Gavinana Galluzzo,43.74913,11.23474,Entire home/apt,60,2,178,2020-01-03,1.53,1,337
129927,Studio Ricasoli overlooking Duomo,640338,Bettina,,Centro Storico,43.77468,11.25732,Entire home/apt,66,4,90,2020-01-25,0.78,1,348
131143,LIVE LOVE IN FIRENZE ROOM B&B WiFi,645392,Roberto,,Rifredi,43.78947,11.23858,Private room,38,1,656,2020-02-16,5.53,1,273
131202,B&B Santa Croce in the heart of Florence,645845,Massimo,,Centro Storico,43.76476,11.25891,Private room,79,2,336,2019-04-23,2.83,4,267
132955,Il MelogranoFelice center Florence,653025,Olivia,,Centro Storico,43.7619,11.24016,Private room,36,3,43,2020-01-01,0.37,1,365
133197,BEAUTIFUL ROOM Center of Florence,654278,Paolo,,Centro Storico,43.78213,11.24163,Private room,45,1,488,2020-01-03,4.10,1,365
133411,Florence Central Double Private Bathroom,167739,Lorenzo,,Centro Storico,43.77533,11.25254,Private room,75,2,7,2015-10-03,0.08,10,361
133972,3GIGLIBB-MOON ROOM- NEAR STATION-VIA PALAZZUOLO 55,633736,Fernanda,,Centro Storico,43.77412,11.24568,Private room,46,3,197,2019-09-13,1.84,3,365
134517,House in the Florentine countryside,660100,Fabiola,,Gavinana Galluzzo,43.74121,11.25806,Private room,65,2,106,2019-09-12,0.90,1,89
135360,Single or double bright room in Florence,663330,Flavio,,Rifredi,43.79056,11.2322,Private room,23,2,213,2020-09-14,1.82,2,364
136906,Double room private bathroom near Florence center,669835,Laura,,Rifredi,43.79004,11.24322,Private room,55,1,7,2015-04-02,0.06,4,364
136910,VVMONO - ROOM in the HEART of FLR,669847,Alberto,,Centro Storico,43.77111,11.24893,Entire home/apt,40,7,52,2019-12-26,0.56,2,345
138936,"Loft in SMN,be happy&enjoy Firenze!",525814,Isabella,,Centro Storico,43.7756,11.24529,Private room,51,2,102,2018-06-07,0.88,1,87
141661,"""Grande Pepi"" - Luxury in the heart of Florence!",688861,Massimo,,Centro Storico,43.77255,11.26408,Entire home/apt,141,2,25,2019-12-30,0.23,3,48
142389,Pinzochere 1DX near Santa Croce,4156491,Apartments Florence,,Centro Storico,43.76958,11.26351,Entire home/apt,140,3,1,2012-04-14,0.01,180,0
142416,Rosa Studio near SANTA CROCE,4156491,Apartments Florence,,Centro Storico,43.7702,11.26215,Entire home/apt,160,3,11,2019-04-25,0.24,180,0
142420,"Laura Loft , view of Duomo",4156491,Apartments Florence,,Centro Storico,43.77577,11.26377,Entire home/apt,185,3,2,2012-08-05,0.02,180,38
146586,"double room, possible extra bed Florence",669835,Laura,,Rifredi,43.78966,11.24341,Private room,55,1,4,2017-04-02,0.03,4,364
146732,EXPLORING ART RETREAT,709145,Marco,,Centro Storico,43.7622,11.2431,Entire home/apt,61,2,11,2020-01-05,0.26,1,0
147220,S.Antonino 360° Views 5 Minutes from Duomo,4156491,Apartments Florence,,Centro Storico,43.77569,11.25229,Entire home/apt,279,3,64,2020-10-04,0.56,180,292
150675,The smallest hostel of Florence - Moonshine Avenue,725879,Nadja Maria,,Centro Storico,43.77522,11.25454,Private room,60,1,637,2020-12-01,5.49,14,300
151758,"Florence bright red, extra bed",669835,Laura,,Rifredi,43.78979,11.24315,Shared room,48,1,11,2019-06-20,0.09,4,365
152738,Tony's Rental rooms,734784,Antonio,,Centro Storico,43.76577,11.24632,Private room,49,1,0,,,5,365
154902,Huge private room,745107,Gigi,,Centro Storico,43.77841,11.24337,Private room,19,1,66,2020-02-23,0.69,3,365
160310,Romantic Hideaway near Central Rail Station,768323,Paolo,,Centro Storico,43.77352,11.24408,Entire home/apt,45,2,204,2020-10-01,1.76,4,255
160352,Love Nest near Central Rail Station,768323,Paolo,,Centro Storico,43.77435,11.24407,Entire home/apt,39,2,249,2021-02-15,2.30,4,356
160366,Historic Apartment near Central Station,768323,Paolo,,Centro Storico,43.77419,11.2471,Entire home/apt,39,1,512,2021-01-18,4.47,4,356
160385,Family Apartments- Duomo,179187,Danilo,,Centro Storico,43.7733,11.25498,Entire home/apt,78,2,1,2017-07-15,0.02,54,0
