id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44195,9.17797,Private room,100,4,12,2019-04-13,0.10,1,358
17232,MPX-Center-EXPO Value/Money,66856,Simone,,BOVISA,45.50465,9.16087,Shared room,24,2,55,2018-10-21,0.45,1,179
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44991,9.17597,Entire home/apt,150,1,14,2019-09-02,0.14,1,363
28300,nice flat near the park,121663,Marta,,SARPI,45.47814,9.17294,Private room,200,1,26,2019-10-16,0.26,1,365
32119,Nico & Cynthia's Easy Yellow Suite,138683,Nico&Cinzia,,VIALE MONZA,45.51988,9.2231,Entire home/apt,75,3,15,2018-07-01,0.12,4,259
32649,Nico&Cinzia's Red Easy Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.51942,9.22615,Entire home/apt,70,3,29,2019-07-07,0.24,4,330
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,GUASTALLA,45.47074,9.20578,Private room,55,2,34,2019-11-03,0.29,2,350
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.52111,9.22727,Entire home/apt,75,3,37,2019-04-12,0.32,2,305
42732,"Navigli near down town, linked Expo",186608,Francesco,,TICINESE,45.45664,9.17662,Entire home/apt,290,2,14,2018-04-22,0.25,2,362
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52213,9.22693,Entire home/apt,75,3,26,2019-05-12,0.25,4,331
52181,Nico House,241148,Daniele Nicola,,BAGGIO,45.46443,9.09046,Entire home/apt,60,4,0,,,1,105
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.48055,9.21629,Entire home/apt,145,3,2,2016-04-16,0.04,1,365
59226,Near Piazza Gae Aulenti silent e reserved flat,244087,Francesca,,GARIBALDI REPUBBLICA,45.48263,9.19674,Entire home/apt,150,2,7,2013-05-09,0.06,1,177
65142,Very Nice Luxury Apt Central Milan,318394,Angelo,,CENTRALE,45.48023,9.20181,Entire home/apt,74,25,353,2020-01-29,3.14,1,364
69749,Charming Apt in the heart of Milan,144021,Silvia&Max,,XXII MARZO,45.46739,9.20786,Entire home/apt,140,2,95,2019-04-14,0.85,4,90
70591,Chiara & Mesopotamia: Charmy & Lightly home,358567,Chiara,,SARPI,45.48207,9.17906,Private room,50,1,180,2019-10-13,1.60,1,363
73892,BRERA LOVELY STUDIO FOR YOU 3,387110,Silvia,,BRERA,45.47015,9.19134,Entire home/apt,94,2,84,2019-07-10,0.75,4,364
74169,BRERA design district 2019,268127,Alessandra,,BRERA,45.47169,9.18412,Entire home/apt,125,2,3,2016-04-16,0.03,1,362
74835,Amazin attic in front of the castle,157872,Augusto,,DUOMO,45.4689,9.17943,Entire home/apt,280,7,3,2017-04-09,0.04,1,0
75741,Brera Open Space Bianco sul Tetto,387110,Silvia,,BRERA,45.47179,9.18378,Entire home/apt,150,2,174,2017-10-24,1.55,4,17
76671,"Charming Attic, You Will Love It",409538,Valentina,,TICINESE,45.4559,9.17545,Entire home/apt,130,3,2,2012-04-23,0.02,1,270
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,,BRERA,45.47117,9.19135,Entire home/apt,100,2,70,2019-02-25,0.66,4,290
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,,TICINESE,45.44844,9.1822,Entire home/apt,90,2,45,2019-04-17,0.41,4,78
81202,Sunny Apartment Milan,439051,Gian Luca,,ISOLA,45.49019,9.19659,Entire home/apt,75,3,227,2020-01-19,2.05,1,0
