id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37125,pietraviva una dimora nella natura,160280,Francesca,Bari,Conversano,41.00014,17.14959,Entire home/apt,75,5,1,2011-05-27,0.01,1,365
39356,Villa con piscina B&b nel Salento,161788,Iomammata&Tu,Lecce,Alliste,39.91744,18.07537,Private room,35,2,37,2020-09-08,0.30,1,363
42127,Orange Apartment,184214,Monica E Giuseppe,Lecce,Alessano,39.88481,18.33227,Entire home/apt,56,3,1,2011-08-23,0.01,8,199
43467,Home Holiday Agrosì - Don Camillo,184214,Monica E Giuseppe,Lecce,Presicce,39.89917,18.26058,Entire home/apt,67,3,2,2015-08-12,0.02,8,199
43474,Home Holiday Agrosì - Rustico,184214,Monica E Giuseppe,Lecce,Supersano,40.0187,18.24055,Entire home/apt,67,3,1,2019-08-15,0.07,8,199
43492,HomeHolidaySalento Volte a Stella,184214,Monica E Giuseppe,Lecce,Supersano,40.01886,18.24049,Entire home/apt,56,3,0,,,8,199
45663,Luxury 10 Bedroom Villa with Pool,202935,Paul,Bari,Terlizzi,41.10023,16.55224,Private room,110,1,3,2019-08-16,0.03,1,351
46483,STONE HOUSES FOR 5 PEOPLE,207937,Gerardo,Brindisi,San Michele Salentino,40.63039,17.6336,Entire home/apt,110,5,1,2015-09-13,0.02,4,0
50327,Solare Con Bagno Privato&Colazione,223425,Massi,Lecce,Trepuzzi,40.40219,18.07844,Private room,25,2,2,2018-07-02,0.06,2,364
53243,Trullo aromatic green,247627,Isa,Brindisi,Ostuni,40.7161,17.50161,Entire home/apt,90,5,80,2020-08-23,0.69,1,225
54499,True oasis in the heart of Lecce,126263,Cecilia,Lecce,Lecce,40.34937,18.1701,Entire home/apt,90,3,104,2020-10-17,0.87,1,362
60925,I SETTE CONI - TRULLO LAVANDA,294274,Anna,Brindisi,Ostuni,40.71883,17.43012,Entire home/apt,85,2,73,2020-01-20,0.74,3,323
61987,Gargano Casa Vacanze con servizio colazione,301235,Giuseppe,Foggia,Vico del Gargano,41.90334,15.96633,Entire home/apt,23,2,42,2020-09-26,0.37,6,358
61989,Eco B&B Pizzicato,301235,Giuseppe,Foggia,Vico del Gargano,41.90197,15.96511,Entire home/apt,40,1,9,2020-07-28,0.33,6,364
61991,EcO Appartamenti Pizzicato,301235,Giuseppe,Foggia,Vico del Gargano,41.90134,15.96531,Entire home/apt,28,4,3,2018-08-15,0.03,6,364
61993,EcO Appartamenti Pizzicato,301235,Giuseppe,Foggia,Vico del Gargano,41.90142,15.96397,Entire home/apt,40,1,14,2020-08-29,0.50,6,365
63364,Holiday home I Tesori del Sud with swimming pool,309304,Raffaella,Foggia,Vieste,41.90971,16.14141,Entire home/apt,148,2,3,2019-09-19,0.07,4,365
63942,Holiday Home I Tesori del Sud - 4 persons,309304,Raffaella,Foggia,Vieste,41.88584,16.13014,Entire home/apt,200,2,5,2019-05-17,0.06,4,365
63956,Holiday Home I Tesori del Sud 3 persons,309304,Raffaella,Foggia,Vieste,41.88554,16.13101,Entire home/apt,113,2,0,,,4,364
63957,Holiday Home I Tesori del Sud 5 persons,309304,Raffaella,Foggia,Vieste,41.88606,16.13011,Entire home/apt,131,2,8,2020-10-10,0.12,4,365
66883,100%  RELAX in Ancient Tobacco Farm,328784,Roberto,Taranto,Ginosa,40.46911,16.84555,Entire home/apt,96,3,3,2020-07-02,0.04,5,365
71309,Yellow Beach House - Puglia Italy,364438,Rita & Rino,Brindisi,Carovigno,40.74704,17.71655,Entire home/apt,109,4,1,2018-06-30,0.04,1,363
82093,MALVASIA  in the heart of Brindisi,446260,Cornelia,Brindisi,Brindisi,40.63796,17.94413,Entire home/apt,54,2,30,2020-01-01,0.30,2,270
82761,B&B Baia Scirocco with sea view terrace,450523,Antonella,Foggia,Peschici,41.94826,16.01605,Private room,90,3,6,2018-09-03,0.08,2,179
87951,Gallipoli baia verde villetta a 2 passi dal mare,481321,Angela,Lecce,Gallipoli,40.03757,18.01814,Entire home/apt,100,2,5,2020-09-02,0.08,1,362
96605,"Southern Italy, Salento Villa Rent",499760,Gianni,Lecce,Nard,40.15968,18.02032,Entire home/apt,75,5,1,2018-06-24,0.03,4,364
96607,"Southern Italy, Salento Villa Rent",499760,Gianni,Lecce,Nard,40.16107,18.02198,Entire home/apt,78,3,0,,,4,363
104091,"Puglia, countryside and sea",542172,Susy,Foggia,Serracapriola,41.80438,15.1583,Entire home/apt,65,10,3,2017-08-12,0.03,1,357
109228,Affitto camera matrimoniale,564346,Livia,Bari,Sannicandro di Bari,41.00278,16.79786,Private room,60,3,0,,,1,365
110373,Golden Beach House  - Porto Cesareo,567470,Stefano,Lecce,Porto Cesareo,40.28038,17.87405,Entire home/apt,75,4,31,2020-09-25,0.28,1,286
113483,House in downtown,577237,Giovanni,Lecce,Gallipoli,40.0556,17.98045,Entire home/apt,52,1,79,2020-08-28,0.90,1,27
