id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37736,Charming cozy apartment North Italy,162348,Daniele,,Trentino,46.43409,11.10201,Entire home/apt,77,7,70,2020-09-10,0.55,4,358
56292,Central apartment located on the ski slopes,266605,Stefano,,Trentino,46.23199,10.82732,Entire home/apt,120,7,4,2019-03-03,0.08,1,365
56870,TWO PEOPLE  in old center of Mezzano,270241,Caterina,,Trentino,46.15562,11.80617,Entire home/apt,66,2,2,2017-08-10,0.03,2,349
138917,Smart living & working in Madonna di Campiglio,677905,Mirko Ian,,Trentino,46.22332,10.82495,Entire home/apt,271,1,32,2020-08-23,0.28,1,363
221115,Beautiful Views of the Dolomites,1142793,Lucia,,Trentino,46.2917,11.4379,Entire home/apt,53,14,0,,,1,365
249351,B&B Casa dei Ricci in the Dolomites,1306234,Maddalena,,Trentino,46.36045,10.91518,Private room,72,3,13,2018-08-11,0.12,1,364
299464,Riva del Garda Residence Segattini Mono 2 Pers.,1543124,Cristiano,,Trentino,45.90854,10.84801,Entire home/apt,64,3,0,,,4,364
333149,DOLOMITI-PREDAZZO refined flat,1697584,Martina,,Trentino,46.30908,11.59361,Entire home/apt,120,7,17,2020-01-04,0.17,1,329
367596,"Apartment in Val Rendena, Pinzolo",1854440,Franca,,Trentino,46.1582,10.76663,Entire home/apt,75,2,28,2020-03-02,0.28,1,128
398211,Spacious apartment in South Tyrol,162348,Daniele,,Trentino,46.4356,11.10347,Entire home/apt,90,5,30,2020-08-28,0.29,4,358
398240,Charming apartment Trentino Italy,162348,Daniele,,Trentino,46.43385,11.10411,Entire home/apt,78,3,89,2020-09-12,0.87,4,351
398249,CharmyApartment with Private Garden,162348,Daniele,,Trentino,46.43341,11.1035,Entire home/apt,50,5,26,2020-08-29,0.24,4,330
414591,B&B Il Sorriso dei Nonni-Val Rabbi,2061778,Gemma,,Trentino,46.37195,10.87932,Private room,70,1,68,2020-09-26,0.64,4,308
414829,Chalet Mas de la Bolp -Val di Rabbi,2062841,Cecilia,,Trentino,46.39855,10.84361,Entire home/apt,100,3,96,2020-01-11,0.94,2,237
444104,Val di Sole near Madonna di Campiglio,2178476,Catia,,Trentino,46.31673,10.76729,Entire home/apt,100,3,15,2020-08-17,0.14,1,365
466197,Apartment between the vineyards,1917655,Titti&Sabri,,Trentino,46.21904,11.1176,Entire home/apt,45,1,169,2020-09-15,1.63,1,265
506103,FUN SKI BIKE VAL DI SOLE DOLOMITI BRENTA,2494881,Giulia,,Trentino,46.31801,10.86405,Entire home/apt,110,7,35,2020-10-03,0.37,1,308
541153,Apartment in Passo Costalunga (Trento),2660221,Simone,,Trentino,46.40291,11.60869,Entire home/apt,36,5,7,2020-08-08,0.08,1,15
661736,APARTMENT CANAZEI 7 DAYS,3340674,Roberto,,Trentino,46.46801,11.78011,Entire home/apt,120,7,2,2018-02-17,0.03,1,8
700213,Trento Center B&B Rosagalina,3592127,Sybille,,"Trento, Trentino",46.06475,11.13196,Entire home/apt,53,2,40,2020-08-23,0.39,2,365
715781,Appartamento Campiglio,3688484,Emanuel,,Trentino,46.22617,10.82942,Entire home/apt,300,6,0,,,1,178
722748,Studio in Folgarida  MELEDRIO,3732998,Immobiliare Folgarida - Angela,,Trentino,46.30471,10.86146,Entire home/apt,43,7,2,2017-08-19,0.05,9,358
722761,Apt 4 rooms in Folgarida VILLA GAIA,3732998,Immobiliare Folgarida - Angela,,Trentino,46.30471,10.86146,Entire home/apt,148,7,3,2019-12-28,0.04,9,358
726907,un posto in paradiso,3764793,Alex,,Trentino,46.42097,11.67438,Entire home/apt,96,7,38,2020-09-19,0.52,2,231
726936,BILO  SUPERIOR  4 PAX MARILLEVA 900,3764958,Residence Kristall,,Trentino,46.31505,10.80425,Entire home/apt,100,7,1,2014-02-17,0.01,3,202
727295,APARTMENTS CHALET VILLA BIANCA BREATHTAKING VIEW,3767430,Alessandra,,Trentino,46.32035,11.50101,Entire home/apt,400,4,3,2019-02-07,0.10,3,350
730565,"Passo del Tonale, Trento- Brescia Ponte di Legno",2332796,Davide,,Trentino,46.25707,10.58601,Entire home/apt,180,6,0,,,2,180
733477,Beautiful baita-chalet,3822241,Alessandro,,Trentino,46.25135,11.50346,Entire home/apt,133,4,31,2020-09-06,0.32,1,234
735350,Appartamento 7posti in Val di Fassa,3836135,Mario,,Trentino,46.46869,11.72564,Entire home/apt,100,3,117,2020-08-15,1.19,1,65
740209,L'Oretta Moena Fata delle Dolomiti,3822407,Chiara,,Trentino,46.3767,11.66079,Entire home/apt,140,2,78,2020-09-14,0.78,4,207
745668,SKIING AND SPAS IN PEIO,3910397,Flavio,,Trentino,46.36243,10.67768,Entire home/apt,70,2,5,2019-07-23,0.05,1,351
751811,PIETRA RARA room & breakfast & bike,3953281,Daniela,,Trentino,46.01559,10.94948,Private room,80,4,14,2020-08-17,0.15,3,351
772315,BILO4 A MARILLEVA900 SCI E NON SOLO,3764958,Residence Kristall,,Trentino,46.31381,10.80984,Entire home/apt,85,7,0,,,3,202
772318,Mono2: soggiorno con divano a letto,3764958,Residence Kristall,,Trentino,46.31828,10.8017,Entire home/apt,72,7,0,,,3,363
874478,Amazing house in the Dolomiti Alps,4189569,Gilda,,Trentino,46.44746,11.69179,Entire home/apt,200,2,72,2020-09-26,0.73,1,286
921139,So close to Sellaronda lifts!,4951415,Cecilia,,Trentino,46.47632,11.7408,Entire home/apt,80,7,51,2020-07-25,0.53,1,260
927170,Riz apartment house in the Dolomite,4986595,Norberto,,Trentino,46.30099,11.44472,Entire home/apt,88,7,19,2020-08-01,0.19,2,337
946214,Cartier Laurina 11 of Riz Eugenio,5127456,Eugenio E Rosanna,,Trentino,46.47606,11.74077,Entire home/apt,118,7,33,2020-02-29,0.39,2,47
960850,Cartier Laurina 19 of Riz Eugenio,5127456,Eugenio E Rosanna,,Trentino,46.47539,11.74081,Entire home/apt,126,7,25,2020-02-22,0.34,2,47
1016693,Casa Belli Arco - Holiday home Gardalake region,5595492,Franco,,Trentino,45.91844,10.87732,Entire home/apt,60,4,4,2020-01-03,0.07,1,269
1025536,Arco - Riva del Garda - WiFi,5646658,Natalya,,Trentino,45.92291,10.86339,Entire home/apt,55,2,138,2020-10-31,1.45,1,337
1072852,"B&B Maso Toneto,  3 STANZE",5896215,Paolo Pali,,Trentino,46.28246,11.43579,Private room,55,1,81,2020-10-05,1.07,1,365
1186211,Villa con vista sulle Dolomiti,6486391,Federica,,Trentino,46.12697,11.25669,Entire home/apt,120,15,0,,,1,358
1211930,"Mansarda a Ledro, comoda a Verona e lago di Garda",6616762,Mariapia,,Trentino,45.90357,10.72064,Entire home/apt,95,3,18,2020-08-22,0.21,1,349
1248260,Little house between apple orchard,6801093,Carla,,Trentino,46.36251,11.07511,Entire home/apt,46,2,50,2020-08-31,0.54,2,334
1248464,Apartment between the apples ochard,6801093,Carla,,Trentino,46.36653,11.07081,Entire home/apt,52,3,30,2020-09-11,0.38,2,334
1252024,"Superb view, close to city centre",6821775,Chiara,,"Trento, Trentino",46.07468,11.12953,Entire home/apt,90,2,13,2020-09-20,0.14,3,350
1278542,"Villa Gobbo Val di Non-Tn 
cipat 022173-at-058887",6957931,Nelida,,Trentino,46.33738,11.11581,Entire home/apt,38,2,22,2020-10-09,0.24,2,365
1278750,"monolocale mansarda
cipat022173-at-058887",6957931,Nelida,,Trentino,46.33577,11.11657,Entire home/apt,28,2,49,2021-02-07,0.53,2,365
1344922,Apartment SUN for 4 people in Torbole,7296190,Casa Barcelli,,Trentino,45.87014,10.87528,Entire home/apt,85,3,10,2020-08-20,0.14,4,364
1373002,[Imer - Dolomiti] House with mountain view,6620379,Francesca,,Trentino,46.15001,11.79671,Entire home/apt,78,2,11,2020-10-19,1.75,1,320
1389891,BabaruM - Entire Home,7516844,BabaruM,,Trentino,45.91581,11.05979,Entire home/apt,200,1,44,2020-10-10,0.50,5,350
1418481,Primiero San Martino le Dolomiti a Casa Caterina,270241,Caterina,,Trentino,46.17279,11.82613,Entire home/apt,150,2,1,2020-06-28,0.12,2,342
1422090,Intera casa  Mezzomonte di Folgaria,7654928,Fattoria Didattica,,Trentino,45.91681,11.14134,Entire home/apt,96,7,6,2019-08-25,0.07,1,365
1436684,b&b Longanorbait,7718393,Marisa,,Trentino,45.91452,11.17105,Private room,45,2,6,2019-08-19,0.07,1,365
1439810,Private rooms in large apartment,6821775,Chiara,,"Trento, Trentino",46.07381,11.13024,Private room,45,2,35,2020-12-01,0.38,3,364
1440752,B & B AI CASAI,7737133,Michela,,Trentino,45.8803,10.75784,Private room,74,2,24,2020-07-10,0.27,5,90
1440859,B&B Arco Garda Rooms,7737611,Mauro,,Trentino,45.91347,10.9132,Private room,80,5,5,2020-08-15,0.11,1,128
1453842,1°floor with covered terrace,7798214,Casa Tortuga Apartments,,Trentino,45.87318,10.87745,Entire home/apt,119,2,35,2020-09-26,0.50,4,282
1457682,BabaruM- Double Room,7516844,BabaruM,,Trentino,45.91777,11.06138,Private room,60,1,3,2016-08-27,0.05,5,351
1457725,BabaruM - BedBunks PRIVATE,7516844,BabaruM,,Trentino,45.91566,11.06121,Entire home/apt,90,2,1,2020-01-05,0.07,5,308
1457759,BabaruM - Single Room,7516844,BabaruM,,Trentino,45.91706,11.05951,Private room,35,2,5,2016-06-06,0.07,5,350
1544744,Mansarda su campi da sci COD. 022039-AT-709249,8232296,Liliana,,Trentino,46.46206,11.78383,Entire home/apt,150,4,20,2020-08-28,0.22,2,334
1561239,Appartamento Rustico al piano terra,8307752,Luigi,,Trentino,46.42297,11.1499,Entire home/apt,35,14,8,2019-09-18,0.10,1,0
1621365,CHALET SHEILA,8579874,Sheila / Emiliano,,Trentino,46.16312,11.00493,Entire home/apt,93,5,10,2020-09-07,0.13,1,287
1647050,Alessiohaus in CasaPergher a Folgaria - Trentino,8740451,Ivan,,Trentino,45.90495,11.17409,Entire home/apt,108,3,4,2019-03-09,0.12,4,221
1648750,Accogliente trilocale stile alpino a Dimaro,8747095,Agenzia AlpenSole Di Falvo Antonell,,Trentino,46.32284,10.87951,Entire home/apt,96,1,9,2020-02-24,0.21,5,365
1650464,Stanza con bagno in casa privata inclusa colazione,8634000,Maria Nives,,Trentino,45.93847,10.81549,Private room,64,1,234,2020-10-02,2.89,1,333
1652881,CHARME HOLIDAYS IN TRENTINO,8765675,Agriturismo,,Trentino,46.43552,11.10255,Entire home/apt,60,2,1,2015-04-06,0.01,1,334
1658502,Stanza matrimoniale in agritur,8790250,Luana,,Trentino,46.33347,11.05343,Private room,110,1,2,2020-08-23,0.06,3,365
1689369,B&B GARARCO  room,8927937,Mario,,Trentino,45.92015,10.88596,Private room,55,1,1,2018-07-08,0.03,3,364
1700712,Torbole Holiday House - Apartment with garden,4184784,Fabio,,Trentino,45.8761,10.875,Entire home/apt,52,7,53,2020-10-13,0.59,1,165
