id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823,12.32902,Entire home/apt,225,7,162,2019-11-06,1.23,3,320
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845,12.32869,Entire home/apt,272,7,64,2019-11-03,0.60,3,342
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827,12.32764,Entire home/apt,122,4,184,2019-10-07,1.48,3,183
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221,12.33411,Private room,180,1,410,2020-02-21,3.38,2,340
33934,NEL CUORE DI VENEZIA,119219,Elisa,Isole,Cannaregio,45.4448,12.33121,Entire home/apt,103,2,133,2019-10-13,1.11,1,0
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44754,12.32918,Entire home/apt,300,2,72,2020-01-04,0.64,1,336
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43854,12.34959,Entire home/apt,140,5,6,2019-11-03,0.05,12,364
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43723,12.32451,Entire home/apt,120,1,19,2019-11-10,0.16,12,1
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43439,12.33509,Entire home/apt,400,1,59,2019-11-03,0.55,12,356
46158,Few steps from San Marco Square,198581,Laura,Isole,San Marco,45.43468,12.33613,Entire home/apt,200,1,11,2019-10-11,0.19,12,363
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44185,12.33355,Entire home/apt,200,3,12,2019-09-17,0.10,12,361
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846,12.33235,Hotel room,103,2,270,2020-02-24,2.26,4,339
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,136,2,145,2020-01-18,1.37,2,16
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,90,3,72,2019-11-01,0.77,2,0
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546,12.34636,Entire home/apt,80,1,8,2019-10-06,0.08,12,358
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44525,12.33166,Entire home/apt,150,3,47,2019-05-29,0.49,1,89
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43302,12.332,Entire home/apt,150,1,155,2019-09-15,1.38,1,365
60020,Bed and Breakfast (Website hidden by Airbnb),288785,Nicola,Isole,Santa Croce,45.44059,12.32952,Hotel room,80,2,28,2020-07-12,0.24,2,315
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44334,12.33483,Private room,90,1,146,2020-02-03,1.33,2,0
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,73,2,899,2020-03-16,7.86,3,0
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2020-01-03,0.42,1,0
65926,APPARTAMENTO AL PERGOLO  CANAL VIEW,289023,Francesca,Isole,Dorsoduro,45.43108,12.32593,Entire home/apt,145,2,149,2019-10-28,1.58,3,313
69375,Armonia Apartment  Venice's flavour,347332,Guido,Isole,Cannaregio,45.44555,12.32155,Entire home/apt,130,3,24,2019-05-09,0.22,3,357
69877, Central room with garden's view ,351965,Ca' Turelli,Isole,Dorsoduro,45.4338,12.32574,Private room,126,2,6,2017-05-11,0.07,3,259
71460,COZY ROOM EASY TO GET VENICE AND AIRPORTS !,365995,Andre,Terraferma,San Lorenzo XXV Aprile,45.49249,12.24348,Private room,49,2,248,2019-11-03,2.22,2,290
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43482,12.33648,Entire home/apt,120,3,97,2020-02-02,0.88,2,267
71870,Biennale - Great & cosy flat,369617,Irene,Isole,Castello,45.42978,12.35715,Entire home/apt,90,3,209,2020-02-25,1.83,3,268
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44001,12.32552,Private room,120,1,52,2019-10-27,0.53,2,365
72000,"Unique green gem: private court, boat, concierge",370543,Diana,Isole,Castello,45.43006,12.35652,Private room,60,2,140,2020-02-23,1.24,1,351
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.507,12.28175,Entire home/apt,45,2,313,2020-03-06,2.79,5,136
74042,Low Cost Romantic Venice,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,69,1,519,2019-11-03,4.69,2,0
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43476,12.34999,Entire home/apt,60,3,231,2020-02-17,2.06,2,136
74873,Al Campanile Madonna Dell'Orto: Apt BEIGE,394892,Hossep,Isole,Cannaregio,45.44699,12.33227,Entire home/apt,145,3,16,2019-05-26,0.18,4,358
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,100,2,199,2020-02-10,1.86,6,342
75760,at Biennale Giardini - Cà Zaleta,402656,Anna,Isole,Castello,45.43079,12.35641,Entire home/apt,100,7,217,2019-11-24,1.95,1,0
75994,San Bortolomio Apartment - WI FI,399883,Monica,Isole,San Marco,45.43746,12.337,Entire home/apt,98,2,104,2019-09-26,0.96,6,361
77188,Ca' Annalaura 1 with private court,390175,Monica,Isole,Castello,45.43385,12.34786,Entire home/apt,75,3,257,2020-07-12,2.35,2,338
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43103,12.31997,Entire home/apt,110,3,79,2018-08-09,0.79,2,0
78706,Al Campanile Madonna Dell'Orto: Apt. NERO,394892,Hossep,Isole,Cannaregio,45.44648,12.33248,Entire home/apt,135,3,34,2020-01-05,0.35,4,352
78833,Al Campanile: Loft ROSSO,394892,Hossep,Isole,Cannaregio,45.44648,12.33187,Entire home/apt,140,3,20,2019-06-30,0.19,4,360
79038,Al Giardino B &B minimun 2 Days,425369,Maurizio,Terraferma,Favaro,45.50878,12.2815,Private room,30,1,182,2019-05-14,1.63,4,364
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.43286,12.32043,Entire home/apt,115,3,38,2019-09-03,0.35,2,323
83368,Casa Granda in historical building,208909,Marta,Isole,San Polo,45.43678,12.32752,Entire home/apt,200,2,25,2020-01-18,0.50,2,0
83610,10' from St.Marc or BIENNALE,434231,Magda,Isole,Castello,45.43442,12.34854,Entire home/apt,120,3,5,2019-05-10,0.05,1,362
90053,Cozy flat in Venice (Lido),485439,Elisabetta,Isole,Lido,45.40769,12.36549,Entire home/apt,130,6,5,2015-05-15,0.05,2,354
91525,DIVYA - 1st class apartment,494255,Rosa,Isole,Santa Croce,45.43992,12.33035,Entire home/apt,200,3,23,2019-07-12,0.23,3,318
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.42703,12.31827,Private room,60,2,265,2019-11-17,2.40,3,320
95980,22 Marzo by St. Mark's Square - 1-BR Apt,510349,Roberta,Isole,San Marco,45.43316,12.3353,Entire home/apt,150,3,187,2019-11-09,1.70,3,338
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44394,12.32904,Entire home/apt,129,3,85,2020-02-24,1.81,1,61
103249,Quiet and style in Venice,208909,Marta,Isole,San Polo,45.43723,12.32718,Entire home/apt,130,2,311,2020-01-01,4.29,2,360
108271,SHORT HOLIDAYS  IN VENICE FREE WIFI,560277,Vera,Terraferma,Marghera,45.4732,12.22502,Private room,36,2,326,2019-11-04,3.27,1,364
109278,Villa ai Tigli - Entire Villa's rooms,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,260,1,15,2019-06-24,0.14,6,331
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40562,12.36547,Entire home/apt,300,7,6,2017-10-30,0.06,2,345
