id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71721,139.82596,Entire home/apt,11000,3,165,2020-03-04,1.47,1,328
776070,Kero-kero house room 1,801494,Kotaro Kei And Litte Miya,,Kita Ku,35.73844,139.76917,Private room,7284,3,228,2020-01-18,2.34,1,180
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5200,30,93,2019-11-25,0.98,2,180
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153,Private room,17000,1,211,2020-03-16,2.26,1,139
1033276,private room @Senju area,5686404,Yukiko,,Adachi Ku,35.74253,139.7973,Private room,30000,1,72,2018-06-17,0.78,2,270
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.69098,139.70618,Private room,6244,1,252,2020-10-29,2.87,4,346
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74409,139.79895,Private room,3000,2,95,2020-03-17,1.07,2,89
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,25000,4,101,2020-08-20,1.15,1,1
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,10000,3,185,2019-12-31,2.05,1,92
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.7385,139.85167,Entire home/apt,11000,3,339,2020-03-13,3.75,2,18
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70099,139.74012,Entire home/apt,27086,3,162,2020-03-20,1.87,2,0
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,22571,2,222,2020-08-29,2.49,1,146
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72597,139.7016,Private room,4000,3,225,2019-12-01,2.56,2,87
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,4000,3,220,2020-01-05,2.48,2,346
