id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
39798137,Charming penthouse with sea and Mdina view,305729530,Nad,,Zebbug (Malta),35.87727,14.43926,Private room,31,2,7,7,2020-03-14,2,95
43943072,350 year old studio room in a maltese farmhouse,342430495,Saviour,,Zebbug (Malta),35.87001,14.43923,Private room,35,3,0,0,,2,364
39996789,A modern light-filled apartment,262944108,Fran,,Zebbug (Malta),35.87367,14.4499,Private room,21,30,1,1,2020-05-17,1,363
42006217,Luxury Penthouse in the Heart of Malta,1730826,Rita,,Zebbug (Malta),35.87467,14.44415,Entire home/apt,72,3,0,0,,4,365
12780013,Penthouse with views of Mdina,69540389,Joseph,,Zebbug (Malta),35.8742,14.43636,Entire home/apt,45,1,120,24,2020-10-25,1,308
44603949,"3 bedrooms Maisonette, 10 min walk to 3 cities",346285499,Marcelle,,Zebbug (Malta),35.88448,14.44602,Entire home/apt,57,3,1,1,2020-08-20,1,3
31924924,Village Knights B&B - Mdina Room,239349288,Simon,,Zebbug (Malta),35.86981,14.44566,Hotel room,113,2,16,0,2019-09-16,3,268
41803255,Stylish  Apartment in the Heart of Malta Sleeps 10,1730826,Rita,,Zebbug (Malta),35.87514,14.44249,Entire home/apt,69,7,0,0,,4,365
33903128,Village Knights B&B - Valletta Room,239349288,Simon,,Zebbug (Malta),35.86772,14.44564,Private room,114,2,0,0,,3,304
44343811,Da Beppe B&B room 1,37169860,Lesley Ann,,Zebbug (Malta),35.8674,14.44498,Private room,50,1,1,1,2020-10-09,2,82
37762815,Luxury Retreat Jacuzzi Sunsets Escape,278571682,Andreea,,Zebbug (Malta),35.86937,14.44187,Private room,114,3,1,1,2020-09-14,4,179
14292283,Townhouse of Dreams,87257309,Mario,,Zebbug (Malta),35.87182,14.44301,Private room,16,1,87,3,2020-08-30,2,364
8386589,Double bedroom in a charming apartment,711377,Emma,,Zebbug (Malta),35.86607,14.44236,Private room,40,3,15,0,2019-08-12,1,178
37761661,Jacuzzi Sunset Luxury Oasis The cosy Loft Ensuite,278571682,Andreea,,Zebbug (Malta),35.86947,14.44213,Private room,60,3,5,4,2020-10-03,4,179
14882104,Farmhouse with Garden,93193651,Mark,,Zebbug (Malta),35.86721,14.44205,Entire home/apt,45,3,55,4,2019-12-31,1,209
37099812,Romantic Jacuzzi Sunset Escape ! The Red En-suite,278571682,Andreea,,Zebbug (Malta),35.86978,14.44191,Private room,51,3,9,4,2020-10-23,4,175
29974150,Tal-Kapilluna Zebbug Guest House. Self catering,225345304,Philip,,Zebbug (Malta),35.8708,14.43914,Entire home/apt,75,1,5,1,2019-11-05,1,120
39909329,Classic Maltese Town House - In Center of Malta,307485684,Nadia,,Zebbug (Malta),35.86889,14.45698,Private room,80,3,0,0,,2,179
40005427,KUCCA Boutique Townhouse -Adults Only,4889548,Alexia,,Zebbug (Malta),35.87204,14.44444,Entire home/apt,89,3,13,13,2020-10-06,2,342
41845395,Townhouse Twenty,1730826,Rita,,Zebbug (Malta),35.87084,14.44323,Entire home/apt,69,3,0,0,,4,365
39910378,Classic Maltese Town House > In Center of Malta,307485684,Nadia,,Zebbug (Malta),35.8708,14.44587,Private room,80,7,0,0,,2,179
25905668,Luxuriously converted 16th century farmhouse,194682157,John,,Zebbug (Malta),35.87187,14.43452,Entire home/apt,300,3,17,1,2020-08-24,1,33
15939095,Fully equipped three bedroom apartment.,103452722,Cynthia,,Zebbug (Malta),35.86293,14.43973,Entire home/apt,27,365,0,0,,1,364
