id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,4194,1,0,,,1,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Entire home/apt,8429,1,48,2020-10-13,0.44,10,359
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,1253,2,52,2019-11-03,1.43,2,180
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1983,4,39,2019-02-24,0.36,2,365
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1232,10,102,2020-03-09,0.96,3,167
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,3599,4,10,2019-10-05,0.19,2,356
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1426,1,0,,,3,89
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,3131,2,266,2020-01-21,2.36,4,345
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,249,4,70,2020-03-01,0.87,2,354
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1584,3,35,2019-11-18,0.34,1,365
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1159,3,97,2019-09-29,0.89,3,113
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,838,2,169,2020-03-16,1.52,3,356
204887,"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,800,3,26,2020-03-24,0.26,1,363
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,626,7,8,2020-08-04,0.12,1,148
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43516,-99.13806,Private room,626,3,80,2020-02-24,0.74,3,298
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,298,5,16,2017-09-30,0.15,4,0
255354,Tours in Mexico city,855066,Andrea,,Azcapotzalco,19.49886,-99.19172,Private room,691,1,10,2019-06-14,0.42,1,0
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,3048,2,265,2020-09-07,2.45,4,345
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,814,3,352,2020-03-14,3.28,1,47
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1981,5,13,2018-02-01,0.12,1,239
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,2097,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41125,-99.17634,Hotel room,1725,1,7,2019-10-05,0.10,10,357
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41247,-99.17485,Entire home/apt,552,1,293,2020-06-28,3.34,10,353
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36294,-99.15415,Private room,629,2,0,,,1,365
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1566,3,120,2019-11-03,1.16,1,298
312773,Perfect parkfront apt full of light,1608293,Mariel,,Benito Juárez,19.40042,-99.14807,Entire home/apt,1468,3,35,2015-07-14,0.33,2,89
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,835,2,176,2019-07-20,1.69,3,365
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,671,2,35,2019-07-28,0.39,1,359
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43453,-99.14675,Private room,605,3,107,2020-09-19,1.31,1,365
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,,Coyoacán,19.34034,-99.18345,Private room,363,2,191,2020-10-01,2.05,2,363
326475,Contemporary chic apartment- Top location,1670032,Isabel,,Cuauhtémoc,19.41297,-99.15735,Entire home/apt,900,7,94,2020-03-13,1.40,1,24
326865,"Tlalpan, Zona de Hospitales",1671446,Eugenia,,Tlalpan,19.28581,-99.16064,Private room,266,3,30,2019-11-30,0.45,4,299
326885,2 rooms in shared area.,1671446,Eugenia,,Tlalpan,19.28654,-99.16113,Private room,266,3,21,2020-02-29,0.23,4,1
329532,Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,,Cuauhtémoc,19.41007,-99.13434,Private room,449,22,0,,,2,359
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.27428,-99.1781,Private room,294,2,15,2019-05-31,0.38,5,363
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1607,3,337,2020-03-07,3.21,1,55
347754,Great Place to stay,1762542,Rosario,,Coyoacán,19.35179,-99.14956,Private room,839,1,0,,,1,365
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40421,-99.16553,Private room,1148,5,0,,,1,365
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40215,-99.24135,Private room,2097,1,0,,,1,365
362583,Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1989,2,18,2020-01-03,0.19,1,0
370092,Condesa Roma WTC Studio Maximum Covd Protection,618769,Ricardo,,Miguel Hidalgo,19.40011,-99.17066,Entire home/apt,408,1,305,2020-10-11,2.93,2,355
373792,"Great Accommodation in Condesa , modern , secure",1821523,Jorge,,Cuauhtémoc,19.41182,-99.17399,Private room,939,2,11,2017-12-04,0.11,1,364
375032,DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,,Cuauhtémoc,19.40746,-99.17482,Private room,1350,1,45,2020-01-30,0.44,10,365
382712,SALUDOS MI NOMBRE ES FERNANDO,1918084,Fernando,,Azcapotzalco,19.45803,-99.17289,Private room,700,1,0,,,1,365
382904,Cute Sofa Bed in South Mexico City,1915348,Lucrecia,,Benito Juárez,19.36905,-99.18303,Shared room,1049,1,0,,,1,365
386265,"Room in colonial, green, enjoyable COYOACAN",1933252,Esther,,Coyoacán,19.34303,-99.15425,Private room,298,3,9,2020-01-21,0.11,2,364
395446,Colorfull  Mid-Century inspired apartment.,899360,Julian,,Cuauhtémoc,19.41068,-99.17732,Entire home/apt,2150,3,12,2016-10-20,0.12,3,240
422159,"Nice Studio, 50 mts of terrace.",2099653,Antonio,,Benito Juárez,19.38942,-99.1358,Private room,360,3,8,2019-11-03,0.24,5,344
454077,Explore the City's Historic Center,2256144,Fernanda,,Cuauhtémoc,19.42577,-99.13721,Private room,524,1,2,2017-09-16,0.03,1,365
454693,"Condesa, ideal location apartment",1601561,Sylvia Eugenia,,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1342,1,221,2020-05-01,2.19,1,250
456242,Nice and cozy room with terrace!!!!,1767559,Anna,,La Magdalena Contreras,19.33021,-99.21677,Private room,839,3,2,2015-07-08,0.03,2,301
456409,habitación privada cerca de polanco,2269083,Alondra,,Miguel Hidalgo,19.44338,-99.18841,Private room,209,2,44,2017-03-20,0.43,5,266
456461,Lit room with balcony new Polanco,2269083,Alondra,,Miguel Hidalgo,19.44496,-99.18658,Shared room,313,2,61,2016-01-08,0.60,5,113
458808,Departamento  Roma/Norte sanitizado,2281290,Suites,,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,647,1,11,2020-08-07,0.18,44,351
486913,Loft very located in San Rafael near Reforma,2409917,Darío,,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,600,2,22,2020-03-02,0.22,3,360
489774,Luxury Apt. Plaza Carso Polanco,2415111,Max,,Miguel Hidalgo,19.4435,-99.20307,Entire home/apt,1992,4,43,2019-10-24,0.67,2,1
491412,Luxury Room for rent in Mexico City,2428947,Esther,,Miguel Hidalgo,19.38875,-99.24067,Private room,2900,7,0,,,1,158
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.4345,-99.13877,Entire home/apt,3904,3,23,2019-12-08,0.23,3,298
517503,Nice big room near airport,2547499,Irma,,Venustiano Carranza,19.43852,-99.08118,Private room,318,1,127,2020-10-26,4.07,2,359
521867,Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,,Álvaro Obregón,19.38751,-99.22409,Private room,524,2,0,,,1,87
527473,Roma Condesa Espectacular Home,158585,Fernando,,Cuauhtémoc,19.41848,-99.17195,Entire home/apt,2024,2,170,2020-10-08,2.23,1,1
544105,"Close to Carso/Antara, cozy place, great location!",2674950,Elizabeth,,Miguel Hidalgo,19.44236,-99.20128,Private room,877,2,24,2019-12-08,0.60,1,23
