id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91234,10.72384,Entire home/apt,1999,3,38,2020-01-13,0.42,1,363
69964,Lovely flat in Oslo city centre,175633,Kris,,Sagene,59.93898,10.7736,Entire home/apt,601,28,7,2013-05-18,0.06,1,358
71725,Central big room - ap with balcony,368229,Reidun,,Gamle Oslo,59.90611,10.78,Private room,520,4,49,2020-03-12,0.40,1,365
77108,Friendly & spacious in uptown Oslo,412523,Gunn Hild,,Frogner,59.92478,10.71649,Entire home/apt,2185,7,15,2019-12-28,0.13,1,358
92103,Trendy Urban Downtown Oslo.,496205,Dorte,,Grünerløkka,59.91975,10.75466,Entire home/apt,1262,3,20,2013-08-18,0.17,1,365
94158,Beautiful 3 bedroom penthouse,503528,Katrine,,Gamle Oslo,59.90711,10.786,Entire home/apt,846,3,135,2019-06-30,1.75,1,86
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91254,10.77409,Private room,364,7,230,2019-01-13,1.95,1,65
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92187,10.74817,Private room,676,5,39,2020-11-10,0.33,2,363
149960,In the very heart of Oslo,722814,Hilde,,Frogner,59.91991,10.73192,Private room,429,2,146,2020-01-02,1.24,2,272
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.92978,10.75952,Entire home/apt,13724,100,36,2014-10-26,0.31,1,365
189484,Quiet apartment w balcony in Oslo,913934,Andreas,,Sagene,59.93227,10.75487,Entire home/apt,1066,4,1,2015-07-01,0.01,1,87
209912,Supercharming apt. in lively area!,995679,Martine,,Grünerløkka,59.92722,10.75718,Private room,950,2,0,,,2,365
256459,Waterfront suite 12 min from centre,1347737,Kåre & Truls,,Nordstrand,59.84859,10.77871,Entire home/apt,678,1,256,2020-11-15,2.51,3,359
275790,"Peaceful, central with balcony.",793479,Espen,,Sagene,59.93275,10.75305,Entire home/apt,697,14,10,2020-03-04,0.09,1,249
