id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41339,Porto city flat near the sea,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,75,5,17,2018-09-28,0.18,1,222
42462,Large Penthouse in Vila Nova Gaia,185492,Gabriela,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.10739,-8.5943,Entire home/apt,80,30,39,2018-10-14,0.40,3,138
55111,Fontielas Houses |Floor1 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,66,3,14,2019-09-07,0.21,3,0
73828,Fontielas Houses |Floor0 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,66,3,8,2019-07-22,0.12,3,0
76436,Go2oporto @ River Side,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13951,-8.61453,Entire home/apt,99,2,184,2020-08-13,1.65,13,357
86388,A Formosa - a nest made for two,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,20,2,136,2020-09-23,1.15,6,0
87873,Oporto Apartment Triplex,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,50,2,183,2020-08-03,1.73,3,361
91439,A Formosa 2 -The red sofa room,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,143,2020-02-07,1.21,6,0
94701,Big TERRACE APARTMENT / city center,505473,Gundega & Antonio,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,42,3,285,2020-08-29,2.42,1,250
96394,Boat Blue Days,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,208,1,10,2020-11-06,0.24,1,0
100521,casa de praia,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07378,-8.65368,Private room,80,1,0,,,1,365
100661,A Formosa 3 - Little Vintage Nook,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,71,2020-02-16,0.61,6,0
104045,Aida Duplex Apartment | 5 Bedrooms,541968,Aida,PORTO,Bonfim,41.15877,-8.59893,Entire home/apt,90,4,260,2020-03-07,2.25,1,356
105347,Minha casinha / My little house,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12961,-8.58427,Entire home/apt,50,3,119,2019-10-28,1.28,1,291
108153,Rooms-Piscina-Praia,559704,Armando,ESPINHO,Anta e Guetim,40.99902,-8.6163,Private room,60,2,6,2019-08-29,0.11,3,365
113586,1 Bedroom Vintage Apartment 60sqm,577638,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,Entire home/apt,45,4,195,2020-09-20,1.68,1,193
122362,Private house in Oporto - Portugal,613350,Olga,PORTO,Paranhos,41.17563,-8.62323,Entire home/apt,60,2,62,2020-03-08,0.79,1,360
125872,B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12424,-8.61346,Private room,25,1,222,2020-01-01,1.90,14,365
127208,B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,25,2,454,2020-07-23,4.04,1,271
128557,B&B-Priv.Room  Porto 5m.winecellars,625145,Manuel & Family,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12557,-8.61512,Private room,23,1,358,2020-08-21,3.07,14,365
131994,Casa Do Pinheiro - Studio,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,Entire home/apt,17,3,144,2020-10-31,1.24,2,164
133099,Casa Do Pinheiro - Duplex Apartment,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,40,3,119,2020-07-04,1.03,2,158
133803,"Sun, sea & city.",489762,Sun Sea City,VILA NOVA DE GAIA,Canidelo,41.1277,-8.66321,Entire home/apt,87,3,177,2020-10-25,3.12,1,291
134570,Luxury Beachfront Penthouse Apartment w/ Pool,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.1041,-8.65946,Entire home/apt,150,2,74,2020-08-08,0.69,1,350
139425,Cozy apartment with terrace and barbecue,680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,51,1,187,2019-10-10,1.61,13,200
141255,Yellow House -  Casa CF,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19279,-8.66029,Private room,46,2,0,,,3,365
155127,Apartment Douro river 5 km to Porto,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,Entire home/apt,44,3,80,2020-08-10,2.45,1,0
155723,House with EscolaSuperiorEnferma,748789,Margarida M.,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,Entire home/apt,80,3,6,2017-08-13,0.05,1,0
