id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21974,Comf. double room/private bathroom,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38077,2.17551,Private room,80,3,2,2017-11-06,0.05,3,116
23197,Forum DeLuxe 5 mins Walk  To CCIB Center & Sea★,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41291,2.22063,Entire home/apt,200,3,52,2019-12-15,0.45,2,360
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,188,2,63,2020-02-22,0.56,5,0
34241,Private Double room - Plaza Real,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37916,2.17535,Private room,40,30,8,2013-07-15,0.06,3,90
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,146,4,149,2020-03-11,1.23,3,181
35318,Luxury room with private bathroom and balcony,152070,Michel,Ciutat Vella,el Barri Gòtic,41.38145,2.17544,Private room,69,3,242,2019-05-12,2.14,1,180
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39036,2.15274,Private room,15,2,314,2020-09-11,3.03,4,264
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39065,2.15196,Private room,14,2,255,2020-09-12,2.25,4,333
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39153,2.15125,Private room,12,2,271,2020-09-13,2.67,4,333
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39082,2.15078,Private room,19,2,231,2020-09-01,3.16,4,336
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906,2.19141,Private room,34,2,73,2019-10-15,0.67,1,364
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,35,2,160,2020-09-02,5.66,3,218
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40565,2.16932,Entire home/apt,110,3,39,2015-10-13,0.38,4,365
46153,SANT PERE APARTMENT★NO SHARING ★GREAT LOCATION★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,Entire home/apt,30,90,3,2020-08-31,0.03,2,195
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,67,2,42,2020-02-22,0.38,5,308
58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41129,2.18193,Entire home/apt,95,5,382,2020-03-02,3.32,1,331
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.38901,2.16552,Entire home/apt,103,2,51,2020-03-01,0.59,5,316
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15089,Entire home/apt,110,1,83,2020-02-23,0.75,28,0
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38072,2.17811,Private room,49,2,90,2019-12-19,0.79,1,365
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.37828,2.1708,Private room,31,1,369,2020-02-26,3.17,1,363
70333,Stylish+cozy home/parking/CCIB/WIFI,266650,Vanessa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40905,2.21243,Entire home/apt,90,32,124,2018-03-04,1.22,1,163
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41837,2.13419,Entire home/apt,250,5,1,2011-06-23,0.01,1,363
71553,Beautiful penthouse near Sagrada Familia,366654,Watermen Barcelona Apartments,Eixample,el Fort Pienc,41.3974,2.17682,Entire home/apt,119,2,49,2020-02-17,0.42,7,355
71603,MODERNIST PENTHOUSE. 1bedroom apt with terrace,366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39038,2.17606,Entire home/apt,452,3,37,2019-06-02,0.32,7,365
71736,APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38321,2.16656,Entire home/apt,60,32,11,2016-07-14,0.10,6,365
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,86,1,317,2020-09-08,4.29,6,357
72793,RENT BY MONTH COLORIST APARTMENT MINIMUN 32 NITGHS,368317,Nacharosa,Ciutat Vella,el Raval,41.38248,2.16415,Entire home/apt,50,32,2,2014-08-27,0.02,6,365
72794,RENT MONTH FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38294,2.16534,Entire home/apt,50,32,8,2014-08-23,0.07,6,365
73455,RAMBLAS FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38422,2.16701,Entire home/apt,99,2,117,2020-03-14,1.32,13,207
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,358,2,164,2020-02-02,1.45,5,0
73692,Rustic apartment : Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.39108,2.16521,Entire home/apt,150,2,42,2020-08-08,0.42,5,350
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37163,2.16591,Entire home/apt,100,2,49,2020-08-20,0.63,5,2
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37335,2.16165,Entire home/apt,79,2,84,2020-02-16,0.85,5,280
