id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3252,-1.97209,Entire home/apt,106,1,514,2021-02-27,4.33,1,244
134802,"Hab Luminosa,tranquila,baño privado",661293,Roberto,Vizcaya,Bilbao,43.24987,-2.93956,Private room,39,3,7,2020-11-30,0.07,1,0
142760,Apto San Juan de Gaztelugatxe,693119,Maitane,Vizcaya,Busturia,43.39062,-2.6947,Entire home/apt,91,6,39,2020-08-26,0.34,1,326
309802,Luxury w/terrace near the beach WIF,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31582,-2.00394,Entire home/apt,155,3,4,2018-04-19,0.05,7,320
309813,Near the beach with terrace WIFI,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31478,-1.98734,Entire home/apt,180,31,12,2018-06-02,0.11,7,337
309830,Gorgeus modern design WIFI Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98624,Private room,250,3,28,2020-08-23,0.29,7,317
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.40585,-2.94824,Entire home/apt,280,3,12,2020-08-31,0.37,1,296
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.26317,-2.94752,Private room,60,2,37,2019-11-17,0.89,1,358
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30453,-1.97554,Entire home/apt,179,4,28,2020-08-07,0.48,7,319
376823,"Elegant palace with a privat foret,",1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.2971,-1.86289,Entire home/apt,800,4,1,2020-08-09,0.15,1,363
386301,Confortable next to surfing beach,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32412,-1.97071,Entire home/apt,134,3,239,2020-08-23,2.55,3,139
404270,old part San Sebastian single room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32442,-1.98384,Hotel room,50,7,8,2017-07-25,0.10,4,125
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3053,-1.98,Private room,80,2,48,2019-10-19,0.45,7,319
424487,Apartamento Gorliz Vida. Ideal para sentirse bien,2110227,Koldo,Vizcaya,Gorliz,43.41362,-2.93662,Entire home/apt,90,3,44,2020-08-27,0.42,1,335
429657,Glasshouse+garden. 1 Km Sea,1986539,Igor,Vizcaya,Ibarrangelu,43.38659,-2.63097,Entire home/apt,100,2,88,2021-01-04,0.98,1,336
429887,old part SS double room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32489,-1.98353,Entire home/apt,70,7,14,2017-06-21,0.18,4,123
430475,Terrace apartement next to beach,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31274,-2.00474,Entire home/apt,185,6,21,2018-08-30,0.31,1,1
443362,old part of SS singel room,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32466,-1.98436,Private room,28,7,8,2020-12-31,0.12,4,206
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15336,-2.61773,Private room,130,2,66,2019-08-31,0.62,4,52
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26258,-2.9433,Private room,95,2,64,2019-10-11,0.61,2,365
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26456,-2.94349,Private room,75,2,34,2019-10-20,0.32,2,365
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15173,-2.61799,Private room,57,2,49,2020-08-23,0.47,4,354
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,Durango,43.15249,-2.61748,Private room,93,2,25,2019-12-08,0.24,4,352
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.1538,-2.61728,Private room,59,2,112,2020-02-15,1.08,4,160
