id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Chamartín,Hispanoamérica,40.45724,-3.67688,Private room,45,1,76,2020-07-06,0.59,1,107
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40341,-3.74084,Private room,31,4,33,2018-07-15,0.46,2,364
23001,Apartmento Arganzuela- Madrid Rio,82175,Jesus,Arganzuela,Legazpi,40.38695,-3.69304,Entire home/apt,60,15,0,,,6,349
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202,-3.70395,Entire home/apt,92,4,10,2020-03-01,0.14,1,87
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,68,2020-01-26,0.60,1,349
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985,-3.69011,Private room,26,2,149,2020-03-12,1.18,1,365
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,170,2020-01-04,1.37,3,365
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,2017-05-30,0.12,1,0
37859,"PISO, OPERA, MADRID, GRANDE",162701,Nacho,Centro,Palacio,40.4198,-3.71078,Entire home/apt,140,3,0,,,3,365
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Centro,Justicia,40.41978,-3.6973,Entire home/apt,71,3,120,2019-08-02,1.84,15,0
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,5,48,2020-01-05,0.40,3,365
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.41971,-3.71256,Private room,40,1,17,2019-10-05,0.16,1,365
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.4208,-3.69878,Private room,26,1,78,2020-03-04,2.72,2,365
64131,Habitación Metro Lacoma,313365,Gina,Fuencarral - El Pardo,Peñagrande,40.48409,-3.72257,Private room,21,2,32,2020-03-31,0.46,2,356
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40.42365,-3.70889,Entire home/apt,55,5,50,2020-08-26,1.64,1,0
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,66,28,20,2019-12-31,0.18,4,364
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42191,-3.71038,Entire home/apt,75,28,7,2020-04-30,0.11,4,365
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,79,2,110,2020-07-31,0.94,5,169
72955,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40.41139,-3.69408,Entire home/apt,115,3,18,2019-11-26,0.25,8,198
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.41075,-3.70759,Entire home/apt,80,8,5,2019-08-04,0.13,1,363
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.40743,-3.69719,Entire home/apt,64,3,56,2020-03-04,0.55,1,2
82481,"Retiro Park, Stay at cosy studio",448981,Mercedes,Salamanca,Recoletos,40.42315,-3.68279,Entire home/apt,63,3,108,2017-11-29,0.95,1,0
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40865,-3.70534,Entire home/apt,70,1,185,2020-03-09,1.62,1,77
86042,Cozy attic with intimate rooftop terrace+ elevator,364585,Vin,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,76,2,154,2020-03-05,1.37,5,180
89954,Amazing apt in the historic center,487095,Beatriz,Centro,Palacio,40.41218,-3.71369,Entire home/apt,114,2,209,2020-03-11,1.86,1,365
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42422,-3.69538,Private room,55,2,92,2019-12-01,0.81,1,363
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42378,-3.70248,Private room,27,1,643,2020-03-17,5.64,3,362
96807,"double room, bathroom",513331,Mark´S,Puente de Vallecas,Palomeras Bajas,40.38318,-3.65565,Private room,31,4,77,2019-07-07,0.68,7,365
