id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11547,My home at the beach,42942,Daniel,,Calvià,39.51888,2.48182,Entire home/apt,86,6,100,2019-10-20,0.93,1,287
69998,COZY HIDEAWAY  LOFT... MI AMOR...,353156,Lor,,Palma de Mallorca,39.57337,2.65268,Entire home/apt,100,3,161,2020-03-15,1.57,2,105
100831,HOUSE IN MALLORCA - WiFi(ET-3045),529151,Miguel,,Santa Margalida,39.76347,3.16255,Entire home/apt,155,7,110,2020-01-25,1.15,1,0
105891,VILLAGE HOUSE WITH POOL: IDEAL FOR FAMILIES,549192,Bartomeu,,Maria de la Salut,39.66044,3.07165,Entire home/apt,110,5,14,2019-09-03,0.14,2,279
106833,Villa with a big pool in Mallorca,551974,Xisco,,Sant Llorenç des Cardassar,39.616,3.30121,Entire home/apt,200,5,9,2018-08-13,0.09,1,304
130669,Room great apartment,643065,Nick,,Palma de Mallorca,39.56478,2.60333,Private room,110,2,0,,,3,365
133709,Appartment with views in Palma de M,656380,Juan&Luisa,,Palma de Mallorca,39.5633,2.62496,Entire home/apt,75,1,150,2019-09-06,1.39,1,246
159218,Farmhouse in Nature -ET-3025,763897,Gabriel,,Selva,39.73689,2.89745,Entire home/apt,100,7,262,2020-03-14,2.45,1,222
160482,Lovely house with stunning views,768840,Marga,,Esporles,39.65414,2.62546,Entire home/apt,210,4,62,2019-10-19,0.57,1,92
164185,Heart of Palma-Room with Ensuite Bath,788123,Maria,,Palma de Mallorca,39.57302,2.64355,Private room,65,4,100,2020-03-15,0.93,2,365
164364,Nice&Cozy Bedroom Paseo Maritimo,684289,Anna,,Palma de Mallorca,39.55152,2.62398,Private room,22,7,62,2020-02-22,0.63,1,347
166820,Guests House - excellent sea views,794829,Toni,,Banyalbufar,39.67932,2.50136,Private room,35,3,154,2020-02-17,1.42,4,176
168668,Beautiful farmhouse with pool ,804061,Miquel,,Manacor,39.66633,3.21769,Entire home/apt,150,7,46,2019-08-31,0.43,1,278
168697,"DESIGN Self-catering holiday home, Majorca",804167,Maria,,Sa Pobla,39.77096,3.02845,Entire home/apt,60,2,65,2020-03-03,0.60,2,365
178456,"Apartment 50m from beach in Alcudia Port, MALLORCA",804167,Maria,,Alcúdia,39.82169,3.11569,Entire home/apt,90,3,33,2019-09-25,0.35,2,350
193426,Beautiful apartment near the beach,938373,Javier Y Noelia,,Pollença,39.8973,3.07411,Entire home/apt,100,2,76,2019-09-16,0.77,4,190
210156,ALCUDIA BEACH -MALLORCA HOLIDAYS,1036132,Toni,,Alcúdia,39.83375,3.10918,Entire home/apt,58,5,90,2019-11-02,0.94,2,142
232310,"Charming apartment in Artà, Majorca",1215242,Allan,,Artà,39.69117,3.35112,Entire home/apt,74,4,53,2019-10-09,0.55,1,323
233901,"Chalet es pinaret gran, con piscina",1224723,Marta,,Santanyí,39.30197,3.07504,Entire home/apt,130,3,62,2019-08-01,0.64,1,299
238799,Penthouse in Palma close to Portitxol,1251803,Natasha,,Palma de Mallorca,39.56645,2.66102,Entire home/apt,185,3,77,2020-01-04,0.74,1,364
242962,Bright stylish apartment close to the sea,1275535,Molly,,Palma de Mallorca,39.56487,2.62569,Entire home/apt,80,30,49,2019-11-03,0.50,1,365
252425,ROOM WITH SOLARIUM+PRIVAT BATH WIFI,1324718,Santi,,Alcúdia,39.85299,3.1142,Private room,40,3,52,2019-11-23,0.55,1,360
255161,RURAL HOUSE BALITX D'AVALL,1340774,Elvira,,Fornalutx,39.81619,2.74088,Entire home/apt,650,3,1,2018-11-19,0.05,1,176
257206,Your Hike and resting room in Mallorca,794829,Toni,,Banyalbufar,39.68769,2.51105,Private room,35,3,135,2020-03-03,1.35,4,176
260247,My Paradise in .....Mallorca !,1365622,Sandra,,Palma de Mallorca,39.53815,2.71136,Entire home/apt,93,3,4,2017-07-16,0.04,2,338
268350,Finca rústica  Sa Rota de Can Mirai - Caimari,1399635,Guillermo,,Selva,39.7725,2.89919,Entire home/apt,85,6,132,2020-03-16,1.30,1,298
277300,"Place by Palmanova beach, Mallorca",1448115,Penelope,,Calvià,39.51277,2.53583,Entire home/apt,30,7,0,,,1,113
286091,"House in Mallorca, mountain and sea",675608,Miquel,,Artà,39.69405,3.35178,Entire home/apt,85,4,74,2019-09-21,0.76,1,171
291211,CAN MIQUEL - ETV 7062,1509460,Margarita,,Santa Margalida,39.76451,3.15622,Entire home/apt,120,3,56,2019-10-26,0.67,3,250
321351,modern bright seaview apartment,1645998,Djoke,,Manacor,39.5334,3.28925,Entire home/apt,100,30,2,2015-08-09,0.02,1,341
323164,Best Convenient Palma City Location,788123,Maria,,Palma de Mallorca,39.57382,2.64383,Private room,59,5,58,2019-10-07,0.58,2,205
324256,Villa Rustica Moderna en Es Trenc,1659633,Gabo,,Campos,39.40286,3.02221,Entire home/apt,450,7,3,2019-08-15,0.04,1,253
327107,Romantic House with Private Pool,983151,Sabine Petra,,Llucmajor,39.38224,2.93686,Entire home/apt,100,7,5,2019-09-28,0.07,1,313
328541,Original & sunny private house w pool | ETV/8687,704889,Balbina,,Palma de Mallorca,39.58069,2.66411,Entire home/apt,110,3,199,2020-03-13,1.98,1,301
335672,"Alcudia, cottage con vistas al mar",1202274,Marilén,,Alcúdia,39.84053,3.15564,Entire home/apt,150,5,136,2019-10-25,1.36,1,0
336938,Loft with Terrace & parking in oldtown,1713807,Carlos,,Palma de Mallorca,39.57076,2.64276,Entire home/apt,135,5,52,2019-10-24,0.54,1,273
337083,APARTMENT WITH BEATIFUL WIEWS,1714270,Javi,,Palma de Mallorca,39.53608,2.71846,Entire home/apt,120,28,76,2019-09-09,0.76,1,209
338838,"Cas Canonge, lovely garden house with pool",1720921,Pep,,Artà,39.69143,3.34856,Entire home/apt,190,4,17,2019-10-07,0.46,3,303
339768,Beautiful apartment in farmhouse,1720921,Pep,,Artà,39.69231,3.34819,Entire home/apt,70,3,18,2020-02-29,0.50,3,353
341274,Canavall  Boutique Penthouse Suite #11,1731210,Canavall,,Palma de Mallorca,39.57244,2.64966,Hotel room,164,5,79,2019-09-19,0.81,11,71
343193,Outskirts Vacation Villa Sa Taulada,1741287,Simon,,Santa Margalida,39.71282,3.14935,Entire home/apt,110,5,31,2019-09-16,0.38,1,27
351320,Apartment 250 mts to the beach,1779584,Gisela Y Nicolas,,Alcúdia,39.83806,3.11979,Entire home/apt,150,7,59,2016-10-06,0.61,1,138
374120,"Villa for your vacations - Tennis, BBQ, Petanque",1882333,Marc,,Esporles,39.65295,2.62476,Entire home/apt,200,4,87,2019-10-18,1.03,3,207
380469,RAW FOOD in Mallorca,1908848,Beverley,,Calvià,39.53187,2.56503,Private room,80,1,0,,,1,0
391530,"Comfortable Finca, near Binissalem",1957703,Kagula,,Binissalem,39.67592,2.88075,Entire home/apt,340,7,0,,,1,365
393387,Esplai Sineu. House in the village with pool.,1967495,Bel,,Sineu,39.6445,3.01063,Entire home/apt,120,5,91,2019-09-27,0.94,2,295
396659,Beachfront apartment with pool,1982030,Aina M.,,Pollença,39.88845,3.07692,Entire home/apt,100,3,70,2020-03-07,0.71,1,0
398543,Village townhouse apartment Lloseta,1990597,Antonio,,Lloseta,39.71996,2.87057,Private room,100,5,2,2012-11-16,0.02,1,359
399804,"Mallorca, Pretty, cosy cottage ",1995627,Theresia Hendrika,,Palma de Mallorca,39.64981,2.69139,Entire home/apt,60,4,53,2019-10-27,0.60,1,105
403446,Cottage at Mediteranean countryside,2012322,Javier,,Selva,39.75387,2.90242,Entire home/apt,70,4,201,2020-02-25,2.02,2,309
416622,Canavall Boutique Accommodation Suite Apartment#9,1731210,Canavall,,Palma de Mallorca,39.57244,2.64966,Hotel room,139,4,89,2020-02-18,0.94,11,46
417879,Haus am Meer,2077579,Miquel,,Santa Margalida,39.75987,3.16847,Entire home/apt,129,7,71,2019-10-15,0.73,1,299
421828,BEAUTIFULL FARM HOUSE ES PEDREGAL BY PALMA,2098127,Juana Maria,,Marratxí,39.63187,2.73071,Entire home/apt,250,5,14,2017-10-09,0.14,1,0
423427,Bohemian & Stylish Mallorquin Flat,2105638,Kristin,,Palma de Mallorca,39.57183,2.6371,Entire home/apt,180,4,110,2020-03-02,1.12,2,364
429794,Top Villa & Bungalow & Pool 5minwalk from Beach!,1857132,Julie,,Santanyí,39.37666,3.23392,Entire home/apt,370,7,7,2019-08-17,0.10,1,322
430192,"In Front of the Sea, Portocolom",2138439,Juan Antonio Y Elena,,Felanitx,39.42621,3.26594,Entire home/apt,79,5,119,2020-03-16,1.21,2,292
432076,La Casita del Jardín de Can Xiscos,2148846,Ana,,Palma de Mallorca,39.63395,2.61065,Entire home/apt,150,2,18,2014-08-10,0.21,3,183
432183,Rooms in a Country house 8km/ Palma,2148846,Ana,,Palma de Mallorca,39.63542,2.61116,Private room,78,2,3,2013-10-06,0.03,3,57
440338,"SON ALOUI MALLORCA, Charming little studio",2098487,Sandrine,,Llubí,39.70457,3.05752,Entire home/apt,55,3,11,2020-03-06,0.86,2,253
441723,House in the mountains of Mallorca,2195138,Klaus,,Esporles,39.67029,2.57596,Entire home/apt,69,3,136,2019-12-16,1.40,1,323
