id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32347,Explore Cultural Sights from a Family-Friendly Apartment,139939,Alejandro,Casco Antiguo,San Vicente,37.39358,-5.99975,Entire home/apt,99,2,168,2020-01-08,1.35,1,318
49287,BEAUTIFUL APARTMENT IN SEVILLE,224697,Walter,Casco Antiguo,San Lorenzo,37.39898,-5.99533,Entire home/apt,59,1,42,2020-02-17,0.34,1,363
94187,(2) ROOM + PRIVATE BATHROOM. CASA DEL BUEN VIAJE,503692,Margot,Casco Antiguo,San Bartolomé,37.38816,-5.98537,Private room,59,2,75,2019-06-05,0.65,6,303
108568,TERRACE ALAMEDA. WIFI GARAGE DOWNTOWN,589600,Miguel,Casco Antiguo,San Lorenzo,37.39941,-5.99379,Entire home/apt,94,3,81,2019-12-29,0.70,13,365
116703,"Walk to the Cathedral!! ATICO DUPLEX, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.38551,-5.99497,Entire home/apt,111,3,165,2020-03-15,1.38,13,358
117278,"Walk to the Cathedral!! DUPLEX ARENAL, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.38549,-5.99506,Entire home/apt,90,3,102,2020-03-01,0.86,13,365
120619,"PALACE HOUSE, 30 €,----",606762,Juan,Casco Antiguo,Santa Cruz,37.38667,-5.99364,Private room,35,1,667,2019-12-03,5.56,2,364
144918,"Cozy apartment in Triana, Seville",701871,Laura Y José,Triana,Triana Casco Antiguo,37.3839,-5.9999,Entire home/apt,71,2,168,2020-09-27,2.53,1,364
159596,apto lujo 2 D en el Arenal (Sevilla),629861,Alvaro,Casco Antiguo,Arenal,37.38671,-5.99581,Entire home/apt,106,64,1,2019-11-24,0.06,2,88
179629,Bamberg Duplex Private Terrace Old town 5 pax,860055,Maria,Casco Antiguo,Santa Cruz,37.38731,-5.99095,Entire home/apt,111,3,151,2021-01-02,1.34,20,212
185356,Macarena Romans Walls 7 pax,860055,Maria,Macarena,"León XIII, Los Naranjos",37.40307,-5.98409,Entire home/apt,109,3,105,2020-10-25,0.90,20,341
201209,Esmeralda Apartment - VFT/SE/00620,983968,Jesús,Macarena,Las Avenidas,37.40954,-5.98648,Entire home/apt,60,2,57,2020-01-05,0.50,8,294
207702,"Tirso I, 7 minutes walk from the Cathedral",1022533,Maria,Casco Antiguo,Museo,37.38945,-5.99889,Entire home/apt,100,3,308,2020-03-05,3.87,1,86
217440,PALACE HOUSE Room center sevilla B,606762,Juan,Casco Antiguo,Santa Cruz,37.3881,-5.99208,Private room,34,1,717,2020-03-12,6.19,2,364
227905,"HISTORIC ROOM, CENTER OF SEVILLE",1188880,,Casco Antiguo,Museo,37.39299,-5.99916,Private room,30,1,83,2020-10-03,0.73,2,85
253430,Apartment in historic center. WIFI,1330663,Mario,Casco Antiguo,Alfalfa,37.39107,-5.99261,Entire home/apt,50,2,214,2020-03-15,1.88,2,365
266016,"nice loft it the Center, wifi",1391956,Jorge,Nervión,San Bernardo,37.38111,-5.98616,Entire home/apt,125,2,339,2020-03-08,3.04,5,90
272934,"NEAR TOWN HALL APARTMENT, WIFI+A/C",1428269,Actua Y Gestiona S.L.,Casco Antiguo,Santa Cruz,37.38874,-5.99297,Entire home/apt,84,1,233,2021-03-08,2.09,6,262
273981,"NEAR TOWN HALL APARTMENT, WIFI+A/C, 2 bedrooms",1428269,Actua Y Gestiona S.L.,Casco Antiguo,Alfalfa,37.39006,-5.99521,Entire home/apt,89,1,107,2021-03-01,0.95,6,281
298673,Corral del Coliseo -WiFi - VFT/SE/00432,264346649,Eva Maria,Casco Antiguo,"Encarnación, Regina",37.39362,-5.99065,Entire home/apt,153,2,378,2020-07-19,3.44,1,364
315971,ROOM WITH A VIEW ON ROOF.,1188880,,Casco Antiguo,Museo,37.39279,-6.00078,Private room,30,2,401,2021-03-01,3.62,2,148
321192,Center with free parking - wifi,1643754,Vicente,Nervión,an Roque,37.39236,-5.98361,Entire home/apt,51,3,364,2021-03-28,3.32,1,337
