id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20083,Unique in Södermalm SOFO Stockholm,75962,Lovisa,,Södermalms,59.30643,18.08785,Entire home/apt,995,4,12,2014-09-01,0.09,1,364
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31268,18.06258,Private room,643,3,313,2020-01-29,2.68,2,179
170651,Petit Charm Rooftop next to heaven,814021,Marie,,Södermalms,59.31568,18.03138,Entire home/apt,1387,4,34,2020-03-09,0.29,1,297
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.31226,18.07942,Shared room,669,3,79,2019-12-08,0.70,1,363
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33376,18.03816,Private room,600,3,48,2020-10-02,0.42,1,364
238411,Cozy apartment in central Stockholm,1250232,Mia,,Norrmalms,59.3389,18.04962,Entire home/apt,995,1,112,2016-12-13,0.99,1,66
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31347,18.06106,Private room,571,2,309,2020-02-07,2.81,2,179
259722,Near shopping-IT Business (Own room),1261494,Marcelo,,Rinkeby-Tensta,59.41003,17.9366,Private room,245,21,26,2020-05-02,0.24,2,56
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30414,18.1068,Entire home/apt,1652,6,8,2018-07-07,0.08,1,129
278311,Entire apt (some weeks this summer),1452838,Linnéa,,Farsta,59.24534,18.08729,Entire home/apt,360,2,53,2020-08-16,0.47,1,286
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,,Rinkeby-Tensta,59.41533,17.91465,Private room,360,2,104,2018-10-28,0.99,1,90
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,1056,2,527,2020-09-29,5.62,1,171
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27778,17.99226,Private room,750,1,35,2020-01-16,0.33,2,365
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34518,18.06044,Entire home/apt,3000,5,67,2020-11-08,0.63,1,331
313195,"Design, style & vintage by Odenplan",956221,David,,Norrmalms,59.34763,18.05015,Entire home/apt,1007,3,45,2017-08-13,0.43,1,173
315736,Spacious 2 BR - super central,1609911,Pia,,Norrmalms,59.33958,18.05359,Entire home/apt,1782,5,73,2019-09-15,0.67,1,154
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24699,18.17948,Entire home/apt,360,1,19,2019-09-29,0.18,1,135
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26377,18.02449,Private room,350,1,22,2019-11-03,0.21,1,365
441476,Nice apartment close to Lykke,2040999,Csilla,,Södermalms,59.31301,18.08055,Entire home/apt,906,2,77,2017-03-31,0.72,1,55
442837,Modern single room in Stockholm with Wi-fi,2200827,Jo,,Hägersten-Liljeholmens,59.30914,18.02386,Private room,571,2,95,2019-09-21,0.89,1,270
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.28021,18.05355,Entire home/apt,1500,3,23,2019-01-05,0.23,1,364
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.3144,18.08311,Private room,459,3,44,2017-06-29,0.41,1,0
488427,"Sofo, perfect with kids!",2320343,Elisabeth,,Södermalms,59.31524,18.08456,Entire home/apt,1800,6,32,2019-07-29,0.30,1,85
510398,Big Private Bedroom w/ Bathroom & Terrace View,373584,Ric,,Södermalms,59.30672,18.1069,Private room,487,4,11,2019-10-08,0.14,1,179
514133,City Apartment - 1 bedroom all furnished and fresh,2532579,Mira,,Norrmalms,59.33906,18.04498,Entire home/apt,1557,1,5,2018-11-01,0.05,1,364
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,,Östermalms,59.34384,18.08977,Private room,554,10,105,2018-08-08,0.99,1,0
536691,Charming flat in Södermalm,2636194,Cecilia,,Södermalms,59.3208,18.055,Entire home/apt,1007,4,88,2020-02-24,0.84,1,332
560308,Great 2 bedroom apartment Stockholm,2755002,Checkin,,Bromma,59.33679,17.97682,Entire home/apt,1760,2,8,2020-06-26,0.08,3,87
568341,Junior 1 bedroom Apartment Stockholm 2,2755002,Checkin,,Kungsholmens,59.33603,18.03005,Entire home/apt,1095,2,4,2019-03-07,0.06,3,356
581243,Great Room in City Center,2860556,Edwin,,Östermalms,59.34044,18.09154,Private room,419,1,569,2021-02-15,5.42,1,33
608672,Cozy & peaceful studio in a superb city location,3016996,Karin,,Norrmalms,59.3389,18.05652,Entire home/apt,500,1,457,2021-02-14,4.40,1,345
610948,"Artistic bright apt, great location",2594467,Lina,,Södermalms,59.3209,18.05807,Entire home/apt,1090,4,35,2019-09-15,0.34,1,94
647314,Large and beautiful bedroom in central Södermalm.,3237232,Mallika,,Södermalms,59.31614,18.06266,Private room,786,2,280,2020-06-22,2.71,1,1
674477,"Duplex Apartment, Centre of Stockho",1527146,Max,,Södermalms,59.31434,18.06624,Entire home/apt,2400,4,49,2020-01-14,0.50,1,365
687247,Luxury apartment - Old Town,3507028,Pontus,,Södermalms,59.32617,18.06787,Entire home/apt,2900,6,19,2020-06-25,0.26,1,177
748847,Gorgeous apartment in 1885 building,3934547,Heath,,Södermalms,59.31612,18.07526,Entire home/apt,1295,90,18,2020-03-31,0.18,1,0
755843,Nice apartment in the city center,3978910,Pär,,Kungsholmens,59.32865,18.035,Entire home/apt,957,2,119,2020-12-23,1.87,1,358
763407,Cozy flat in central Stockholm,3549257,Gabriella,,Norrmalms,59.34489,18.05216,Entire home/apt,2350,3,94,2019-12-31,0.98,1,58
770995,Fin lägenhet på nedre Kungsholmen.,4067436,Peter,,Kungsholmens,59.33064,18.04576,Entire home/apt,3650,3,14,2019-12-08,0.25,1,363
776155,Unique exclusive quiet penthouse/loft,3963441,Ann-Sofie,,Norrmalms,59.34313,18.05264,Entire home/apt,1800,5,22,2018-10-09,0.23,1,84
785218,Unique 3 floor Town House,4139711,Fredrik,,Kungsholmens,59.32115,17.99498,Entire home/apt,1500,5,10,2019-08-10,0.11,1,69
