id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42515,Geneva center - Hosting females,185647,Noelle,,Commune de Genève,46.2014,6.15507,Private room,70,30,57,2020-05-30,0.51,1,363
44959,Perfect Cozy Bedroom Close to Lake & Transport,198343,Rita,,Commune de Genève,46.19704,6.16076,Private room,90,1,49,2020-04-03,0.39,1,88
107438,Room in an amazingflat linked to UN,556499,F. M.,,Commune de Genève,46.19004,6.16014,Private room,80,60,27,2019-11-30,0.23,2,332
194110,Central apartment by the lake,942248,Virginia,,Commune de Genève,46.2042,6.16067,Entire home/apt,135,14,72,2020-12-01,0.66,1,260
256797,Charming apartment in city center,1350910,Asif,,Commune de Genève,46.20216,6.16315,Entire home/apt,90,10,29,2020-08-31,0.26,1,352
276025,Lovely flat by Geneva lake,1442438,Gaby,,Versoix,46.27944,6.16724,Entire home/apt,60,6,102,2020-11-08,0.95,1,349
315869,B&B one in Geneva City - Airport,1621970,Eric,,Meyrin,46.22488,6.11006,Private room,59,2,45,2019-09-28,0.42,2,365
315890,B&B two in Geneva City - Airport,1621970,Eric,,Meyrin,46.22665,6.10833,Private room,59,2,50,2020-11-28,0.69,2,0
325986,"Stylish loft in Pâquis, next to UN",1667362,Virna,,Commune de Genève,46.21428,6.1461,Entire home/apt,150,3,104,2020-11-01,0.99,1,360
338682,Top location 1 block from the lake!,1001280,Mike,,Commune de Genève,46.20682,6.15526,Entire home/apt,153,3,90,2020-12-07,0.84,1,59
381538,Double bed+terrace+central Geneva,1913488,Anna,,Commune de Genève,46.20233,6.17377,Private room,143,1,5,2018-11-18,0.05,2,0
411058,5th Sky (Downtown Geneva),1706035,Julik,,Commune de Genève,46.21092,6.14588,Private room,125,1,47,2020-03-05,0.58,1,87
419631,Beautiful Apm't in central Geneva (NB Guest Room),2086993,Mark,,Commune de Genève,46.1991,6.17318,Private room,75,1,57,2020-09-20,0.62,1,53
468995,Nice little place near the lake!,2328179,Po,,Commune de Genève,46.20508,6.15822,Entire home/apt,106,3,29,2020-10-01,0.28,1,362
476344,Very spacious apartment in Geneva!,2361206,Jean,,Commune de Genève,46.19327,6.15306,Entire home/apt,290,3,130,2020-11-27,1.25,1,136
530979,Room on Spacious flat close to UN,1485205,George,,Commune de Genève,46.21699,6.12736,Private room,195,2,24,2015-02-14,0.24,1,362
595273,"Cozy, central and calm Appartment",2905543,Anna,,Commune de Genève,46.20932,6.13717,Entire home/apt,78,3,64,2020-01-02,0.66,1,254
610685,Bedroom(#1) in new furnished apartment,2388229,Alberto,,Grand-Saconnex,46.23507,6.12345,Private room,40,7,55,2020-12-01,0.54,10,364
610738,Romantic Flat in the City Centre,2388229,Alberto,,Commune de Genève,46.20117,6.13139,Entire home/apt,140,14,28,2020-12-01,0.27,10,364
615005,Grande chambre sous les toits(6ème),3049609,Phae.,,Commune de Genève,46.21133,6.13776,Private room,72,2,41,2020-03-06,0.40,1,363
626512,Design apartment 2 blocks from lake,3110118,Enrica,,Commune de Genève,46.2124,6.15048,Entire home/apt,86,3,27,2020-10-12,0.27,1,361
626831,The Hamlet - Townhouse 6,3111534,The Hamlet,,Commune de Genève,46.19891,6.15033,Entire home/apt,320,1,3,2017-06-05,0.05,11,0
626971,The Hamlet - Townhouse 10,3111534,The Hamlet,,Commune de Genève,46.20048,6.15046,Entire home/apt,320,1,0,,,11,1
628055,Center | sofa-bed | safe for lady,3118951,Leonora,,Commune de Genève,46.19275,6.14371,Private room,66,1,279,2020-10-28,2.74,3,90
628495,"Bright, spacious flat in Old Town !",3122142,Laura,,Commune de Genève,46.20174,6.14594,Entire home/apt,120,14,64,2020-03-01,0.63,1,318
639461,"Spacious, Modern Apartment to Rent",2388229,Alberto,,Grand-Saconnex,46.23491,6.12378,Entire home/apt,136,7,125,2020-11-14,1.35,10,0
649023,An artistic studio in Geneva Old Town,2375758,Eliora Elena,,Commune de Genève,46.20175,6.14852,Entire home/apt,133,2,33,2020-10-19,0.33,1,88
