id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7381,Chalet Chocolat in medieval alpine village,19480,Paula,Aigle,Ormont-Dessus,46.35476,7.13333,Entire home/apt,110,3,29,2020-06-01,0.30,2,335
26809,"Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2,117,2017-01-22,0.97,1,0
50123,Not Available any longer,229512,Christopher,Nyon,Mont-sur-Rolle,46.4754,6.32883,Private room,856,4,0,,,1,365
55549,Unique at Lake Geneva with terrace!,262449,Nadia,Morges,Saint-Prex,46.4796,6.46087,Entire home/apt,156,3,2,2020-06-01,2,1,56
129558,Vos vacances à Lausanne,638930,Carol,Lausanne,Lausanne,46.53873,6.62034,Private room,85,7,0,,,1,365
198351,Cosy Room,967965,Isabelle,Riviera-Pays-d'Enhaut,Montreux,46.44715,6.89659,Private room,50,2,19,2020-03-10,0.99,1,285
233016,Your little piece of Paradise!,1219574,Michael,Aigle,Ormont-Dessus,46.3496,7.16248,Entire home/apt,125,5,6,2020-01-02,0.09,1,361
245705,"Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,1,72,2020-06-02,0.87,1,259
259823,"Spacious, quiet, downtown, near lake & transports",1363446,David,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45231,6.86073,Entire home/apt,141,2,14,2019-08-04,0.38,1,0
268195,"Balthazar 4 - Central Villars, Great Views+Parking",1405645,David,Aigle,Ollon,46.29621,7.05534,Entire home/apt,578,7,8,2019-09-15,0.17,6,272
282024,"3 Bedroom House - Nyon, 25 min Geneva",627833,Steve,Nyon,Prangins,46.39469,6.25042,Entire home/apt,129,2,8,2017-12-26,0.08,1,0
347194,Castle in the hill. Stunning view 1,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47443,6.80248,Hotel room,260,1,52,2019-10-06,0.53,3,322
361490,Castle in the hill. Stunning view 2,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47473,6.8007,Entire home/apt,186,2,33,2019-10-03,0.33,3,1
366458,"4BD, very spacious, luxury villa, amazing  views",1850153,Spyros,Lavaux-Oron,Lutry,46.51247,6.70154,Entire home/apt,730,3,75,2020-06-17,0.78,1,0
441365,Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,2,24,2018-09-08,0.30,17,1
465603,Spacious room - private bathroom,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.91791,Private room,39,1,168,2020-05-29,1.71,1,323
481748,Duplex! Center of Vevey. Character!,2386200,Milica,Riviera-Pays-d'Enhaut,Vevey,46.46643,6.84233,Entire home/apt,167,7,0,,,1,178
