id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
178036,單人床位 Single bunk bed [mixed dorm for 4pax],851825,TaipeiTaipei Hostel,,中正區,25.04446,121.51346,Hotel room,597,1,81,2020-10-25,0.71,9,355
271733,Taipei Rooftop - Whole apartment!,242033,Robyn And David,,文山區,25.00384,121.55573,Entire home/apt,1200,5,63,2020-11-07,0.58,1,61
289296,Fabulous studio - Center Taipei-- Monthly only,1338052,Herman,,大安區,25.04335,121.55007,Entire home/apt,2367,28,25,2020-01-21,0.34,3,365
289298,Fabulous Studio in heart of Taipei,1338052,Herman,,中山區,25.08007,121.55908,Entire home/apt,1968,1,180,2020-11-22,1.95,3,352
310542,"TMP Co-Living,long term+monthly rental+Not daily",1597675,The Meeting Place,,南港區,25.05025,121.58081,Shared room,300,30,15,2018-12-28,0.19,8,180
333362,"2min walk to MRT, Quiet good sleep",1698423,Jojo,,中山區,25.07921,121.55128,Entire home/apt,1243,365,79,2015-08-26,0.74,1,365
375718,CRèME De La CRèME - CENTER CITY 東區,1398361,Second,,大安區,25.04178,121.551,Entire home/apt,2881,2,6,2014-03-10,0.06,12,90
375720,"CENTER CITY 1B1b, Daan District, MRT 2.5 Min",1398361,Second,,大安區,25.02866,121.5433,Entire home/apt,1829,29,102,2020-11-19,0.96,12,360
419399,Boutique Loft（月租）,6629707,Charlie,,松山區,25.04814,121.54579,Entire home/apt,1834,30,138,2020-03-01,1.32,1,354
642746,單人床位 Single bunk bed [Mixed dorm for 12pax],851825,TaipeiTaipei Hostel,,中正區,25.04446,121.51384,Hotel room,535,1,44,2020-09-06,0.47,9,354
642748,單人床位 Single bunk bed [female dorm for 10pax],851825,TaipeiTaipei Hostel,,中正區,25.0445,121.51318,Shared room,535,1,40,2019-10-06,0.40,9,355
694446,台北士林私人套房,3554221,Sophie,,士林區,25.11304,121.53454,Private room,913,21,170,2020-02-17,1.73,2,0
697749,Tonghua Vacation Studio A near MRT & Taipei 101,339014,Lisa,,大安區,25.02941,121.55512,Entire home/apt,913,30,2,2017-12-15,0.03,5,317
697760,Tonghua Vacation Studio D near MRT & Taipei 101,339014,Lisa,,大安區,25.02941,121.55512,Entire home/apt,856,30,3,2020-09-02,0.06,5,315
697805,Tonghua Vacation Studio E near MRT & Taipei 101,339014,Lisa,,大安區,25.02941,121.55512,Entire home/apt,856,30,6,2020-01-22,0.07,5,348
718493,"Loft Style Flat （enomonical listing, 6th floor ）",3705836,Gordon,,內湖區,25.06775,121.58417,Entire home/apt,1763,1,88,2020-10-18,0.89,11,350
761561,Studio with kitchen near Guting MRT,4014285,Pei,,中正區,25.02499,121.52322,Entire home/apt,1997,5,28,2020-09-01,0.29,1,247
777433,Modern Loft in Taipei Dazhi area,4100423,Victor,,中山區,25.0828,121.55057,Entire home/apt,1084,3,139,2020-03-27,1.43,2,152
849277,"3 Min from Gongguan MRT, Studio B",1398361,Second,,大安區,25.01706,121.53348,Entire home/apt,800,12,24,2016-09-10,0.25,12,90
889252,Single Suite Room near MRT in Surfin' Taipei,4180592,Surfin' Taipei,,中正區,25.04353,121.51598,Private room,1300,2,75,2019-03-30,0.80,7,365
889269,8-bed mixed dorm@On My Way Taipei Hostel,4717608,On My Way Taipei Hostel,,北投區,25.13262,121.50102,Shared room,2329,1,48,2020-10-13,0.53,4,355
889272,Single Private Room near MRT in Surfin' Taipei,4180592,Surfin' Taipei,,中正區,25.04353,121.51598,Private room,1100,7,67,2018-12-17,0.71,7,365
889292,Mixed Dorm for 4  (1 mins from MRT),4180592,Surfin' Taipei,,中正區,25.04513,121.51611,Shared room,550,2,69,2019-12-23,0.73,7,364
891182,Economic Double  room (No Window) 經濟無窗客房,4402118,Hotel,,中山區,25.05005,121.5205,Private room,2200,2,0,,,2,365
891226,Deluxe Double Bed Room (Window),4402118,Hotel,,大同區,25.04944,121.51916,Private room,2150,2,0,,,2,365
899766,6 bed mixed dorm @ on my way hostel,4717608,On My Way Taipei Hostel,,北投區,25.13276,121.50016,Shared room,3543,1,20,2020-11-15,0.27,4,358
913210,Come inn taipeiⅠ館(一分鐘走路大安站,4901847,Come Inn Taipei,,大安區,25.0334,121.5505,Private room,1780,6,8,2019-03-04,0.08,19,365
913211,Come inn taipeiⅠ館(一分鐘大安站,4901847,Come Inn Taipei,,大安區,25.03238,121.55056,Private room,1980,6,4,2019-01-03,0.04,19,364
913215,Come inn taipeiⅠ館(走路一分鐘大安站,4901847,Come Inn Taipei,,大安區,25.03255,121.55077,Private room,1780,6,4,2018-12-22,0.04,19,364
913216,Come inn taipei 1館 (大安站一分鐘,4901847,Come Inn Taipei,,大安區,25.03259,121.55133,Private room,1980,6,4,2019-01-04,0.04,19,364
913217,Come inn taipeiⅠ館(1分鐘大安站,4901847,Come Inn Taipei,,大安區,25.03204,121.55041,Private room,1980,6,0,,,19,364
913218,Come inn taipeiⅠ(一分鐘到達大安站,4901847,Come Inn Taipei,,大安區,25.03239,121.54935,Private room,2480,6,4,2014-10-06,0.04,19,364
913219,Come inn taipeiⅠ館(一分鐘走路大安站,4901847,Come Inn Taipei,,大安區,25.03273,121.54994,Private room,1780,6,1,2015-01-05,0.01,19,364
913220,Come inn taipeiⅠ(大安站一分鐘,4901847,Come Inn Taipei,,大安區,25.03226,121.55112,Private room,1980,6,0,,,19,364
915276,Come inn taipeiⅠ(1 min to Da-an MRT,4901847,Come Inn Taipei,,大安區,25.0329,121.54551,Private room,1980,6,6,2016-12-31,0.07,19,0
948342,Staycation- Hidden gem of Taipei city centre,5141964,Matty,,大安區,25.04384,121.54974,Entire home/apt,1247,2,135,2020-08-17,1.48,3,119
954073,GingerKaffe Art Guest House,5181530,Ginger,,大同區,25.05863,121.52013,Private room,757,30,31,2016-12-02,0.33,3,365
962871,台北市中心套房02,5216333,Monroe,,大安區,25.04319,121.5538,Private room,2500,2,1,2018-12-30,0.04,4,365
963051,短期租屋套房.台北101部屋,5247611,Fiona,,大安區,25.03452,121.5566,Private room,1500,2,2,2017-01-05,0.04,4,0
969958,A cozy room at the center of Taipei,1641790,Lyric,,大安區,25.04108,121.53437,Private room,2282,2,5,2016-12-22,0.06,1,362
977515,Dan's House Taipei 101 SOGO Eslite,5348824,Dan,,大安區,25.0442,121.5403,Entire home/apt,750,1,112,2020-09-01,1.19,2,352
983054,602_Apartments for Rent near Academia Sinica,5386798,Jej,,南港區,25.03696,121.61384,Private room,420,5,51,2020-08-14,0.62,3,244
995506,53 Apartmen Suites TAIPEI Station A,5469183,Sansan And JD,,中山區,25.04831,121.52199,Private room,1257,2,141,2020-01-12,1.54,3,275
995592,53 Apartmen Suites TAIPEI Station B,5469183,Sansan And JD,,中山區,25.04849,121.52352,Private room,1100,2,113,2018-08-06,1.21,3,276
996009,Good location near MRT. Cheap price,5471813,Taipei Shelter,,士林區,25.08839,121.52084,Private room,1426,3,6,2013-12-18,0.07,1,365
996564,Cozy room 5 mins Yongchun station,4879448,Toni,,信義區,25.04279,121.5753,Private room,672,2,142,2020-01-27,1.52,1,0
997153,53 Apartmen Suites TAIPEI Station C,5469183,Sansan And JD,,中山區,25.04891,121.52136,Entire home/apt,1507,2,110,2020-11-09,1.64,3,0
1012318,A Modern Beitou Stay with Family,5559414,Ej & Mt,,北投區,25.12462,121.4662,Entire home/apt,6867,1,17,2019-12-13,0.19,3,164
1015088,Zhongxiao Dunhua Studio D near MRT,339014,Lisa,,大安區,25.04082,121.5526,Entire home/apt,1226,30,8,2020-01-19,0.14,5,364
1019509,"MRT Zhongxiao Xinsheng, Najing E",5384732,Kathy,,中山區,25.04911,121.53103,Private room,9000,1,0,,,1,365
1072856,Classic Mini Room,5785514,小公館人文旅舍,,松山區,25.05152,121.56966,Hotel room,2037,1,37,2020-11-12,0.41,11,103
1072857,Chic & Clean for 2 with River view,5785514,小公館人文旅舍,,松山區,25.05159,121.56966,Hotel room,2437,1,28,2020-11-08,0.32,11,119
1088553,Double Room Near Beitou MRT. Original Taipei life.,5981792,Solo Singer,,北投區,25.1331,121.502,Hotel room,3643,1,12,2020-03-16,0.17,5,142
1093787,"〈Mixed Dorm〉Steal your heart, Leave your story",3895592,Homey Hostel,,大同區,25.05106,121.51586,Hotel room,617,1,269,2020-04-25,3.06,9,133
1094125,2 bedroom unit at the HEART of TPE!,51827,Jan,,大安區,25.04246,121.55357,Entire home/apt,4801,3,74,2020-02-01,0.85,16,186
1097851,Studio near MRT City Hall & 101 BLD,6033578,Ck,,信義區,25.04173,121.56663,Entire home/apt,2567,2,236,2020-11-01,2.70,1,336
1108898,Homelike B&B @ Walk to Taipei 101,5689283,Fong-Yu,,信義區,25.04222,121.56389,Private room,1230,2,144,2020-02-04,1.58,2,363
1120179,♥  Spacious Studio  at ♥ of Taipei ♥ sleeps 4,51827,Jan,,大安區,25.04248,121.55443,Entire home/apt,2000,3,68,2020-03-15,0.79,16,247
1120310,Cozy 2 bdrm BEST location ,51827,Jan,,大安區,25.04013,121.55331,Entire home/apt,3800,3,48,2020-01-01,0.57,16,270
1122352,Luxury flat in Taipei with amazing facilities,6157836,Sylvie,,松山區,25.04912,121.55683,Private room,2383,2,67,2020-11-07,0.73,1,281
1259320,Sunlight AnHe 2BR  / next to subway,398519,Shane,,大安區,25.03393,121.55327,Entire home/apt,2865,4,147,2020-11-09,1.63,1,137
1297987,Across from Taipei Main Station!,5992856,John｡Annie,,中正區,25.04607,121.51489,Entire home/apt,1854,3,145,2020-09-06,1.65,1,345
1298771,2 mins walk to 2 MRTs / 步行2分鐘市中心雙捷運/機場直達,7061194,Jenny,,中山區,25.04975,121.54375,Entire home/apt,2086,2,135,2020-02-23,2.21,1,89
1356829,Joy's Apt. 兩房一廳、廚房、衛浴、中信園區及南港軟體園區捷運站旁,943278,Joy,,南港區,25.06093,121.61455,Entire home/apt,1255,29,50,2019-04-07,0.56,2,306
1388948,Taipei101 Songde apartments house,7513408,Travis,,信義區,25.03348,121.57403,Entire home/apt,1583,6,0,,,1,0
1442850,BP Taipei MRT Apartment 2-1,7747610,Mimas,,中山區,25.0587,121.52115,Entire home/apt,1909,3,77,2019-07-04,0.95,4,173
1443041,"Hill Top & Pool, Near Taipei 101",7749648,Alvin,,文山區,25.00979,121.55995,Entire home/apt,3500,10,18,2016-07-31,0.21,1,364
1456893,閣樓小旅店- GingerKaffe Art Guest House,5181530,Ginger,,中山區,25.05769,121.52075,Private room,757,30,7,2016-08-17,0.09,3,365
1521746,G9 Ximen MRT Double room 1:10%discount for 7 days,8122096,G9stay,,萬華區,25.04336,121.50377,Private room,811,2,71,2019-11-17,1.05,8,0
1538197,"MRT Dongmen,Yongkang Street, Loft",7993217,Jacklin,,大安區,25.03414,121.52578,Entire home/apt,2424,2,93,2019-11-30,1.16,1,143
1568217,One Bedroom near MRT and Taipei 101,5664732,J&D,,大安區,25.03118,121.55516,Entire home/apt,2200,21,43,2019-10-24,0.49,1,57
1601077,Luxury view furnished condo in TPE,2780028,Elaine,,北投區,25.15155,121.50379,Entire home/apt,1997,30,12,2017-01-04,0.14,1,153
1610619,SPRING SUITE Apartment,8577376,Sonnia,,北投區,25.13558,121.50903,Entire home/apt,2100,2,42,2020-07-26,0.55,1,350
1618365,Twin Bunk Bed Room@On My Way Taipei Hostel,4717608,On My Way Taipei Hostel,,北投區,25.13406,121.4997,Private room,1457,1,5,2016-01-23,0.06,4,356
1620557,Maison Du Tianmu (suite 45),13286184,慧敏,,士林區,25.11503,121.5295,Entire home/apt,2913,14,48,2020-02-01,0.84,1,364
1625354,MRT(ZhongshanJuniorHighSchool)28T/1two single beds,8642499,Foreverinn,,松山區,25.05978,121.54495,Entire home/apt,1426,1,96,2020-03-25,1.10,10,362
1631691,SUITE Near MRT 3 Minutes by walk 13T5/Double bed,8642499,Foreverinn,,松山區,25.06161,121.54445,Entire home/apt,1426,1,81,2020-09-22,0.92,10,362
1664910,Near MRT Guting station's apartment,8818893,Tzu Hao,,中正區,25.02692,121.51984,Entire home/apt,1800,1,92,2020-10-11,1.08,1,5
1670439,台北Taipei Apt Zhongshan Dist,8843262,Yin,,中山區,25.04862,121.52739,Private room,2037,1,11,2016-02-03,0.13,3,361
1671130,a boutique house in central taipei,8847227,Koma,,中正區,25.04757,121.5149,Entire home/apt,1997,3,330,2020-08-31,4.47,4,0
1673974,質感柚木空間,8847227,Koma,,中正區,25.0457,121.51606,Entire home/apt,1800,5,0,,,4,360
