id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27934,Nice room with superb city view,120437,Nuttee,,Ratchathewi,13.76,100.54269,Entire home/apt,1649,3,65,2020-01-06,0.60,2,362
27942,Town House (1) bedroom available,120462,Donald,,Bangkok Yai,13.73463,100.4754,Private room,901,1,0,,,1,0
27979,"Easy going landlord,easy place",120541,Emy,,Bang Na,13.66746,100.6154,Private room,1141,1,0,,,2,358
28354,Place near Metro and Shopping Mall ( Monthly only),121848,Jaruwan,,Chatu Chak,13.8097,100.56527,Entire home/apt,1049,28,52,2019-12-09,0.41,1,364
28745,modern-style apartment in Bangkok,123784,Familyroom,,Bang Kapi,13.75379,100.62422,Private room,800,60,0,,,1,365
35656,Nice townhouse,153315,Jeeranut,,Khan Na Yao,13.82622,100.6694,Private room,4496,3,0,,,1,0
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,,Din Daeng,13.78827,100.57064,Private room,800,5,1,2016-07-13,0.02,1,365
35807,The escape Condo,153749,Waraporn,,Bang Na,13.67388,100.60905,Private room,1649,1,0,,,1,365
35875,Asoke Place Condo,153966,Siriwan,,Vadhana,13.74296,100.58621,Private room,2998,30,0,,,1,0
36458,Malls*BTS:E10>350m*WiFi*Clean*Flexible*Foods*Safe,153793,Pemika,,Phra Khanong,13.69952,100.60195,Entire home/apt,518,1,48,2019-11-26,1.64,7,0
45859,"Condo near Sathon, BTS & Riverside",204211,Boonfui,,Khlong San,13.71843,100.50781,Entire home/apt,1500,180,0,,,1,363
48736,Condo with Chaopraya River View,222005,Athitaya,,Rat Burana,13.68704,100.49714,Private room,1351,3,1,2014-02-03,0.01,1,0
49372,The Seed Condo,225083,Tao,,Bang Khun thain,13.6249,100.41585,Private room,649,1,0,,,1,0
55681,Sathorn Terrace Apartment(61),263049,Tor,,Bang Rak,13.7197,100.51726,Private room,796,2,27,2019-01-03,0.22,13,180
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,,Bang Rak,13.71924,100.5153,Hotel room,2175,2,208,2019-12-02,1.70,13,0
59221,budget hotel bangkok near subway,284095,Mimi,,Din Daeng,13.7791,100.57352,Entire home/apt,910,2,3,2018-07-30,0.03,2,365
60684,Loog Choob Homestay: A family suite,292635,Sukanya,,Dusit,13.75875,100.515,Private room,4400,1,17,2018-04-23,0.15,6,360
61000,Apt.@Pinklao near shopping mall,294896,Kate,,Bangkok Noi,13.77946,100.47435,Entire home/apt,751,30,1,2011-02-12,0.01,1,365
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,,Phaya Thai,13.7927,100.53968,Private room,3602,1,0,,,1,365
66046,"24Flr- 1br Apt near JJ, MRT, BTS",323158,Sue,,Chatu Chak,13.82298,100.56484,Entire home/apt,1049,2,9,2020-03-04,0.12,4,128
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,,Khlong Toei,13.7343,100.56324,Entire home/apt,4916,28,148,2020-01-07,1.29,1,362
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,,Rat Burana,13.68549,100.49289,Private room,1201,30,0,,,1,365
