id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,30,3,153,2020-10-09,1.69,3,0
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,66,1,143,2020-09-23,1.21,1,365
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,29,21,39,2020-08-28,0.38,1,60
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,,Easton,51.46641,-2.55533,Private room,30,7,21,2020-09-12,0.45,2,180
322906,HUGE Room CENTRAL location House,1156132,,,Ashley,51.46668,-2.58274,Private room,69,2,80,2016-10-27,0.85,2,88
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,,Ashley,51.46661,-2.58709,Private room,418,2,79,2021-02-16,0.73,1,322
390781,Cosy large room near TV studios & Paintworks,1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,28,2,33,2020-10-02,0.30,1,22
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,70,2,61,2020-12-18,0.58,1,61
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.46941,-2.58166,Entire home/apt,93,2,255,2020-09-30,2.35,1,274
421205,The dog lovers haven,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,26,1,154,2020-12-09,1.46,1,249
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,180,2,325,2021-03-13,2.99,2,256
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,43,1,190,2020-03-12,1.79,1,139
753655,Edwardian house in central Bristol,3647954,,,Southville,51.44553,-2.60413,Private room,51,1,269,2020-03-08,2.69,3,147
758894,"Clifton Village, superfast internet, car permits",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,108,3,391,2021-03-13,3.85,1,287
838106,Big double room ensuite bathroom,4379169,Sarah,,Redland,51.47079,-2.59645,Private room,42,2,203,2019-07-19,2.05,2,79
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,22,7,9,2020-03-01,0.25,2,268
870076,Cosy Single Bedroom in Southville,3647954,,,Southville,51.44593,-2.60309,Private room,39,1,159,2020-03-18,1.62,3,110
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,120,2,237,2021-03-12,2.53,2,270
979236,large ensuite with seating area,1156132,,,Ashley,51.46665,-2.58284,Private room,69,1,166,2019-12-08,1.92,2,88
995235,Clifton Towers Bristol B and B,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,49,1,267,2020-11-07,2.98,1,364
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,37,2,309,2020-03-11,3.19,2,254
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,Maggie,,Easton,51.46907,-2.56077,Private room,28,1,399,2020-10-27,4.18,3,6
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,Maggie,,Easton,51.46922,-2.56105,Private room,27,1,353,2020-10-27,3.73,3,0
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,35,3,71,2020-04-02,0.75,2,168
1180148,"Large, comfortable, elegant and quiet room",6456324,Gavin,,Knowle,51.43859,-2.56536,Private room,41,1,14,2020-10-16,0.15,2,0
1182074,Kingsize bed room in Shirehampton,6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,25,1,16,2021-03-06,1.09,2,321
1260621,Quiet Double With Ensuite In An Old Jeweller Shop,6865698,Kirsty,,Ashley,51.46465,-2.58947,Private room,30,2,218,2020-03-17,2.46,2,286
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45952,-2.57379,Private room,36,2,196,2020-03-22,2.11,1,170
1337681,Stylish Family Home in Amazing Location,7254449,Tamsin,,Stoke Bishop,51.47366,-2.63905,Entire home/apt,600,7,15,2020-02-22,0.16,2,255
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47371,-2.54602,Private room,20,20,15,2020-11-15,0.16,2,364
1509615,Amazing location centre of Bristol,7607380,Jerry And Jacqui,,Hotwells & Harbourside,51.44786,-2.60234,Private room,50,1,550,2020-10-31,5.98,3,364
1623879,Homestay - Single Room in Bristol,8635028,John,,Henbury & Brentry,51.51255,-2.60012,Private room,22,3,130,2020-10-02,1.42,1,336
1906645,"Sunny, stylish home-great location- Free Parking",9487977,Abi,,Cotham,51.46669,-2.59684,Entire home/apt,100,2,39,2020-10-05,0.70,2,54
2164660,Lovely light attic room,5905890,Stella,,Easton,51.46988,-2.56336,Private room,30,1,184,2021-01-13,2.20,2,167
2235568,A Cool Place in Montpelier !,11413122,Tony,,Ashley,51.46774,-2.58777,Private room,32,2,256,2020-10-10,2.99,3,100
2404407,Brooklyn-Style Art Loft With Balcony & Free Prk,11141720,Mike And Phil,,Brislington West,51.44337,-2.56794,Entire home/apt,195,2,89,2020-08-27,1.04,5,33
2446524,A home away from home!,12510269,Namrata,,Clifton,51.46097,-2.62344,Private room,35,1,17,2020-10-20,0.40,2,324
2523293,A stay in a home from home!,12510269,Namrata,,Clifton,51.46098,-2.62405,Private room,32,1,115,2020-11-08,1.38,2,353
2548956,"Huge, bright, spacious double room",13019736,Jody,,Southmead,51.50372,-2.59014,Private room,32,1,262,2020-10-29,5.21,2,0
2655363,Comfortable home in central Bristol,3647954,,,Southville,51.4463,-2.60346,Entire home/apt,80,2,6,2020-10-19,0.73,3,1
2780689,"Comfortable, light single room",5905890,Stella,,Easton,51.47066,-2.56357,Private room,25,1,260,2020-09-17,3.11,2,3
2819807,Small bright room in Clifton,14425470,Nuccia,,Clifton,51.45851,-2.62321,Private room,29,2,299,2020-03-12,3.58,1,2
3118604,Quiet Modern Flat 5 mins from Temple Meads,15845284,Sam,,Lawrence Hill,51.45276,-2.57911,Entire home/apt,45,1,233,2021-03-19,3.27,1,154
3365141,Quiet + large ensuite double room,7588995,Olivia,,Ashley,51.46816,-2.58244,Private room,40,1,333,2020-11-04,4.05,1,365
3457246,lovely single room in quiet house,17422981,Kath,,Stockwood,51.41205,-2.55552,Private room,20,90,35,2020-12-31,0.43,1,232
3468287,Double-bedroom to rent near city centre,17474076,Monica,,Lawrence Hill,51.46052,-2.56626,Private room,18,90,87,2020-03-29,1.29,1,288
3490531,Modern Clifton Town House,650181,Jeremy,,Clifton Down,51.46692,-2.60854,Private room,44,3,12,2020-11-01,0.15,1,79
3490779,"Lovely large, quiet, clean room, Double Bed, sofa",487598,Maggie,,Easton,51.46796,-2.56088,Private room,29,1,294,2020-03-23,3.58,3,0
3635586,"Bright and airy 1-bed flat, nr Clifton & BBC",18332468,Zanna,,Clifton Down,51.46653,-2.61032,Entire home/apt,89,1,75,2021-02-15,0.94,1,0
3766960,✓Walk Score 78✓6 Parking✓Garden✓King Bed✓Sun Patio,19298185,Roz,,Brislington West,51.43744,-2.55731,Entire home/apt,170,3,56,2021-02-11,0.85,1,148
3788534,"Light, airy single room. 10mins walk from Centre.",19228735,Jude,,Southville,51.44525,-2.60523,Private room,30,2,152,2020-03-13,1.93,1,154
3879902,Tranquil City Centre Double Room,5687726,Joanne,,Lawrence Hill,51.46306,-2.57796,Private room,46,2,135,2019-12-15,1.68,2,352
3906876,Luxury Harbour Side Apartment,20235167,Robert,,Hotwells & Harbourside,51.44923,-2.60908,Entire home/apt,232,2,38,2020-10-05,0.49,1,365
3960179,FABULOUS!!!,20522861,Peter,,Avonmouth & Lawrence Weston,51.49699,-2.6466,Entire home/apt,110,1,1,2016-04-27,0.02,2,365
