id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95689,-3.18768,Entire home/apt,95,3,335,2020-09-07,2.84,1,315
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,60,4,56,2020-09-04,0.73,2,324
44009,"Very Spacious, Well Lit, Double Room, Very Central",192586,Puneet,,Marchmont East and Sciennes,55.93812,-3.19423,Private room,45,2,38,2013-08-23,0.31,1,79
54188,The Four Sisters Boatel,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,164,1,29,2019-10-23,0.30,1,311
55881,Lovely central apartment sleeps 6,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,139,2,249,2020-08-22,2.17,1,287
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Deans Village,55.95471,-3.21612,Entire home/apt,176,3,120,2020-08-31,3.40,4,0
74877,Stunning One Bedroom Loft Apartment With Balcony,394949,Derek,,North Leith and Newhaven,55.97738,-3.18064,Entire home/apt,74,4,96,2020-09-04,0.90,1,208
85620,Rustic Urban Retreat in City View Flat,334208,Carrie,,Leith (Albert Street),55.96252,-3.17595,Entire home/apt,67,2,453,2020-09-19,4.03,1,303
93904,Central Ensuite Room +Hot Breakfast,502783,Brett,,Deans Village,55.94571,-3.2189,Private room,55,1,480,2020-09-13,4.21,1,339
97472,"PERFECT LOCATION,FREE PARKING,WIFI",486859,Alan,,Merchiston and Greenhill,55.93051,-3.21063,Entire home/apt,83,17,33,2019-09-13,0.30,1,275
112625,"Epicurean Clerk  - Huge, Central!",574430,Michele,,Meadows and Southside,55.93927,-3.18031,Entire home/apt,261,2,114,2020-01-08,1.02,1,3
118314,Vibrant Cottage-style Flat in Leith Links,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96802,-3.1618,Entire home/apt,71,2,185,2020-03-15,1.63,2,106
122930,Explore the Royal Mile from a City View Apartment,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,71,2,669,2020-09-14,6.11,1,331
138010,Stylish Castle View Apartment,199204,Fleur,,"Old Town, Princes Street and Leith Street",55.94691,-3.19713,Entire home/apt,84,2,529,2020-09-01,4.70,1,278
143047,Luxurious for 4 in Great Location,694281,Paul,,Hillside and Calton Hill,55.95863,-3.17763,Entire home/apt,180,2,15,2019-08-24,0.14,1,351
163870,"Stunning 2 bedroom flat @ the Shore, free parking",129153119,Anne,,The Shore and Constitution Street,55.97721,-3.16887,Entire home/apt,60,3,115,2020-09-16,1.04,1,273
170756,Guest-room in Central Penthouse,278168,Maureen,,Dalry and Fountainbridge,55.9449,-3.21122,Private room,50,2,348,2020-09-01,3.17,1,40
177944,Nice Central Double room incl. Breakfast,851172,Zeb David,,Easter Road and Hawkhill Avenue,55.96106,-3.17202,Private room,51,1,26,2017-09-03,0.23,6,364
178890,1 bedroom flat.,856417,Marcin,,Tollcross,55.94634,-3.20262,Entire home/apt,71,2,33,2020-01-01,0.30,1,40
180429,Bright Central Double room incl. Breakfast,851172,Zeb David,,Leith (Albert Street),55.96213,-3.17144,Private room,61,1,54,2019-09-15,0.49,6,365
185514,Exclusive & spacious apartment in a great location,827146,Rona,,Murrayfield and Ravelston,55.94603,-3.24251,Entire home/apt,99,2,150,2020-08-06,1.37,2,113
186691,Double Room Edinburgh City Centre,897409,Roman,,New Town West,55.95589,-3.20701,Private room,62,2,8,2014-10-26,0.08,2,231
197220,1 bedroom flat in a great location,960760,Carl,,Marchmont East and Sciennes,55.93826,-3.188,Private room,85,1,1,2012-01-03,0.01,1,0
214571,Awesome location on High Street,1107698,Michael,,"Old Town, Princes Street and Leith Street",55.95015,-3.18846,Entire home/apt,200,2,230,2020-08-03,2.40,1,0
216245,"Luxury, City Centre, Free Parking & Wifi - T",173941,Neil,,Dalry and Fountainbridge,55.94352,-3.21999,Entire home/apt,185,2,29,2020-01-14,0.29,5,258
