id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,179,7,24,2019-03-16,0.17,3,129
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27577,-97.71379,Private room,114,30,9,2018-03-14,0.06,3,0
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,536,2020-10-11,3.79,1,360
5636,"Soco, Barton Springs Private Guest Cottage",7148,Peggy,,78704,30.2463,-97.76361,Entire home/apt,46,30,20,2012-05-24,0.14,2,85
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,39,1,257,2019-11-03,2.00,1,78
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,30,113,2020-09-30,0.86,1,34
6448,Secluded Studio at Barton Springs,14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,139,3,232,2020-07-12,2.09,2,218
21126,Quiet Mid Century Modern Retreat with Patio and Yard.,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,205,1,108,2020-10-05,1.15,11,112
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,10,2020-08-03,0.08,1,299
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,50,31,37,2019-08-15,0.29,1,312
22982,Private Clarksville 2-1,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,125,2,164,2020-03-08,1.27,1,0
25028,Lovely Central Austin Bungalow & Studio,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,117,7,34,2020-08-08,0.27,1,161
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.07,1,292
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,38,30,38,2020-02-29,0.58,1,294
39993,Tiny Tarrytown Apartment,210965,Susan,,78703,30.29923,-97.77789,Entire home/apt,53,2,158,2020-03-15,1.96,2,16
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,30,2019-09-08,0.26,1,310
46929,Sunny Central Austin Apartment,210965,Susan,,78703,30.29923,-97.77789,Entire home/apt,89,2,378,2020-03-12,3.10,2,16
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37641,-97.70926,Private room,34,30,4,2020-09-23,0.21,1,338
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,117,30,30,2019-11-04,0.25,2,328
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,150,2,174,2020-08-30,1.49,2,71
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,83,1,689,2020-10-18,5.77,2,356
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31171,-97.72455,Entire home/apt,53,2,503,2020-09-24,4.24,1,2
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.2607,-97.77194,Entire home/apt,263,2,111,2020-09-06,0.96,2,319
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25775,-97.76354,Entire home/apt,159,2,390,2018-05-24,3.34,2,138
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.23152,-97.76434,Entire home/apt,190,2,441,2020-03-14,3.76,1,0
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23616,-97.76446,Entire home/apt,225,2,30,2020-07-05,0.80,1,90
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24501,-97.74986,Entire home/apt,150,2,143,2020-08-30,1.22,2,71
72318,"Private, Super Cool, and very Close In",374529,Alyson & Max,,78704,30.2532,-97.77891,Private room,225,3,38,2018-10-15,0.33,4,0
72633,Architect Designed - Great Location,377037,Becca,,78704,30.24604,-97.75329,Entire home/apt,470,2,40,2019-10-07,0.34,1,363
72833,Detached Central Cottage with Bikes!,378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,85,3,352,2020-10-12,3.01,1,290
72876,10 Minutes to Apple and eBay,379080,Becky,,78729,30.44755,-97.76115,Private room,49,3,17,2020-03-15,1.12,1,0
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41519,-97.73019,Entire home/apt,210,2,26,2020-09-07,0.22,1,329
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.28985,-97.7451,Entire home/apt,112,30,47,2020-07-08,0.40,2,333
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24422,-97.77885,Entire home/apt,93,2,209,2020-10-18,1.80,1,320
75174,South Shore Condo on Lady Bird Lake,393905,David,,78702,30.24773,-97.72584,Entire home/apt,125,2,270,2020-10-04,2.31,2,200
75957,Clean Cottage Apt In Tarrytown for work or live,404260,Kelly,,78703,30.29187,-97.76824,Entire home/apt,100,2,309,2020-10-11,2.64,2,336
76497,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,177441,Ash,,78703,30.27577,-97.75608,Entire home/apt,174,2,203,2020-10-04,1.74,2,343
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29138,-97.71907,Entire home/apt,100,2,178,2020-10-11,1.52,1,124
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Peter,,78702,30.26775,-97.72695,Entire home/apt,588,2,142,2020-08-29,2.11,1,0
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25513,-97.72583,Entire home/apt,400,2,16,2019-05-27,0.14,1,0
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,80,20,41,2020-08-06,0.35,1,203
77635,"Retro 60's Home,Walk to Zilker,Yard",416628,Carlos,,78704,30.25177,-97.77888,Entire home/apt,175,2,16,2020-08-29,0.16,2,295
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25176,-97.78021,Entire home/apt,149,2,22,2020-06-16,0.30,2,205
77998,Beautiful Home on Austin Greenbelt near Downtown,419006,Jordan,,78725,30.25923,-97.66815,Entire home/apt,190,2,4,2020-09-13,0.06,1,0
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25625,-97.76766,Entire home/apt,750,3,90,2020-04-23,2.04,1,17
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.2752,-97.74863,Entire home/apt,240,1,6,2019-05-26,0.05,3,0
