id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,28,16,2019-12-21,0.27,1,97
5506,**$49 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,107,2020-05-01,0.78,6,333
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-02,0.87,6,317
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,91,25,2020-04-15,0.35,8,365
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,91,32,2020-04-16,0.25,8,282
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,150,28,80,2020-03-08,2.57,11,0
10986,Waterfront/North End Furnished Large Studio Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,150,28,2,2016-05-23,0.04,11,364
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.3581,-71.07132,Private room,50,91,0,,,1,365
18711,The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,128,32,52,2019-10-05,0.42,39,330
22195,Copley House - Premium Studio,85130,Copley,,Back Bay,42.34558,-71.0793,Private room,115,1,21,2020-02-08,0.17,6,286
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,316,2019-12-13,2.93,5,90
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,221,2,93,2018-10-21,0.76,2,310
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,28,76,2020-05-18,0.64,1,305
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,130,2019-12-10,1.09,1,89
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584,-71.08927,Private room,75,2,141,2019-08-13,1.23,5,86
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,32,18,2018-11-05,0.22,8,275
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,110,32,44,2019-10-30,0.48,8,365
