id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,150,2,36,2020-07-11,0.25,2,57
11169,"Lovely Studio Room: Thu-Mons, Near Universities",40965,Judy,,North Cambridge,42.39469,-71.13223,Private room,112,2,145,2020-01-17,1.09,3,364
11945,Near Harvard: Safe & Lovely Room,40965,Judy,,North Cambridge,42.39454,-71.13431,Private room,82,3,34,2020-02-26,0.25,3,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,98,4,6,2018-08-04,0.04,3,365
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,110,2,86,2020-03-15,0.80,1,336
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.37606,-71.14041,Private room,110,2,178,2020-01-08,1.36,1,365
26531,CENTRAL LOCATION IN HEART OF CAMBRIDGE,87398,Ari,,Riverside,42.3719,-71.11569,Entire home/apt,200,91,4,2018-11-04,0.03,2,365
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,123,5,11,2019-09-15,0.09,3,365
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,250,3,352,2020-11-23,2.95,2,353
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,138,5,15,2019-08-24,0.13,3,365
108898,"""The Treehouse"" :  Elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,180,1,20,2020-08-15,0.17,2,287
219471,"A+ Clean & Safe 1Br @ MIT, Kendall, Back Bay",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,198,10,59,2019-11-10,0.53,1,334
326170,Two-room suite near Harvard Univ. with parking,1665697,Nadine And Bernd,,Agassiz,42.38247,-71.11403,Entire home/apt,80,1,224,2019-12-26,2.03,1,0
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Mid-Cambridge,42.37125,-71.11105,Entire home/apt,165,31,54,2020-03-01,0.50,1,334
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37363,-71.08909,Entire home/apt,325,3,49,2019-08-18,0.46,2,27
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca & Richard,,North Cambridge,42.39475,-71.12548,Entire home/apt,350,60,256,2020-11-22,2.42,1,262
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36598,-71.09909,Private room,36,5,134,2021-02-25,1.27,4,0
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37074,-71.07722,Private room,180,91,14,2015-05-28,0.14,1,1
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate & Andy,,North Cambridge,42.3942,-71.13202,Entire home/apt,189,2,254,2020-03-16,2.48,1,167
742574,See Yourself in Central Square,1152305,Greg,,Cambridgeport,42.36486,-71.10328,Entire home/apt,150,30,126,2020-05-16,1.27,3,101
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38391,-71.11449,Private room,70,1,437,2020-03-11,4.56,1,121
