id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,100,1,407,2020-11-06,3.67,3,138
543140,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,24,3,98,2020-07-27,0.97,3,266
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,80,2,225,2020-10-25,2.23,1,364
681145,2 bed/Safe/Quiet/Clean/Ample Parking/OSU/Laundry,3468444,Vicki,,Near North/University,40.01898,-83.00067,Entire home/apt,115,2,132,2020-08-04,1.34,2,75
923248,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,40,1,222,2020-09-28,2.36,9,355
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,67,1,45,2020-07-31,0.51,9,354
1217678,Comfortable rooms in Clintonville 1,5707733,Russell,,Clintonville,40.03828,-83.01838,Private room,75,1,166,2020-10-18,1.85,2,365
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,209,7,136,2020-09-30,1.54,1,333
1336145,Comfortable rooms in Clintonville 2,5707733,Russell,,Clintonville,40.03689,-83.0183,Private room,75,1,131,2020-07-25,1.49,2,365
1520102,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,38,1,45,2020-09-27,0.55,9,259
1763836,Charming 1BR Clintonville Apt (2-mo. min. rental),7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,55,60,80,2020-04-05,0.93,3,319
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,2,30,2020-10-31,0.36,3,280
