id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
61878,MODERN LIVING AND FURNISHINGS,300211,Rita,,District 2,32.81829,-96.81893,Entire home/apt,71,30,38,2020-12-19,0.31,1,324
247794,Private Room in North Dallas,78344,J. Yuriko,,District 10,32.88846,-96.71016,Private room,57,2,0,,,1,327
270936,1BR 1BA Oaklawn Condo Close to Downtown & Uptown,1417982,Robert,,District 14,32.81442,-96.81548,Entire home/apt,75,30,42,2020-11-07,0.61,1,68
776810,Goldies Bohemian Loft,4096626,Eric,,District 2,32.81304,-96.8154,Entire home/apt,75,5,29,2020-03-26,0.29,1,328
795703,Amazing location walk to Downtown Dallas,4191322,Michelle,,District 14,32.80158,-96.81117,Entire home/apt,169,30,68,2020-10-23,0.69,1,250
826118,Far North Dallas -- Blue Room,804559,Rod,,District 12,32.98769,-96.78918,Private room,55,2,15,2020-03-02,0.22,3,266
826178,Far North Dallas -- Orange Room,804559,Rod,,District 12,32.98691,-96.78981,Private room,40,2,23,2020-01-31,0.25,3,1
826201,Far North Dallas -- Gray Room,804559,Rod,,District 12,32.98709,-96.78789,Private room,50,2,17,2019-08-10,0.18,3,236
860248,Dallas Home By the Lake: SafeCozy Monthly discount,4505460,Judy,,District 9,32.85521,-96.70482,Private room,36,30,28,2020-12-06,0.51,3,354
885363,East Dallas near White Rock Lake,2096098,Marco,,District 9,32.85809,-96.68993,Entire home/apt,380,3,92,2020-12-15,1.19,1,360
1056850,1928 VINTAGE OAK LAWN APTS SUITE 1,5821283,Kathy,,District 14,32.82057,-96.80932,Entire home/apt,85,2,121,2020-10-23,1.63,3,327
1154424,"Uptown, Charming Studio 1B, WiFi Parking Wow Local",6063232,Joan,,District 14,32.81838,-96.78906,Entire home/apt,82,3,85,2021-01-17,0.90,12,339
1158488,Cozy 1BD in Lower Greenville Ave,5037857,Marie,,District 14,32.81696,-96.76733,Entire home/apt,99,3,166,2021-01-08,1.77,1,357
1223427,"Bright Studio 1A, Free  WiFi Parking Cable & Shop",6063232,Joan,,District 14,32.81786,-96.79067,Entire home/apt,82,3,88,2018-10-01,0.94,12,358
1277933,The Santa Fe Suite and Maxfield Parrish Suite,6904484,C. F. Sandy,,District 11,32.92532,-96.79028,Private room,65,1,32,2019-11-09,0.68,1,266
1404108,Beautifully Furnished in Addison,5881933,NatalieandItamar,,District 11,32.95427,-96.79965,Entire home/apt,62,30,3,2017-04-17,0.05,9,83
1455406,Beautifully Furnished Condo-Addison,5881933,NatalieandItamar,,District 11,32.95344,-96.79973,Entire home/apt,79,23,10,2020-12-10,0.18,9,304
1479800,Sunny/MStreet/SMU/Trendy Greenville/Private Bath,3809024,Holly,,District 14,32.83141,-96.76348,Private room,70,2,96,2020-09-27,1.05,3,365
1488809,Vintage House Near Center of Dallas,7961670,Jill,,District 1,32.74605,-96.83386,Private room,50,1,648,2021-02-17,7.18,1,365
1507428,"Uptown – Warm Studio  #8, Free WiFi Parking Cable",6063232,Joan,,District 14,32.81944,-96.79015,Entire home/apt,71,3,57,2020-02-13,0.63,12,345
1636518,Private Suite in University Park 1 block from SMU,8691584,Barbara,,District 14,32.84309,-96.77801,Private room,70,2,106,2020-02-27,1.19,1,309
1774599,White Rock Lake Apartment Condo,3932821,Greg,,District 2,32.80869,-96.73121,Entire home/apt,40,24,48,2019-03-09,0.54,1,58
1815455,1 or 2 BDRM/BATH IN Uptown Luxury CONDO,6422819,Olivia,,District 14,32.80717,-96.80549,Private room,106,1,7,2018-01-19,0.10,1,362
1826550,Private Room in Downtown Townhouse,9557710,Jeff,,District 2,32.77926,-96.79215,Private room,73,1,440,2021-02-08,4.98,2,176
1832427,Beautiful 3BR Downtown Townhome,9557710,Jeff,,District 2,32.77805,-96.79362,Entire home/apt,319,2,101,2021-02-14,1.18,2,233
1856710,Sunny Bedroom/MStreet/SMU/Trendy Greenville Ave,3809024,Holly,,District 14,32.83464,-96.774,Private room,70,2,35,2020-03-29,0.40,3,269
2072001,"1 bed Room, 1 Bathroom furnished for rent",10184425,Sara,,District 11,32.96448,-96.81816,Entire home/apt,75,120,0,,,1,365
2082487,"Uptown Spacious Studio #2, Free WiFi Parking Cable",6063232,Joan,,District 14,32.82135,-96.78928,Entire home/apt,82,3,56,2019-12-01,0.64,12,346
2096999,Heart of Big D-Home Away from Home,10696583,Tom & Cyndi,,District 6,32.87546,-96.85596,Entire home/apt,96,7,133,2020-12-31,1.53,2,350
2120481,"Colorful, Contemporary Oak Lawn Townhouse With Worldly Decor",10812966,Craig,,District 2,32.80787,-96.812,Private room,95,1,418,2020-08-19,4.96,1,52
2169463,The French House,11067935,Thierry,,District 13,32.90007,-96.84855,Private room,85,1,26,2020-10-23,0.31,1,365
2298612,Uptown - Walk to Everything,11740756,Jeff,,District 14,32.80432,-96.80247,Entire home/apt,108,2,210,2021-02-07,3.50,1,342
2470835,Beautifully Furnished Condo-Addison,5881933,NatalieandItamar,,District 11,32.95497,-96.80233,Entire home/apt,89,30,16,2020-10-24,0.19,9,325
2509762,One bedroom with private Bath,885061,Roberto,,District 7,32.79983,-96.70278,Private room,39,3,6,2019-05-10,0.14,5,38
2537593,Victor's Old East Dallas Bedroom,12993311,Jan,,District 2,32.79883,-96.75814,Private room,50,5,45,2021-01-31,0.54,4,310
2707172,"Queen, Walk in Shower-TV-- Internet",12321313,Judith,,District 12,32.99246,-96.83539,Private room,78,1,11,2020-10-31,0.16,2,365
2762537,Safe Uptown Studio 7A Clean Comfy Private Entrance,6063232,Joan,,District 14,32.81967,-96.79046,Entire home/apt,82,3,73,2019-10-07,0.88,12,365
2800000,real Bohemian NYC-style Art loft!,7173761,Fred,,District 7,32.77945,-96.76949,Private room,159,1,280,2020-10-24,5.30,2,180
2843930,Sunny/Quiet/MStreet/SMU/Trendy GreenvilleAve,3809024,Holly,,District 14,32.83368,-96.77316,Private room,70,2,25,2019-09-07,0.32,3,331
2888879,2 bf 1 bath - University Park Home,10667067,Jj,,District 12,32.99392,-96.87089,Entire home/apt,500,1,1,2015-07-27,0.01,1,1
2958951,"Beautiful 2-BR/BA House, close  to downtown.",885061,Roberto,,District 14,32.79453,-96.78635,Entire home/apt,85,5,22,2021-01-12,0.27,5,96
2967263,Amber's first floor bedroom,12993311,Jan,,District 2,32.79894,-96.75947,Private room,50,5,31,2020-12-05,0.40,4,331
2985692,"Uptown - 1 bd #6, WiFi, Parking, Great Location",6063232,Joan,,District 14,32.82023,-96.78964,Entire home/apt,99,3,52,2020-11-04,0.63,12,361
3003479,Amazing 2 Bedroom Near Uptown!!!,11801188,Rc,,District 2,32.80763,-96.81668,Entire home/apt,140,2,267,2021-02-08,3.40,4,327
3143997,Queen Size Suite Mid Town Dallas Private Home,15962199,Teena,,District 13,32.92599,-96.82753,Private room,43,3,51,2020-11-09,1.06,1,82
3199397,European Touch near White Rock Lake,16213597,Alicia,,District 9,32.82059,-96.70947,Private room,65,2,36,2018-06-04,0.44,1,93
3230663,Lone Star Darling,413304,Debbie,,District 1,32.74546,-96.85678,Entire home/apt,87,3,69,2021-02-01,1.12,1,54
3401228,Artist Ranchette in Bishop Arts District Dallas,104258,Julie,,District 1,32.74835,-96.83162,Entire home/apt,148,2,178,2020-12-13,3.36,1,22
3463371,"Uptown – Large 1 bd #1, Free WiFi Parking Cable",6063232,Joan,,District 14,32.81806,-96.78965,Entire home/apt,99,3,32,2020-12-02,0.41,12,352
3560032,Cozy Mattress in Dallas,10493164,Riji,,District 10,32.91039,-96.74912,Private room,60,1,0,,,1,365
3622697,Dallas M Streets Apartment,14949514,Karen,,District 14,32.8335,-96.77139,Entire home/apt,75,1,265,2021-02-14,4.89,1,333
3676585,Charming 'M Streets' Guest Cottage,6324192,Amy,,District 14,32.82883,-96.76769,Entire home/apt,97,2,251,2020-12-20,3.16,1,355
3829594,MELROSE PLACE IN UPTOWN DALLAS 2BD,17424986,Naveed,,District 14,32.8177,-96.79286,Entire home/apt,69,30,19,2018-12-08,0.24,1,359
4098495,Private Room & Bath in Oak Cliff,21257246,John,,District 1,32.7319,-96.8335,Private room,70,1,40,2020-03-01,0.51,1,266
4110844,"Bedroom w/Balcony--Walk in closet,",12321313,Judith,,District 12,32.99222,-96.83575,Private room,80,1,9,2020-09-04,0.12,2,364
4172233,Craftsman in North Oak Cliff,15695797,Keane,,District 1,32.73034,-96.84112,Entire home/apt,82,2,239,2020-08-24,3.06,1,270
