id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Washington Virginia Vale,39.69753,-104.92588,Entire home/apt,68,1,79,2020-10-19,1.56,1,0
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76703,-105.00256,Entire home/apt,135,3,127,2020-10-14,4.71,2,54
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76551,-104.97902,Entire home/apt,179,185,87,2016-04-26,0.62,1,363
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75361,-104.91237,Private room,54,1,608,2020-09-01,4.31,2,0
592,private,933,Jill,,North Park Hill,39.75438,-104.91156,Private room,45,4,160,2020-09-14,1.31,2,0
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74503,-104.97756,Private room,33,30,260,2020-03-04,15.98,1,0
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981,-104.99649,Entire home/apt,90,1,54,2020-09-08,1.18,1,205
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,85,4,75,2020-10-06,0.61,1,358
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588,-105.00545,Entire home/apt,120,25,620,2020-10-04,4.98,2,52
74125,"Spacious, Sanitized Condo (built in 1889) w/ yards",385864,Joe,,Capitol Hill,39.73276,-104.98035,Entire home/apt,117,3,116,2020-05-27,1.03,1,90
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66787,-104.98969,Entire home/apt,77,3,172,2020-08-25,1.47,1,263
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.74955,-104.93239,Private room,97,1,203,2020-09-25,1.89,3,85
