id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5269,Upcountry Hospitality in the 'Auwai Suite,7620,Lea & Pat,Hawaii,South Kohala,20.0274,-155.702,Entire home/apt,150,3,11,2021-01-02,0.09,4,281
5387,Hale Koa Studio & 1 Bedroom Units!!,7878,Edward,Hawaii,South Kona,19.43119,-155.88079,Entire home/apt,85,5,168,2020-03-18,1.25,3,272
5389,Keauhou Villa,7878,Edward,Hawaii,North Kona,19.56413,-155.96347,Entire home/apt,239,6,23,2021-01-16,0.26,3,203
5434,Kauai  Ocean View 3 Story Tiki Tower Princeville,7984,Ahlea,Kauai,North Shore Kauai,22.21972,-159.46958,Entire home/apt,295,2,109,2020-12-12,0.78,2,274
7896,"Beachfront Maui Sunset Condo, Kihei/Wailea",21844,Caroline,Maui,Kihei-Makena,20.7547,-156.45666,Entire home/apt,212,4,28,2018-05-11,0.22,1,293
8833,Stay in the Heart of Kona,21349,Noah,Hawaii,North Kona,19.60709,-155.97424,Entire home/apt,98,3,230,2020-07-09,1.79,1,129
9877,Keolamauloa Homestead,33179,Kaye,Hawaii,Hamakua,20.02889,-155.40747,Entire home/apt,120,3,28,2020-02-03,0.46,1,195
13238,Studio On Princeville  Golf Course / Paniolo Condo,51647,Annie/Greg,Kauai,North Shore Kauai,22.21961,-159.46998,Entire home/apt,129,3,113,2020-11-30,1.42,2,257
13523,"All Inclusive that has it all, Sleeps 8, Hot Tub",52931,Mark,Honolulu,Koolaupoko,21.3393,-157.70216,Entire home/apt,250,30,24,2020-03-01,0.40,8,204
13527,Romantic Ocean Front,52967,Beth,Hawaii,North Kona,19.61421,-155.98302,Entire home/apt,169,7,7,2020-01-06,0.14,1,173
13653,Ocean View Jacuzzi suite - 5min walk to Beach,53489,Maui Garden Oasis,Maui,Lahaina,20.90087,-156.68327,Private room,218,3,102,2020-11-21,1.96,7,284
13688,Oceanfront Bali House w/ Hot tub @ Kehena Beach,53657,Iliahi J.,Hawaii,Puna,19.39402,-154.9306,Entire home/apt,199,3,134,2021-02-08,1.03,2,144
13799,Luana Kai Oceanfront Condo by Owner,54237,Donald,Maui,Kihei-Makena,20.75874,-156.4567,Entire home/apt,129,2,131,2021-01-18,1.02,1,150
13900,Main Lodge at Hawaiian Retreat,54663,Janelle,Hawaii,Puna,19.52052,-154.84522,Entire home/apt,75,3,112,2021-01-24,1.47,5,287
13901,Nature Cottage at Hawaiian Retreat,54663,Janelle,Hawaii,Puna,19.52348,-154.84686,Entire home/apt,55,3,148,2021-01-12,1.96,5,327
13933,Volcano Forest Escape 3BDRM Rental House,54814,Greg,Hawaii,Puna,19.43448,-155.22177,Entire home/apt,204,1,46,2020-12-31,0.82,1,0
14512,Princeville AC &AIR PURIF Unobstructed Ocean front,53363,Tarek,Kauai,North Shore Kauai,22.22291,-159.49495,Entire home/apt,250,3,4,2019-08-13,0.03,4,251
14513,Princeville AC &AIR PURIF Unobstructed Ocean front,53363,Tarek,Kauai,North Shore Kauai,22.22291,-159.49495,Entire home/apt,525,3,9,2020-11-13,0.07,4,221
14514,Poipu AC Gorgeous Ocean Front Condo,53363,Tarek,Kauai,Koloa-Poipu,21.87066,-159.44809,Entire home/apt,525,3,26,2020-03-23,0.25,4,273
15648,Cute Hale Sugar Shack 2,12729,Kelly,Hawaii,South Kona,19.45944,-155.88244,Entire home/apt,118,7,65,2021-01-15,0.54,3,207
15757,STEPS TO THE BEACH 1 BEDROOM CONDO,61673,Sofia,Maui,Lahaina,20.95466,-156.68706,Entire home/apt,145,3,208,2021-02-01,1.65,1,273
