id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,82,3,10,2019-10-12,0.08,2,364
63282,"2bed/2bath,furnished,doorman, by NY",304762,Gil,,Ward B (councilmember Mira Prinz-Arey),40.72813,-74.07037,Entire home/apt,2000,150,0,,,1,0
146144,Shared Room,266070,Patricia,,Ward E (councilmember James Solomon),40.71077,-74.03833,Shared room,200,2,0,,,1,0
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,106,6,127,2021-01-09,1.10,1,365
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,84,2,354,2021-01-03,3.14,7,0
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,38,3,221,2020-11-13,1.97,7,361
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,59,2,257,2020-10-24,2.38,7,362
309274,"Industrial Modern, Homey Studio 10 minutes to NYC.",1532691,Damon,,Ward E (councilmember James Solomon),40.72196,-74.0485,Entire home/apt,90,28,6,2017-09-21,0.14,1,83
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,139,28,55,2020-05-01,0.52,1,365
526615,"2 bedroom, minutes from bus stop to journal sq",2588186,Massimo,,Ward A (councilmember Denise Ridley),40.70552,-74.0969,Entire home/apt,59,31,4,2020-01-02,0.05,4,260
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,70,3,119,2021-01-05,1.22,1,260
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,48,9,18,2020-11-30,0.34,3,201
949440,"Bright Garden Studio loft, 15 minutes to NYC",3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72717,-74.06368,Entire home/apt,90,28,46,2021-01-24,0.50,1,252
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,61,6,232,2021-02-01,2.40,2,166
999808,Huge Luxury Loft Share Downtown JC,972698,Neelum,,Ward F (councilmember Jermaine D. Robinson),40.71714,-74.0491,Private room,90,3,15,2018-11-08,0.16,1,0
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,100,60,9,2020-10-20,0.11,1,274
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,47,2,217,2020-10-26,2.32,7,362
1282198,(4) 24/7 Train Station 10 mins Ride to Manhattan,189095873,M,,Ward C (councilmember Richard Boggiano),40.7294,-74.06896,Private room,53,5,73,2019-12-30,0.79,4,365
1689068,Modern Artist loft in Jersey City - minutes to NYC,995128,Peter,,Ward D (councilmember Michael Yun),40.74235,-74.04666,Entire home/apt,175,30,1,2019-11-07,0.06,1,174
1767237,DHS at Paulus Hook 1 BR - Royal,291908,Dharma,,Ward E (councilmember James Solomon),40.71578,-74.03588,Entire home/apt,300,3,3,2017-12-15,0.04,18,32
1768211,Dharma Jersey City Paulus Hook P2BR Lime,291908,Dharma,,Ward E (councilmember James Solomon),40.7147,-74.03587,Entire home/apt,375,3,30,2018-09-11,0.35,18,33
1772623,Suite with Statue of Liberty View,291908,Dharma,,Ward E (councilmember James Solomon),40.71238,-74.03373,Entire home/apt,300,14,4,2020-06-25,0.05,18,24
1776610,DHS at Exchange Place 1 BR Suite,291908,Dharma,,Ward E (councilmember James Solomon),40.71933,-74.03059,Entire home/apt,195,3,7,2018-10-27,0.09,18,32
1777052,DHS at Exchange Place 2 BR Suite,291908,Dharma,,Ward E (councilmember James Solomon),40.71933,-74.03059,Entire home/apt,255,3,11,2019-02-11,0.12,18,1
1879541,Beautiful apartment for your next NYC trip,4066032,Susie,,Ward E (councilmember James Solomon),40.7158,-74.04391,Entire home/apt,125,4,18,2020-08-17,0.22,1,85
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,129,27,20,2018-08-26,0.24,45,365
1897262,Modern 2 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,249,27,7,2017-09-02,0.11,45,0
2032676,1 BR Suite with Fabulous  View!,291908,Dharma,,Ward E (councilmember James Solomon),40.71373,-74.0345,Entire home/apt,275,14,3,2020-02-12,0.10,18,53
2062476,A room in private house - 20-35 minutes  from NYC,10554940,Vicky,,Ward F (councilmember Jermaine D. Robinson),40.70946,-74.07432,Private room,25,1,236,2021-02-02,6.68,1,162
2147906,"2 BR APT. Jersey City, Heights close to NYC!",10963325,Jose,,Ward C (councilmember Richard Boggiano),40.73987,-74.05443,Entire home/apt,100,2,239,2021-01-30,4.74,1,355
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,91,15,12,2020-10-12,0.24,1,333
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,3,135,2021-01-02,1.61,1,345
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,89,1,8,2018-09-24,0.23,1,89
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72365,-74.03602,Entire home/apt,129,27,5,2016-06-24,0.06,45,365
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,249,27,6,2020-01-01,0.10,45,365
2284989,Historic Brownstone in Jersey City,11672367,Michelle & Michael,,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,Private room,150,2,4,2015-07-20,0.05,1,365
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,195,28,4,2020-02-02,0.14,1,326
2647208,Historic Downtown. 2 blocks to 7min ride to NYC,7324809,Vanessa,,Ward E (councilmember James Solomon),40.71857,-74.04516,Entire home/apt,89,1,6,2017-09-04,0.11,1,64
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,Private room,50,2,320,2021-02-07,3.83,7,359
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,58,2,335,2021-01-24,4.01,7,353
2867497,900+ reviews 15 mins to NYC. Private Room 201,189095873,M,,Ward C (councilmember Richard Boggiano),40.73081,-74.06816,Private room,43,5,49,2020-01-02,0.61,4,365
