id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.98666,-90.10928,Entire home/apt,250,2,126,2021-01-03,1.04,1,193
19091,Fully Furnished Cozy Apartment,72880,John,,Hollygrove,29.96317,-90.11888,Entire home/apt,60,1,467,2020-01-04,3.52,1,323
26834,Maison Mandeville in the Marigny,114452,Rachel,,Marigny,29.96557,-90.05531,Entire home/apt,110,3,259,2021-03-01,1.99,1,0
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.9759,-90.08144,Entire home/apt,123,2,211,2020-03-15,1.70,2,365
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96335,-90.04245,Entire home/apt,130,3,226,2020-03-09,1.85,1,358
74498,Maison Marais 1: Large Local Living,391462,Georgia,,Marigny,29.9686,-90.05251,Entire home/apt,92,3,499,2021-02-09,4.11,2,1
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.9619,-90.03589,Private room,99,3,191,2020-03-16,1.94,2,89
79536,FeelAtHomeInNO PrivateApt,428362,Miriam,,Seventh Ward,29.97872,-90.07405,Entire home/apt,99,2,502,2020-04-12,4.19,1,180
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.94481,-90.11201,Private room,89,3,36,2020-03-15,0.33,2,365
79609,Moon Over Mazant - Bywater's First and Finest!,428909,Stephen,,St. Claude,29.96448,-90.03667,Entire home/apt,98,3,370,2021-02-27,3.05,1,307
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,704,2021-02-28,5.81,3,64
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93514,-90.08134,Private room,347,2,5,2016-01-01,0.04,8,365
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,116,3,402,2021-01-03,3.38,3,80
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97287,-90.10188,Entire home/apt,110,30,141,2020-01-04,1.23,1,365
