id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3083,Room #2 @ B-Love's Guest House,3518,Traci,,Prescott,37.80832,-122.293,Private room,43,3,37,2019-08-14,0.48,6,180
5739,Mod Studio,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81503,-122.26212,Entire home/apt,125,6,261,2020-11-03,1.89,1,87
23637,Share my Charming Home!  (1 person or 1 couple ),93339,Mika,,Montclair,37.82925,-122.20966,Private room,63,7,43,2020-03-20,0.33,1,357
24916,Rockridge Studio w/garden and Patio,98716,Judy,,Piedmont Avenue,37.83326,-122.25033,Entire home/apt,89,30,112,2019-10-31,0.89,2,310
25473,Luxury Flat w/Mediterranean Garden—Upper Rockridge,106078,Lori,,Upper Rockridge,37.83688,-122.23184,Entire home/apt,141,7,18,2018-08-23,0.15,1,0
29521,Sunny Rockridge Home,124220,Kymi,,Temescal,37.83597,-122.25623,Entire home/apt,195,5,35,2020-01-04,0.31,2,14
31573,Rockridge  Craftsman Brown Shingl,98716,Judy,,Piedmont Avenue,37.83302,-122.25023,Entire home/apt,182,30,122,2020-08-30,1.00,2,296
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.84238,-122.26624,Entire home/apt,125,7,28,2020-03-14,0.23,1,315
45870,Comfortable Rockridge Guest Room,77555,Vicki,,Rockridge,37.84794,-122.24514,Private room,93,2,43,2019-10-04,0.39,1,365
46787,Art filled Room - Central Temescal,3241,Rebecca,,Temescal,37.83455,-122.26102,Private room,74,14,16,2018-09-30,0.13,1,178
56645,Spacious Fairytale Bedroom in English Mini Estate,268781,Pam,,Millsmont,37.77757,-122.1818,Private room,37,5,10,2020-11-07,0.24,2,81
82024,Immaculate Rockridge In-law Oakland,445712,Dodie,,Shafter,37.83923,-122.25732,Entire home/apt,109,3,221,2020-10-17,1.89,1,320
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84341,-122.25243,Entire home/apt,151,3,229,2020-02-11,1.98,1,324
87259,Paris in Oakland just off Piedmont Ave,478021,Phylis,,Piedmont Avenue,37.82616,-122.25234,Entire home/apt,164,7,27,2020-09-17,0.45,1,272
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83722,-122.2127,Entire home/apt,89,7,10,2020-09-12,0.21,1,256
