id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22772,Stay-Awhile  at Lovers Pt. Pacific Grv,87827,Amie,,Pacific Grove,36.62258,-121.9168,Entire home/apt,149,29,68,2016-08-01,0.55,1,135
41014,Ocean front 6-bedroom masterpiece,174738,Kirstie,,Pacific Grove,36.63242,-121.93791,Entire home/apt,1200,3,97,2020-01-13,0.87,1,83
44515,Pet-Friendly* Cottage Near Beach for 30+ day stays,195732,Erika & Blake,,Pacific Grove,36.62475,-121.93491,Entire home/apt,150,30,950,2020-06-20,7.91,1,246
1031734,"Top Rated,Ocean View,Spa,Fireplace",227482,Dan,,Pacific Grove,36.60324,-121.92723,Entire home/apt,500,30,236,2020-05-17,2.72,1,277
1721177,Ocean View Townhome at Lover's Pt.,9073236,Barb,,Pacific Grove,36.62367,-121.91559,Entire home/apt,475,30,245,2019-04-25,2.99,2,331
1721186,Beautiful Villa With Ocean View,9073236,Barb,,Pacific Grove,36.62455,-121.9166,Entire home/apt,399,1,168,2020-06-18,2.08,2,325
1909416,John Steinbeck's Cottage 30-Night Minimum Stay,5517174,Kevin & Vicky,,Pacific Grove,36.61458,-121.91033,Entire home/apt,100,30,218,2020-06-15,2.72,1,302
2118041,★ Queen Room/1 miles from beach/Free Aquarium pass,10752409,Michelle,,Pacific Grove,36.60452,-121.93114,Private room,82,1,283,2020-02-18,3.65,1,61
2552934,Aspen Room at Asilomar Beach License # 0450,13070709,Jamie,,Pacific Grove,36.61667,-121.93354,Private room,99,2,136,2020-03-19,1.82,1,314
3821616,"Bright Beach Cottage, Downtown, Modern, Biz-Ready",16838120,Alka,,Pacific Grove,36.62237,-121.91907,Entire home/apt,90,30,459,2020-03-07,6.47,2,154
3836973,Lovely House in Pacific Grove (Long term rental),19763195,Paul,,Pacific Grove,36.60527,-121.92805,Entire home/apt,250,30,469,2020-05-28,6.57,1,90
4099680,The Monarch Home - Cozy & Relaxing,5508442,Anne,,Pacific Grove,36.62322,-121.92883,Entire home/apt,150,30,450,2020-04-03,6.58,2,0
4162387,The Little Blue House,14299946,Joy,,Pacific Grove,36.62156,-121.92043,Entire home/apt,180,30,566,2020-05-04,8.27,3,0
4269074,760 Ocean View at Lovers Point Park,22162277,Grace,,Pacific Grove,36.62721,-121.91984,Entire home/apt,565,3,35,2019-08-07,0.51,1,311
4291804,"Casa Rustica, Walk to Aquarium,Cannery Row,Rest",12118997,Guita,,Pacific Grove,36.61565,-121.90903,Entire home/apt,185,30,52,2020-04-25,0.80,1,339
4697656,Peaceful in Pacific Grove. Close to beach & town,24285186,Stacey,,Pacific Grove,36.61507,-121.92261,Private room,105,2,49,2017-12-03,1.01,1,0
5185545,Peaceful Cozy Beach Cottage,21424068,Sarah,,Pacific Grove,36.63193,-121.92454,Entire home/apt,190,30,380,2020-05-26,5.87,1,146
5238711,"Penthouses Walk to Beach, 4 Aquarium Passes",14806795,Kristina,,Pacific Grove,36.61945,-121.91409,Entire home/apt,595,3,33,2020-03-12,0.55,2,327
5500336,Little Lighthouse — Ocean views & close to town!,18067665,"Jim,Stacey,Gary,Lynea,Amy&Michael",,Pacific Grove,36.61859,-121.91086,Entire home/apt,225,31,183,2020-06-06,2.84,2,328
