id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56488,-122.63418,Entire home/apt,70,2,555,2021-02-15,4.11,1,304
18130,Charming Roseway Bungalow,69824,Katie,,Roseway,45.55342,-122.58002,Entire home/apt,80,3,2,2020-11-30,0.67,1,2
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,53,2019-08-31,0.41,3,232
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,100,30,124,2021-02-06,0.96,1,365
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,169,3,227,2021-02-17,1.77,2,359
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,129,3,191,2020-09-11,1.62,2,365
61893,Perfect Portland Place,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,104,30,12,2021-01-31,0.23,1,134
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294,-122.71922,Entire home/apt,90,31,49,2019-11-06,0.40,3,110
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,158,2020-03-08,1.72,1,204
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,189,2,263,2020-10-19,2.17,1,359
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,31,2020-02-27,0.25,1,365
77522,"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",345461,Diane,,Eastmoreland,45.47086,-122.63273,Private room,55,2,84,2020-03-16,0.76,1,357
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,29,30,63,2020-01-18,0.55,5,357
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,60,2,169,2019-10-14,1.42,1,88
