id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10262,Secluded 1750's home on 46 acres,35244,Paula,Providence,Glocester,41.86617,-71.72344,Private room,65,1,37,2017-08-31,0.44,1,0
15373,Adorable Beach Cottage Scarborough Beach RI,60209,Brian,Washington,Narragansett,41.39375,-71.47447,Entire home/apt,100,7,3,2020-08-28,0.40,1,35
50817,Sanctuary in the Suburbs,233965,Nancy,Providence,Pawtucket,41.88613,-71.35373,Entire home/apt,76,2,148,2021-01-31,1.17,1,303
51583,Bedroom In a large Victorian Home,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,58,1,372,2020-08-03,2.95,8,89
55464,Waterfront Narrow River Rent as of 5/1/21  kayaks!,262000,Kathy,Washington,South Kingstown,41.46965,-71.44939,Entire home/apt,295,7,88,2019-12-15,0.83,1,259
84167,Great Apartment in East Providence,148703,Michael,Providence,East Providence,41.82809,-71.37655,Entire home/apt,89,2,377,2021-01-18,3.14,2,164
106617,Charming Guest House on Sakonnet Point,357017,Catherine,Newport,Little Compton,41.47564,-71.17908,Entire home/apt,360,7,49,2020-10-17,0.41,1,53
111464,Tiverton 4 Corners Schoolhouse No.1,570818,Kristin,Newport,Tiverton,41.56512,-71.18682,Entire home/apt,200,1,130,2021-01-31,1.09,6,319
116312,An oasis in the heart of Newport.,587743,Maria,Newport,Newport,41.49228,-71.29904,Private room,175,2,237,2019-09-22,2.01,1,0
152851,Garden Apt Downtown on Thames st.,735167,Patricia,Newport,Newport,41.49294,-71.31524,Private room,250,2,48,2020-09-07,0.41,3,275
158239,Rose Suite,735167,Patricia,Newport,Newport,41.49268,-71.3164,Private room,225,2,58,2019-10-27,0.54,3,275
158240,Blue Suite,735167,Patricia,Newport,Newport,41.49228,-71.31454,Private room,225,2,50,2020-07-20,0.47,3,275
271436,"Conanicut Is., In-Town 2",1420000,John,Newport,Jamestown,41.49668,-71.37645,Entire home/apt,800,4,53,2019-10-14,0.51,2,364
290088,across street from private beach,1505626,Steve,Washington,Narragansett,41.49921,-71.44592,Entire home/apt,214,7,1,2013-03-22,0.01,1,316
300955,Rural Rhode Island Get Away,1550201,Susan,Washington,Richmond,41.46264,-71.69882,Private room,61,2,30,2018-08-12,0.28,1,363
321168,Victorian House in Newport Walk to Town or Beach,1644425,Nicholas,Newport,Newport,41.50057,-71.30571,Entire home/apt,1107,2,39,2020-07-19,0.37,11,341
345617,Downtown Center Newport Apartment,1644425,Nicholas,Newport,Newport,41.48722,-71.30589,Entire home/apt,136,2,69,2021-02-21,1.03,11,347
345618,Downtown Mansion Near Beach-Last minute deals,1644425,Nicholas,Newport,Newport,41.48603,-71.30499,Entire home/apt,1254,2,24,2021-02-07,0.25,11,341
345637,Charming Guest Room off Broadway,1644425,Nicholas,Newport,Newport,41.49967,-71.30564,Private room,82,2,16,2021-01-02,0.57,11,88
369953,Lux Two bedroom roost,237379,Chip,Providence,Providence,41.812,-71.42035,Entire home/apt,87,2,134,2021-02-14,1.83,8,333
393859,"Charming, Impeccable 1B Condo",1969219,Jeffrey,Newport,Newport,41.49371,-71.30694,Entire home/apt,117,14,18,2021-02-13,0.26,1,352
401316,"Adorable, Artsy Victorian with a Claw Foot Tub",2003135,Amanda,Providence,Providence,41.81643,-71.43743,Entire home/apt,96,2,99,2021-01-02,0.94,1,2
402081,Downtown room near hospital,1644425,Nicholas,Newport,Newport,41.49982,-71.30537,Private room,55,2,14,2020-12-06,0.13,11,88
402131,Beautiful Room in Historic Inn,1644425,Nicholas,Newport,Newport,41.48633,-71.30524,Private room,399,2,4,2013-08-05,0.04,11,90
402132,Luxury Room in Historic Mansion,1644425,Nicholas,Newport,Newport,41.48593,-71.30478,Private room,499,1,1,2013-05-02,0.01,11,0
416234,"""Super Sleep-Over"" in Newport - unlimited.",565135,Pamela,Newport,Newport,41.4689,-71.31447,Private room,50,1,205,2021-02-21,1.91,2,292
422731,"Private ,comfy,BNB,in Victorian",237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,100,1,353,2021-01-18,3.31,8,267
425434,Beautiful Victorian in Newport,2115279,Michael,Newport,Newport,41.49403,-71.30875,Private room,93,2,248,2021-02-14,3.66,1,170
438794,"Narragansett-Middlebridge,Narrow R.",2082880,Laura,Washington,South Kingstown,41.45906,-71.45302,Entire home/apt,165,6,56,2019-08-10,0.54,1,23
457581,"Bright & Spacious Room, Charming Cape",1577918,Greg,Providence,Providence,41.80951,-71.45675,Private room,45,1,42,2020-10-11,0.41,2,179
467205,country home in garden near beaches,2310737,Karen,Washington,South Kingstown,41.42509,-71.52286,Private room,125,2,36,2019-09-01,0.34,1,363
502325,Trinity School House,1095932,Robert & Michelle,Newport,Newport,41.48694,-71.30986,Private room,250,2,88,2019-09-15,0.84,1,356
508240,"Summer Rental in Bonnet Shores,RI",2504818,John,Washington,Narragansett,41.48494,-71.43379,Entire home/apt,276,3,41,2020-08-30,0.58,1,327
510385,Scenic Historical Bristol.....,2514697,Vicky,Bristol,Bristol,41.6894,-71.28981,Entire home/apt,400,2,10,2019-08-19,0.31,1,46
