id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,3,197
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80724,-117.2563,Entire home/apt,225,4,61,2020-08-31,0.49,5,334
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,74,1,143,2019-10-20,1.16,3,320
54001,"La Jolla 2 Bdr Cottage: 1 Qn; 2Twns, Blks 2 Ocn",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,135,3,234,2020-10-18,1.96,2,102
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,69,1,609,2020-09-27,5.06,2,301
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,78,1,699,2020-10-20,7.02,2,66
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,85,3,3,2015-07-13,0.05,4,0
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,195,2020-09-30,1.73,2,199
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,154,2020-07-31,1.32,2,201
103417,"La Jolla Retreat-Zen Lifestyle, More than a  Room",252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,102,3,213,2020-10-22,1.90,2,118
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,129,1,62,2020-10-18,0.55,7,74
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,253,6,148,2020-07-06,1.33,2,257
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.79757,-117.2474,Entire home/apt,178,3,19,2019-08-02,0.17,1,279
123990,Laid-Back Luxe San Diego,479932,Amber,,Rancho Penasquitos,32.99091,-117.16673,Entire home/apt,525,5,9,2019-10-25,0.08,2,111
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",546519,Juliana,,Pacific Beach,32.80572,-117.25936,Entire home/apt,275,2,157,2020-10-08,1.43,2,262
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.80855,-117.2584,Entire home/apt,77,30,25,2020-07-31,0.26,1,266
134731,Open - Studio Ocean View,660996,Kathy,,Del Mar Heights,32.93446,-117.24833,Private room,109,3,40,2020-02-28,0.40,2,297
149548,"Mission Bay Getaway, Near beaches! SUPER SANITIZED",721326,Olivia,,Bay Park,32.80157,-117.20093,Private room,58,3,199,2020-09-28,1.78,2,0
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173,-117.15284,Entire home/apt,125,3,580,2020-10-05,5.89,2,0
167804,"Mission Bay Retreat Studio, near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80041,-117.20152,Private room,56,3,69,2020-09-13,0.69,2,57
168415,Travel Twin Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,55,5,62,2020-01-13,0.55,4,62
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91123,-117.13099,Private room,55,2,53,2019-07-31,0.47,1,297
171212,Entire 3BR/2BA Condo in Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94663,-117.23244,Entire home/apt,157,30,48,2020-09-21,0.52,1,289
172519,Upstairs Room/Pt. Loma,164137,Melinda,,Roseville,32.74129,-117.21853,Private room,85,2,53,2019-01-13,0.47,3,163
174015,Beach Hide Out,831158,Özlem,,Mission Bay,32.78333,-117.25262,Entire home/apt,157,29,446,2020-10-10,3.97,2,251
175119,"Private bed&bath (sorry, closed for pandemic)",836963,Kevin,,Talmadge,32.76493,-117.08815,Private room,77,1,98,2019-10-19,0.87,1,89
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77246,-117.20233,Entire home/apt,90,3,188,2020-10-18,1.69,1,280
179884,Mission Beach Contemporary Home,753381,Denise,,Mission Bay,32.77528,-117.25274,Entire home/apt,390,3,93,2020-03-15,1.00,1,330
182428,Adorable South Mission Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76411,-117.25139,Entire home/apt,109,3,6,2020-05-31,0.07,24,338
182504,Sunny San Diego Home Near All,874971,StellaRichard,,Midtown,32.74316,-117.16748,Entire home/apt,149,30,250,2020-03-15,2.23,1,0
184238,"Ocean Beach, Ocean views, hot tub, garage parking!",883704,Scott,,Loma Portal,32.74098,-117.24471,Entire home/apt,158,2,355,2020-10-22,3.17,1,315
189785,"La Jolla/PB Ocean views! 
1 block to beach & surf.",915738,Jeff,,La Jolla,32.81015,-117.26804,Private room,109,13,33,2020-10-17,0.40,1,144
190179,Bohemian Beach House,831158,Özlem,,Mission Bay,32.78248,-117.25169,Entire home/apt,196,29,169,2020-09-18,1.54,2,218
190225,LJ Village charming home with private pool & spa,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,450,3,147,2020-09-07,1.42,1,212
205703,"Private studio, walk to the SD Zoo and Balboa Park",874159,Filbert,,Midtown,32.74632,-117.15077,Entire home/apt,70,3,318,2020-03-17,2.85,1,145
211583,"The Happy Little Cottage, just steps to sand...",1090651,J-Me & Clark,,Mission Bay,32.76735,-117.24928,Entire home/apt,152,3,156,2020-09-29,1.64,1,138
