id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,130,2,276,2021-02-07,1.95,1,137
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511,-122.42102,Entire home/apt,195,30,111,2017-08-06,0.77,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,2020-03-06,0.14,8,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,2018-09-12,0.10,8,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77525,-122.43637,Entire home/apt,799,5,28,2019-06-28,0.20,2,365
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,1,735,2020-03-16,5.21,2,169
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75831,-122.41386,Entire home/apt,150,30,337,2019-05-27,2.41,1,283
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79143,-122.41544,Entire home/apt,120,30,18,2015-05-17,0.16,1,364
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187,-122.43859,Entire home/apt,170,30,37,2018-12-01,0.27,39,221
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355,-122.42436,Entire home/apt,166,30,15,2019-08-18,0.14,39,243
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,87,30,20,2019-11-12,0.20,39,244
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,2018-09-20,0.05,8,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.05,8,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76072,-122.42815,Private room,79,3,427,2020-03-10,3.15,1,0
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene Helfand,,Noe Valley,37.74888,-122.42982,Entire home/apt,84,30,63,2020-03-27,0.48,1,303
18904,Lower Haight Urban Zen with private bath,72464,Patrick,,Western Addition,37.7739,-122.43343,Private room,130,2,415,2020-03-10,3.69,2,90
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7958,-122.41533,Entire home/apt,130,30,119,2019-02-05,0.90,1,336
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Twin Peaks,37.75751,-122.44317,Entire home/apt,155,3,412,2020-03-17,3.16,1,274
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75645,-122.3991,Private room,152,2,309,2020-10-14,2.36,2,120
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Noe Valley,37.74188,-122.43122,Private room,150,5,42,2020-03-01,0.73,1,305
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77729,-122.43421,Private room,110,2,445,2020-03-17,3.53,2,90
25662,"Convenient, quiet, private",106005,Gayle,,Potrero Hill,37.76212,-122.39541,Private room,125,4,320,2020-03-13,2.47,1,365
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,202,1,26,2019-11-21,0.37,2,0
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73729,-122.41163,Entire home/apt,175,4,17,2020-01-21,0.15,2,0
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77931,-122.50518,Entire home/apt,175,2,70,2021-02-15,0.55,1,318
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025,-122.41259,Entire home/apt,150,30,94,2019-09-29,0.73,1,244
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,240,1,598,2020-03-06,4.70,1,351
39174,Bette's New Place,127367,Annette,,Noe Valley,37.7483,-122.42488,Entire home/apt,107,30,21,2019-09-30,0.18,15,365
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.74093,-122.42055,Entire home/apt,73,60,22,2019-08-20,0.19,2,305
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016,-122.41969,Entire home/apt,106,30,97,2019-03-19,0.76,2,185
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,130,3,263,2020-02-24,2.06,1,361
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75611,-122.41866,Entire home/apt,135,30,81,2020-01-13,0.80,1,352
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73557,-122.43302,Entire home/apt,125,30,151,2021-02-03,1.18,1,351
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001,-122.41292,Entire home/apt,129,30,19,2021-01-21,0.15,1,277
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447,-122.38813,Entire home/apt,150,30,2,2017-08-20,0.02,15,365
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75145,-122.41207,Entire home/apt,79,30,290,2020-11-06,2.26,1,173
47486,Easy parking & nearby public transp. Beautiful,215133,Richard,,Ocean View,37.72536,-122.46861,Entire home/apt,78,30,34,2020-12-05,0.27,1,146
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.7925,-122.42431,Entire home/apt,84,30,28,2020-01-05,0.22,9,353
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.77121,-122.42834,Entire home/apt,110,30,108,2020-09-20,0.85,1,365
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79312,-122.426,Private room,54,30,163,2019-10-17,1.36,9,365
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73878,-122.41189,Private room,95,3,145,2019-12-15,1.15,2,244
53934,"Urban Rainbow: Artsy, Downtown Condo",252376,Megan,,Downtown/Civic Center,37.78775,-122.41634,Entire home/apt,149,30,233,2019-12-13,1.84,1,105
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.7933,-122.40079,Entire home/apt,130,30,19,2019-11-22,0.16,1,352
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166,-122.4265,Entire home/apt,79,30,41,2021-02-20,0.32,9,333
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77959,-122.48619,Entire home/apt,125,30,12,2020-10-31,0.10,2,339
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74889,-122.44479,Entire home/apt,116,30,27,2019-04-21,0.22,2,305
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79216,-122.42458,Private room,48,30,127,2020-12-02,1.01,9,365
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Haight Ashbury,37.77278,-122.43916,Entire home/apt,200,30,153,2020-10-13,1.22,1,313
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.7472,-122.41443,Entire home/apt,178,30,217,2020-12-20,1.73,1,306
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762,-122.41933,Private room,99,30,122,2019-09-21,1.02,2,89
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75504,-122.45871,Entire home/apt,329,2,4,2020-07-17,0.18,1,7
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031,-122.41596,Private room,125,2,250,2020-10-09,2.09,4,118
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74209,-122.41409,Private room,100,30,192,2019-07-20,1.63,1,62
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,0
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,425,4,213,2020-11-29,1.72,2,116
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74183,-122.42993,Private room,85,2,37,2019-10-14,0.50,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76314,-122.42468,Entire home/apt,500,3,56,2020-03-21,0.48,1,313
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74926,-122.41398,Entire home/apt,118,2,363,2021-02-15,2.92,2,357
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317,-122.42874,Private room,90,30,68,2020-02-11,0.58,3,337
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77798,-122.47812,Entire home/apt,75,30,98,2020-05-22,0.84,2,337
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77719,-122.50906,Entire home/apt,216,30,13,2019-10-13,0.11,15,365
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75542,-122.42447,Entire home/apt,326,30,40,2020-09-05,0.33,1,333
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77442,-122.46319,Entire home/apt,80,30,55,2021-02-04,0.46,1,342
69549,MISSION Outr BedRm3+Fridge+PvtBath,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,38,30,40,2020-03-18,0.33,12,337
69553,MISSION Outr BedRmU3+Fridge+MicroWave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,40,30,27,2019-08-12,0.23,12,336
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77707,-122.50923,Entire home/apt,185,30,7,2018-01-14,0.06,15,365
70753,Dorm Bed In Friendly Hostel Community #1,329072,Darren & Friends,,Financial District,37.7937,-122.40417,Shared room,43,1,403,2020-02-28,3.28,15,79
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Jeff,,Bernal Heights,37.74578,-122.40841,Entire home/apt,106,3,158,2021-02-25,2.60,1,223
