id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12651,Private entrance/walk to Stanford,49735,Laurel,,Menlo Park,37.43118,-122.19654,Entire home/apt,197,3,151,2020-11-01,1.13,3,356
39342,"Palm Tree Cottage, Pacifica",127367,Annette,,Pacifica,37.63144,-122.48825,Entire home/apt,120,30,2,2018-07-01,0.02,2,365
40560,MOST COMFORTABLE BED EVER,174725,Megan,,East Palo Alto,37.45528,-122.13829,Private room,110,1,133,2019-11-21,1.06,2,365
44504,"Burlingame  1 bed, & lounge apartment, close SFO",195645,Maggie,,Burlingame,37.58774,-122.36622,Entire home/apt,210,3,150,2020-01-31,1.20,2,179
45287,The Garden Cottage-a secluded nature retreat,200479,Diane And Mike,,Burlingame,37.57913,-122.34063,Entire home/apt,145,3,257,2020-11-29,2.07,1,177
45444,MOST COMFORTABLE QUEEN BED EVER,174725,Megan,,East Palo Alto,37.45544,-122.1384,Private room,110,1,46,2017-03-30,0.38,2,365
55301,Private Cottage with Chef's Kitchen & Washer/Dryer,261070,Shannon,,Menlo Park,37.46089,-122.15184,Entire home/apt,118,30,43,2020-09-02,0.37,1,331
63146,Downtown Two Story Cottage,308176,Jennifer,,Menlo Park,37.44607,-122.1849,Entire home/apt,575,2,1,2018-10-13,0.04,1,364
72211,3 BR Home on Vineyard nr Palo Alto & Stanford,101491,Jennifer,,Portola Valley,37.38852,-122.20187,Entire home/apt,385,3,103,2020-11-21,0.88,1,262
83584,Lunetta Loft - PET FRIENDLY,127367,Annette,,Pacifica,37.63072,-122.48888,Entire home/apt,135,30,6,2020-11-22,0.09,2,365
92921,Silicon Valley Home...Private Bath,499362,David,,Menlo Park,37.47661,-122.18384,Private room,100,1,412,2020-03-10,3.51,1,308
123653,Beautiful 4BR Home by Stanford Univ,617641,Mj,,Atherton,37.45922,-122.19593,Entire home/apt,713,29,13,2017-08-04,0.11,2,365
139723,Beautiful Belmont House (btwn SF and Stanford),678491,Lisa,,Belmont,37.52181,-122.31119,Entire home/apt,325,3,28,2020-11-28,0.27,2,0
144099,House in San Francisco Peninsula,694406,Delphine,,San Mateo,37.56305,-122.29002,Entire home/apt,249,15,13,2016-08-07,0.11,1,273
175322,Large 2-story House Near Beach,838172,Kevin,,Half Moon Bay,37.45877,-122.43681,Entire home/apt,175,30,0,,,1,2
182605,Cozy Place on SF Peninsula,424098,Tim,,San Carlos,37.51267,-122.25994,Private room,115,3,31,2020-02-29,0.28,1,179
208270,Private Bath & View in San Mateo Family Home,1025039,Angela,,San Mateo,37.53382,-122.32329,Private room,95,1,171,2020-01-23,1.51,2,363
208309,Comfy room private bath & breakfast,1025237,Debra,,San Mateo,37.56389,-122.29227,Private room,114,3,60,2019-08-17,1.84,1,0
236882,Lovely room near Stanford  for 1,617641,Mj,,Atherton,37.46229,-122.19632,Private room,90,30,147,2020-03-04,1.36,2,0
275617,Comfortable SF Peninsula Bedrooms,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,124,2020-03-08,1.13,4,363
281339,Welcoming SF Peninsula Room for You,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,132,2020-01-23,1.20,4,365
281472,SF Peninsula Bedroom with a View,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,75,3,123,2020-02-08,1.18,4,364
312514,"Quiet , Private Studio / Cottage",1605211,Chris,,Redwood City,37.47968,-122.24666,Entire home/apt,99,2,238,2020-12-30,2.20,1,0
313467,Amazing Cottage Private Home,1611813,Brent,,Unincorporated Areas,37.4675,-122.16306,Entire home/apt,450,1,10,2018-10-25,0.18,1,365
342311,Sweet Studio -SF Peninsula,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Entire home/apt,110,3,133,2020-12-23,1.23,4,346
343430,1 Private Bedroom & ensuite Bathroom in Belmont,678491,Lisa,,Belmont,37.52047,-122.31124,Private room,82,6,4,2019-09-10,0.04,2,90
346599,Waterside-Private-Garden-by Silicon,1676111,Melinda,,San Mateo,37.54726,-122.28169,Private room,80,1,68,2019-09-01,0.63,1,362
379347,Amazing View! Peaceful & spacious,1905172,Cath,,Unincorporated Areas,37.47253,-122.26761,Private room,150,1,36,2019-08-31,0.35,9,365
421119,BEACH APARTMENT NORTH OF SANTA CRUZ,2094237,Michael,,Unincorporated Areas,37.11032,-122.2948,Entire home/apt,130,1,400,2020-11-21,3.84,1,0
450844,"The Park House- Spacious, Comfy Retreat",2146719,Nikki,,San Mateo,37.56969,-122.34598,Entire home/apt,293,2,159,2020-12-06,1.54,1,37
508665,Great 2 bedroom house with large deck,2507503,Pramod,,Belmont,37.5221,-122.29651,Entire home/apt,105,2,79,2019-12-30,0.78,1,0
546284,1bed Apt with Parking and Views of SF City & Ocean,1221565,Lisa,,Daly City,37.70304,-122.45499,Entire home/apt,126,3,73,2020-10-08,0.83,3,365
558059,Private bed room/bath with wi-fi,2575302,Nirmala,,Burlingame,37.59014,-122.37444,Private room,85,1,211,2020-03-06,2.05,2,364
606240,Charming White Oaks San Carlos Home - Walk to Town,3002688,Catherine,,San Carlos,37.49655,-122.25489,Entire home/apt,332,7,72,2019-11-22,0.71,1,88
617211,Modern Studio Apartment - South San Francisco,1921058,Philip,,South San Francisco,37.66259,-122.42252,Entire home/apt,148,2,294,2021-01-01,2.93,1,332
631807,PRIVACY & COMFORT in Foster City!,3142166,Michelle,,Foster City,37.56158,-122.25974,Entire home/apt,80,5,21,2020-09-30,0.21,1,358
633412,"SFO,Bart,Walk to Downtown, Light Breakfast Too!",3153014,Lisa Myshall,,Burlingame,37.57945,-122.35013,Private room,107,1,359,2020-12-26,3.68,7,365
634347,TreeTops Coast Retreat_HotTub_Month/LongTermOk,2270239,Annette And Fred,,Unincorporated Areas,37.51057,-122.46534,Entire home/apt,550,5,85,2020-11-30,0.84,1,124
637600,"Quiet, Clean, Tasteful, Convenient1",3180684,Tara,,San Carlos,37.49041,-122.26714,Private room,99,5,105,2020-10-01,1.03,4,293
646496,Private Guest Room / private entry,3240667,Evelyn,,Belmont,37.51397,-122.29511,Private room,72,3,76,2020-08-31,0.74,1,332
664068,Life House,3354031,Marky,,Unincorporated Areas,37.5238,-122.34933,Entire home/apt,299,4,53,2019-11-16,0.54,1,358
706437,Tree-top studio--walk to Stanford,49735,Laurel,,Menlo Park,37.43214,-122.19639,Entire home/apt,289,3,112,2020-11-20,1.15,3,292
760743,Garden Apartment on S F Peninsula,3381955,Nuala,,San Bruno,37.62087,-122.41661,Entire home/apt,135,3,297,2020-03-16,3.02,2,337
789518,Spectacular Ocean View Ocean Colony,2938406,Lisa,,Half Moon Bay,37.43002,-122.43766,Entire home/apt,1400,2,7,2020-11-15,0.13,1,350
796558,Snug & Cozy Queen Room w/Parking & BRFT!,3153014,Lisa Myshall,,Burlingame,37.58126,-122.34891,Private room,102,1,306,2020-02-17,3.63,7,0
808914,Paloma Cottage under a tree,2441782,Brian,,Burlingame,37.58166,-122.36421,Entire home/apt,106,4,220,2020-09-26,2.24,1,0
811391,Man Cave Room 4 Sports Enthusiasts!,4028745,Rod,,Hillsborough,37.54802,-122.33018,Private room,300,1,0,,,1,0
817957,Beautiful room and private bath,962083,Sylvia,,Unincorporated Areas,37.45006,-122.22736,Private room,109,2,31,2020-02-15,0.33,1,365
842458,Views Galore-like a treehouse. Your new office?,1905172,Cath,,Unincorporated Areas,37.47439,-122.26448,Private room,125,2,91,2020-09-23,0.93,9,336
855620,Attractive private bed & bath,269720,Philip,,Redwood City,37.46059,-122.22108,Private room,89,5,59,2015-11-19,0.61,1,0
896948,fully furnished 1bed rental w/ bath,4784899,Jane,,Menlo Park,37.4571,-122.18496,Private room,150,1,34,2020-09-27,0.35,1,365
902703,Beautiful Woodside Estate for Rent,4824967,Tim,,Woodside,37.44855,-122.24791,Entire home/apt,350,7,1,2015-05-15,0.01,1,0
912970,Halekipa - Beautiful Guest Home with parking!,4899769,Kawika,,South San Francisco,37.65373,-122.41295,Entire home/apt,119,2,151,2020-10-23,1.64,2,350
915110,Cozy Garden Cottage in Menlo Park,4358242,Amanda,,Unincorporated Areas,37.43625,-122.2076,Entire home/apt,100,7,101,2020-12-21,1.06,1,216
926837,A Travelers Rest in Redwood City,1119862,Josh,,Redwood City,37.47747,-122.24079,Entire home/apt,80,30,156,2020-12-19,1.68,1,75
1019374,Exec Room in home nr Stanford Hospital/Sand HillRd,5612106,La,,Unincorporated Areas,37.42767,-122.19329,Private room,150,3,9,2020-03-01,0.33,4,365
