id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11464,Deluxe Studio 5 min.  to SC Kaiser & Apple Park,42458,Emey,,Santa Clara,37.34342,-121.98829,Entire home/apt,85,4,9,2021-02-20,0.11,18,145
21373,Bonsai Garden Inn in Professorville,7054,Mei Lin,,Palo Alto,37.44001,-122.15667,Private room,80,2,264,2020-03-14,2.00,4,252
37512,Private  room - Parking 3 carport,161741,Maria,,San Jose,37.30598,-121.84036,Private room,48,1,183,2017-03-14,1.41,2,262
52786,Cozy Room in A Quiet Community,161741,Maria,,San Jose,37.30521,-121.84149,Private room,50,1,478,2020-03-11,3.77,2,263
62799,Zen Office and Sofa in Palo Alto,7054,Mei Lin,,Palo Alto,37.43934,-122.15723,Private room,100,7,148,2020-03-18,1.79,4,263
75284,Garden Room Oasis Walk to Stanford,7054,Mei Lin,,Palo Alto,37.44157,-122.15553,Private room,85,2,206,2020-03-16,1.71,4,252
106365,Luxurious Clean Quiet Home near Main St Cupertino,551319,Judith,,Cupertino,37.32194,-122.00511,Entire home/apt,189,29,180,2021-01-05,1.54,1,0
118903,"Entire Guest Suite, Entrance@ House of Chauncey",600040,Rey,,Sunnyvale,37.38466,-122.03628,Private room,85,5,100,2020-11-15,0.84,1,178
134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,,San Jose,37.34756,-121.88922,Private room,70,1,184,2020-03-11,1.57,1,365
161873,Downtown MV perfection,19333,Aaron,,Mountain View,37.38991,-122.07949,Private room,150,2,170,2020-02-13,1.45,1,78
169225,A Quiet Corner--10 min to Stanford,806370,Michele,,Los Altos Hills,37.37906,-122.15961,Private room,130,2,117,2018-12-06,0.99,1,359
172259,"Studio with a private bath, wet bar and small frig",821982,Grace,,Palo Alto,37.40463,-122.12548,Private room,55,2,8,2021-02-24,0.43,7,308
211039,we GOT A POOL,1066672,Jason,,Campbell,37.28821,-121.92555,Private room,100,1,0,,,1,365
214303,PRIVATE & COZY GARDEN ROOM,174725,Megan,,Palo Alto,37.45371,-122.13727,Private room,120,30,58,2020-02-04,0.50,1,337
231717,B&B: Quiet Bedroom & Bathroom,1211619,Yael,,Santa Clara,37.34609,-121.98467,Private room,89,1,146,2018-01-25,1.32,1,364
241788,Santana Row Modern Condo / Flat (Super Host),1269205,Ginger & Ray,,San Jose,37.32072,-121.94718,Entire home/apt,180,14,130,2021-01-13,1.14,3,325
251163,Family-friendly condo near downtown,398213,Dave,,Mountain View,37.38374,-122.08171,Entire home/apt,150,300,0,,,1,362
253359,ytstyle private room #3 for rent,1330305,,,San Jose,37.29124,-121.97415,Private room,51,5,142,2020-09-12,1.24,3,233
253364,ytstyle private room #1,1330305,,,San Jose,37.29281,-121.97324,Private room,53,5,140,2019-12-24,1.32,3,263
263527,5 brs Sweetberry Ct in San Jose,79924,Khanh,,San Jose,37.27726,-121.82972,Entire home/apt,400,2,15,2018-08-12,0.14,2,346
307827,Lovely Private Garden Cottage,1169996,Marlene,,Palo Alto,37.43098,-122.1366,Entire home/apt,165,2,135,2020-03-05,1.21,1,354
310367,Comfortable Palo Alto home,1596454,Jochen,,Palo Alto,37.41,-122.13648,Entire home/apt,176,1,42,2019-07-11,0.53,1,89
310377,Little room in a little house/LOL. Littleoldlady,957234,Margaret,,Palo Alto,37.42816,-122.12957,Private room,125,2,58,2021-02-15,0.53,1,17
315339,Silicon Valley Victorian,1587385,Paul,,Saratoga,37.25092,-122.03673,Entire home/apt,318,14,10,2018-07-15,0.09,1,173
