id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11879,Sunny room close to beach and parks,44764,Steven,,Unincorporated Areas,36.98186,-121.88114,Private room,75,2,60,2021-02-24,0.47,3,169
24548,Room with Private Entrance.,99532,Kerstin,,City of Santa Cruz,36.97167,-121.99774,Private room,100,2,479,2020-11-23,3.63,1,0
31721,Dog Friendly Private Pleasure Point Beach Cottage,136376,Annie,,City of Capitola,36.95849,-121.97207,Entire home/apt,179,4,222,2021-01-31,2.21,2,1
43785,Guest bedroom in Victorian home,191477,Caroline,,City of Santa Cruz,36.97694,-122.036,Private room,85,2,446,2021-02-07,3.49,1,332
49520,Guest Cottage with shared bath,225721,Christine,,Unincorporated Areas,36.96325,-121.82091,Private room,95,30,145,2018-09-15,1.23,2,0
49523,Strict 30 night minimum! Small room w shared bath.,225721,Christine,,Unincorporated Areas,36.96319,-121.82195,Private room,75,30,209,2019-10-26,1.71,2,365
57031,Sunny in nature quiet location,44764,Steven,,Unincorporated Areas,36.98197,-121.88262,Entire home/apt,155,10,1,2018-08-22,0.03,3,68
70829,Master Bedroom w/ Soaker Tub,360285,Maisie,,City of Santa Cruz,36.97789,-122.02757,Private room,92,3,394,2021-02-26,3.21,1,0
72288,Cottage on the Creek - Private Access to Creek!,366768,Quentin,,Unincorporated Areas,37.08895,-122.04338,Entire home/apt,172,1,564,2021-02-14,4.65,5,299
126012,Santa Cruz Mtns. Dragonfly Cottage,625642,Mary Jane,,Unincorporated Areas,37.03277,-121.82554,Entire home/apt,178,1,463,2021-02-20,3.93,2,291
153903,Redwood Treehouse Santa Cruz Mtns.,625642,Mary Jane,,Unincorporated Areas,37.03123,-121.82499,Entire home/apt,155,1,767,2021-02-19,6.53,2,73
183564,Apple Orchard Cottage,880252,Jay & Sibyll,,Unincorporated Areas,37.02979,-121.87345,Entire home/apt,125,2,310,2021-02-25,2.66,1,259
193973,Harbor Studio Near Beach Boardwalk,926563,Kirk,,City of Santa Cruz,36.9654,-121.99891,Entire home/apt,142,1,470,2021-02-15,4.14,1,310
198171,Charming Cottage Very Near Beach,187953,Gail,,City of Santa Cruz,36.95475,-122.03868,Entire home/apt,130,2,428,2021-02-21,3.69,1,232
207329,"Sunny, Spacious, and Modern Home Near The Beach",918166,Sun,,Unincorporated Areas,36.96449,-121.98316,Entire home/apt,712,2,207,2021-02-16,1.79,1,354
229219,Victorian Farm Guest Cottage- Sleeps up to 6,851487,Tamara,,Unincorporated Areas,37.12275,-122.12265,Entire home/apt,202,1,94,2020-02-17,0.90,1,58
260857,"Santa Cruz, Sanctuary w/ hot tub in bamboo garden",1368824,Mara,,City of Santa Cruz,36.96852,-122.04461,Entire home/apt,289,1,339,2021-02-12,3.14,2,356
